Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
19;2;19.625;12.9962511063;5;26.7922235727;2;20.1099720001;12.5;5;27.4969480038;
20;2;19.625;13.0376672745;5;26.9393253326;2;20.1868133545;12.5;5;27.8840510845;
21;2;20.0613479614;12.5;5;27.0956480503;2;19.625;13.3652153015;5;28.3200027943;
22;2;20.0965213776;12.5;5;27.261295557;2;20.3720016479;12.5;5;28.8073790073;
23;2;19.625;13.4045181274;6;27.4362905025;2;20.4816608429;12.5;4;29.3477458954;
24;3;19.625;13.4745159149;6;27.6205644608;2;20.6032428741;12.5;4;29.9413113594;
25;4;18.2146263123;13.5;5;27.8139474392;2;19.625;13.5;4;30.586581707;
26;4;17.2581386566;14.5;6;28.016159296;2;20.625;12.5;4;31.2800674438;
27;4;16.3036365509;15.5;6;28.2268030643;2;19.625;13.5;4;32.0160870552;
28;4;15.3510303497;16.5;6;28.445360899;2;20.625;12.5;4;32.7867279053;
29;4;14.7752056122;17.5;7;28.6711919308;2;19.625;13.5;4;33.5820074081;
30;4;14.8260183334;18.5;7;28.9035346508;2;19.625;14.5;4;34.3902606964;
31;4;14.8782958984;19.5;7;29.141512394;2;18.625;13.5;4;35.1987380981;
32;4;14.9318408966;20.5;7;29.3841423988;2;18.625;13.5;3;35.9943685532;
33;4;14.9864320755;21.5;7;29.6303496361;2;17.625;13.5;4;36.7645931244;
34;4;15.0418281555;22.5;8;30.8789830208;2;17.625;14.5;5;37.4981632233;
35;4;16.0977706909;23.5;8;31.1588366032;2;17.4370880127;15.5;5;38.1857919693;
36;4;17.1539878845;24.5;8;31.4392616749;2;16.4370880127;14.5;6;38.8205833435;
37;4;17.4488334656;25.5;8;31.7190029621;2;16.625;14.5;6;39.3982028961;
38;4;17.5117759705;26.5;8;31.9968197346;2;17.625;15.5;6;39.9167966843;
39;4;17.5742835999;27.5;9;32.2715109587;2;16.625;14.5;6;40.3767118454;
40;4;17.636089325;28.5;10;32.5419374704;2;16.625;14.5;6;40.780087471;
41;4;17.6969356537;29.5;10;32.8070430756;2;17.0;15.5;6;41.1303920746;
42;4;18.7565841675;27.5;11;33.0658724308;3;18.6293373108;17.0;5;42.4319667816;
43;4;17.8148212433;28.5;12;33.317584753;3;19.6971931458;18.0;5;42.8196247816;
44;4;17.8714561462;29.5;13;33.5614624023;3;20.0094146729;18.5;6;43.1837524176;
45;4;17.2982387543;28.5;13;33.7969180346;3;20.0913448334;19.5;6;43.4377241135;
46;4;16.3062152863;30.5;14;34.0234951973;3;19.1278610229;18.5;6;43.6183350086;
47;4;16.3142967224;32.5;15;34.2408664227;3;20.8043727875;20.5;6;43.8187118769;
