Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
123;7;42.2084083557;73.3057556152;34;78.2848641872;15;45.6426773071;151.79473877;42;121.685104251;
124;7;41.3000411987;75.4921035767;35;79.523509264;15;45.8083877563;154.153320312;42;124.424058914;
125;7;41.3962440491;77.686416626;35;80.6847367287;15;49.9720153809;149.153320312;42;126.048346758;
126;7;41.4968795776;75.8961868286;36;81.772195816;15;51.7929801941;149.153320312;43;128.442392826;
127;7;41.6017532349;75.0588989258;36;82.7920789719;16;54.0094223022;150.153320312;43;129.856860399;
128;7;42.7106170654;76.229888916;37;83.7519652843;16;56.2183952332;151.153320312;44;131.14799428;
129;7;42.8231544495;76.4089202881;37;84.6598472595;16;57.2189178467;151.635803223;44;132.403643966;
130;7;41.9389915466;79.595703125;38;85.5234005451;16;57.4102096558;152.804138184;46;133.623371601;
131;7;43.0576972961;79.0121078491;38;86.1575853825;17;57.5916671753;154.014953613;45;134.807629347;
132;7;43.1787872314;78.2565155029;34;86.7889225483;17;57.7628936768;154.205932617;45;135.939994931;
133;7;42.3017196655;80.5061035156;32;87.4252281189;17;57.9183959961;154.378158569;40;138.008290768;
134;7;43.4259338379;77.7184753418;30;88.0642046928;17;62.9183959961;155.378158569;36;139.108473182;
135;7;43.5508270264;77.9353790283;31;88.7034420967;17;66.7517623901;159.378158569;35;140.094473958;
136;7;41.6757736206;79.8473968506;30;89.3404560089;18;68.2920074463;166.378158569;34;141.042307258;
137;7;42.8001556396;79.0704727173;31;89.9727311134;18;72.5313415527;167.378158569;36;141.985311985;
138;7;43.9233551025;79.2950592041;31;90.5977687836;18;77.5697479248;167.378158569;36;142.924741864;
139;7;43.0447692871;82.0621795654;32;91.2131309509;18;77.755645752;173.378158569;36;143.857875705;
140;7;44.1638336182;81.321472168;32;91.8164873123;18;81.2445831299;176.378158569;37;144.663144827;
141;7;43.2800216675;79.5439147949;33;92.4056563377;18;83.3610076904;179.378158569;39;145.388869166;
142;7;42.3928527832;81.763420105;33;92.9786424637;18;85.3955764771;182.378158569;39;147.133874178;
143;7;44.5019073486;81.9789581299;35;93.5336651802;18;90.4291687012;185.378158569;39;148.080668807;
144;7;43.6068305969;80.1895751953;36;94.0691862106;18;92.4499969482;187.378158569;43;151.854384899;
145;7;42.7073287964;82.3943634033;37;94.5526061058;18;93.9780044556;193.078140259;44;155.249749541;
146;7;44.8031768799;82.5925521851;37;94.9467964172;18;96.469619751;198.607345581;45;158.316532612;
147;7;43.8942108154;80.7653961182;37;95.3224577904;18;100.924255371;201.108261108;48;161.115542173;
148;7;42.9803352356;82.7653961182;38;95.6790218353;19;103.342216492;202.468399048;47;163.535471439;
149;7;45.0615081787;82.7653961182;39;96.0161581039;19;105.724586487;203.660964966;47;165.70344305;
150;7;48.0615081787;79.7653961182;39;96.3337569237;19;102.073020935;210.746322632;50;167.842108488;
151;7;48.0615081787;82.7653961182;39;96.6319112778;19;101.589584351;216.234146118;51;169.958481312;
152;7;51.0615081787;82.7653961182;40;96.9108915329;19;101.876602173;222.368911743;53;171.861871958;
153;7;53.0615081787;82.7653961182;41;97.171122551;20;101.136497498;228.503463745;54;173.621102333;
