Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
23;2;27.75;10.625;4;24.8198068142;2;29.9134845734;12.5;4;26.5906432867;
24;2;28.75;10.625;3;25.102899313;3;29.9543857574;12.5;3;26.6607804298;
25;2;26.75;11.625;3;25.3975343704;3;29.9964675903;12.5;3;26.7328453064;
26;2;26.75;12.625;3;25.7024803162;3;30.0397071838;12.5;3;26.8067884445;
27;3;26.75;12.8512401581;2;26.0162696838;3;30.084072113;12.5;3;26.8825509548;
28;3;26.75;13.0081348419;2;26.3372173309;3;30.129529953;12.5;3;26.9600640535;
29;3;26.75;13.1686086655;2;26.6634492874;3;30.1760387421;12.5;3;27.0392494202;
30;3;26.75;13.3317241669;2;26.9929418564;3;30.2235488892;12.5;4;27.120018959;
31;3;26.75;13.496471405;2;27.3235664368;3;30.2720108032;12.5;4;27.2022752762;
32;3;26.75;13.6617832184;3;27.6531443596;3;30.3213653564;12.5;4;27.2859115601;
33;3;26.75;13.8265724182;3;27.9795031548;3;30.371547699;14.5;4;27.3708124161;
34;3;26.75;13.9897518158;3;28.3005337715;3;30.4224872589;16.5;4;27.4568536282;
35;3;26.75;15.9897518158;4;28.6142449379;3;30.474111557;18.5;4;27.5439035892;
36;3;26.75;17.9897518158;4;28.9188122749;3;30.526342392;20.5;4;28.6318233013;
37;3;26.75;19.9897518158;4;29.2126188278;3;31.5790939331;23.5;4;28.7904678583;
38;3;26.75;21.9897518158;4;29.4942865372;3;32.6322822571;24.5;4;28.9538375139;
39;3;26.75;23.9897518158;4;29.7626972198;3;32.6858139038;25.5;4;29.1219165325;
40;3;26.75;24.8813476562;6;31.0169973373;3;32.7395935059;26.5;4;29.294675231;
41;3;28.75;23.8813476562;6;31.2865993977;3;32.7935333252;27.5;4;29.4720680714;
42;3;30.75;23.8813476562;7;31.5417606831;3;32.8475341797;28.1964225769;5;29.6540328264;
43;3;31.75;23.8813476562;7;31.7823750973;3;32.9014968872;28.2424373627;5;29.8404880762;
44;3;32.75;24.625;7;32.0085451603;4;33.9553222656;29.290807724;5;31.0313322544;
45;3;33.75;25.625;8;32.2205532789;4;36.0089225769;29.5;6;31.2264409065;
46;3;34.6388320923;26.202917099;8;32.4188324213;4;36.7358627319;30.5;6;31.4256660938;
47;4;34.7380752563;26.2193546295;8;32.6039361954;4;36.8553962708;31.5;6;31.6288335323;
48;4;32.7380752563;26.625;9;32.776507616;4;36.9772987366;32.5;7;31.8357417583;
49;4;33.7380752563;26.2530384064;8;32.9372551441;4;37.1014442444;32.5;7;32.0461602211;
50;4;31.7380752563;27.2702713013;8;33.0755085945;4;37.2276916504;32.5;7;32.2598283291;
51;4;30.7380752563;28.2877540588;8;33.1109591722;4;37.3558959961;32.5;8;33.5303769112;
52;4;29.7380752563;29.3054790497;8;33.1468753815;5;38.1182250977;33.0;8;34.5864319801;
53;4;28.75;30.3234367371;9;33.1832377911;5;38.7518615723;33.3899993896;8;35.4621264935;
54;4;28.75;31.3416194916;9;34.2200255394;5;39.2772750854;33.6872596741;10;36.1929485798;
55;4;30.75;30.3600120544;9;35.378641963;5;39.7157707214;33.9097442627;10;36.6634861231;
56;4;33.2281265259;30.7880706787;11;36.3724318743;5;39.9980926514;34.0;10;36.9571024179;
57;4;34.6187667847;31.1439666748;12;37.2191901207;5;40.1742630005;34.0;9;37.2536797523;
58;4;35.9322776794;31.4363136292;12;37.9389635324;5;40.3522071838;34.0;10;37.5525288582;
59;4;37.1802062988;32.6747055054;13;38.5517334938;5;40.5315170288;34.0;10;38.8529107571;
60;5;38.3739547729;33.4745483398;12;38.8694064617;5;41.7117462158;35.0;10;39.1940455437;
61;6;39.4000015259;32.0;11;59.1292653084;5;42.8924255371;36.0;12;39.5363041162;
62;6;38.4000015259;35.609588623;13;61.1360296011;5;43.0730705261;37.0;13;39.8788545132;
63;6;38.4000015259;37.6680145264;13;62.8247174025;5;43.2531814575;38.0;13;40.2208524942;
64;6;38.4000015259;39.727558136;14;64.2617346048;5;43.4322471619;39.0;13;40.5614532232;
65;6;38.4000015259;41.7881660461;14;65.4500458241;5;43.6097679138;39.8482894897;16;40.8998252153;
66;6;38.4000015259;43.8497848511;15;67.4119470119;5;43.785243988;39.8804244995;16;41.2351607084;
67;7;39.4000015259;45.9123497009;14;68.1553381681;5;43.9582061768;39.9133720398;15;41.549051404;
68;7;41.4000015259;45.8052787781;15;68.743673861;5;37.0313339233;42.7384796143;15;41.8267602921;
69;7;42.4000015259;47.832572937;16;69.1424314976;5;41.0039176941;39.9816627502;17;42.1012870073;
70;7;41.7000007629;48.105091095;16;69.255579412;5;34.0515518188;43.8467483521;17;42.3719934225;
71;7;41.7000007629;49.1707763672;16;69.3717318177;5;34.7999992371;44.9022445679;17;42.6383066177;
72;7;40.7000007629;48.6858673096;16;69.4905424118;5;36.7999992371;43.9586029053;18;42.8997248411;
73;7;40.7000007629;48.7452697754;17;70.6116781831;5;36.7999992371;43.0157814026;17;43.1558185816;
74;8;42.7000007629;50.8058395386;16;70.7348179221;5;34.7999992371;44.0737457275;18;43.4062312841;
75;8;42.7000007629;49.4341812134;17;70.859651804;5;35.7999992371;46.1324424744;18;43.6506794691;
76;8;42.7000007629;51.4588546753;20;70.9858810902;5;35.7999992371;43.1918411255;18;43.8889482021;
77;8;43.7000007629;53.9929428101;20;71.113217473;5;36.7999992371;43.2518806458;18;44.1208873987;
78;8;42.7000007629;54.0566101074;20;71.241382122;5;35.7999992371;45.3125038147;19;44.3464082479;
79;8;42.7000007629;54.6206932068;21;71.3701069355;5;34.7999992371;46.1670379639;19;44.5654754639;
80;8;43.7000007629;55.6850509644;21;71.4991337061;5;32.7999992371;46.2485733032;20;44.7781016827;
81;8;42.7000007629;54.7495651245;21;71.6282140017;5;32.7999992371;48.3306503296;20;44.984341383;
82;8;42.7000007629;54.8141059875;21;71.7571099401;5;32.7999992371;50.4131774902;22;45.1842849255;
83;8;43.7000007629;55.8785552979;22;71.8855938911;5;30.7999992371;50.4960746765;23;45.3780505657;
84;8;42.7000007629;54.9427986145;22;72.013448894;5;30.7999992371;51.5792617798;23;45.5657799244;
85;8;42.7000007629;55.0067214966;23;72.1404684186;5;28.7999992371;53.0844917297;22;45.6721191406;
86;9;40.7000007629;58.6983299255;18;72.2664574385;5;27.7999992371;54.1404380798;22;45.773607254;
87;9;39.7000007629;58.1931877136;17;72.3912318349;5;26.7999992371;56.1965522766;22;45.8749630451;
88;9;38.7000007629;60.2142105103;18;72.5146185756;5;26.2231292725;59.2527694702;23;45.9760801792;
89;9;37.7000007629;62.2553520203;19;72.6364561915;5;25.7999992371;57.3090209961;22;46.0768520832;
