Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
95;7;23.3999996185;40.0;22;49.3051074743;16;60.9757156372;146.34866333;27;123.524469256;
96;7;23.3999996185;43.0;23;49.4577066898;17;61.341632843;149.335754395;26;124.917094946;
97;8;23.7279834747;44.0;23;49.5676511526;17;60.4917068481;154.733413696;27;126.306005597;
98;8;23.3999996185;47.0;24;49.6841644049;18;62.6306037903;154.123382568;27;127.744914532;
99;8;23.3999996185;50.0;23;49.8073750734;18;61.7744979858;156.504730225;27;129.43684566;
100;9;23.3999996185;53.0;22;53.1170982122;17;58.6257171631;154.876846313;27;130.697408915;
101;9;24.3999996185;57.0;22;53.3754019737;17;61.9697418213;155.039382935;28;135.313619375;
102;9;25.3999996185;61.0;23;54.6411619186;17;65.2640228271;157.22567749;28;140.074135303;
103;9;26.3999996185;66.0;23;55.0640214682;17;69.6806030273;161.418869019;28;144.939412475;
104;9;27.3999996185;71.0;24;56.1007051468;17;75.1111602783;163.603027344;30;149.893140197;
105;9;27.3999996185;75.2727966309;24;57.1083718538;18;79.459564209;167.120391846;30;153.897634983;
106;9;27.3999996185;77.6199569702;24;58.0932588577;18;82.0033416748;173.59576416;32;157.827424049;
107;9;27.3999996185;79.7726821899;25;59.0623027086;18;85.4607162476;176.215744019;36;161.644073725;
108;9;27.3999996185;80.9306793213;24;60.0225753784;18;86.7919158936;181.856338501;36;165.314803362;
109;9;27.3999996185;82.0935974121;24;61.8194026947;18;88.3409042358;188.512130737;37;168.814067245;
110;9;27.3999996185;83.2609863281;24;63.3592494726;18;91.8061523438;189.177154541;40;172.124557734;
111;10;29.3999996185;85.6323699951;24;66.4162874818;18;90.8274230957;195.845199585;40;175.23741138;
112;10;32.6699981689;89.6231842041;23;68.6220638156;18;91.2646408081;202.509994507;39;178.151622653;
113;10;33.8854598999;93.5524749756;23;70.6475945115;20;92.6659927368;206.165557861;25;195.742915273;
114;10;34.0527496338;97.3707809448;23;72.5247343183;20;94.0119094849;206.390029907;27;199.548870564;
115;10;34.1797904968;101.09437561;21;74.2847420573;20;94.3048858643;212.941192627;28;207.847755194;
116;10;35.2746047974;102.570510864;21;75.7568105459;20;98.53150177;212.741195679;27;215.017816782;
117;10;36.2999992371;103.896209717;23;76.868093133;20;98.0980911255;221.312393188;26;221.157743931;
118;10;36.4168663025;105.167778015;24;77.9949191809;20;102.418457031;227.704559326;31;226.346233368;
119;10;36.4505615234;106.4400177;22;79.3869827986;20;107.488319397;231.941192627;33;231.21423173;
120;10;34.4815711975;104.711303711;25;79.8733138442;20;111.798088074;236.941192627;37;234.757462144;
121;10;32.5100212097;102.689666748;26;80.3921335936;20;115.132141113;244.941192627;41;237.870518923;
122;10;32.5360488892;100.68057251;27;80.8871944547;20;119.412528992;252.941192627;43;240.458661437;
123;9;30.5499992371;94.1523132324;27;71.2236843705;21;124.997398376;254.941192627;44;252.044662714;
124;9;30.5499992371;93.1151275635;28;71.0845835209;22;125.136474609;261.941192627;41;256.449301362;
125;9;30.5499992371;93.0895233154;28;70.969961822;23;131.303543091;269.941192627;42;259.81972301;
