Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
160;15;77.4212799072;153.367355347;45;166.046297073;17;91.1938400269;226.495651245;50;204.651562929;
161;15;80.7478485107;154.737930298;45;166.748353958;17;93.4451980591;233.195663452;51;207.581045389;
162;15;83.870513916;156.110946655;46;167.451677084;17;93.6301269531;243.195663452;51;210.173875093;
163;15;83.9924087524;159.485565186;46;168.154783487;17;94.6301269531;253.195663452;52;212.722807169;
164;15;85.1133117676;162.86100769;48;168.856171846;17;95.6301269531;263.195678711;52;215.258992195;
165;15;86.233001709;166.236419678;50;169.554336309;17;96.6301269531;273.195678711;52;217.851759672;
166;15;87.3512573242;169.610961914;52;170.233039856;17;98.6301269531;280.195678711;54;220.492725372;
167;15;88.4571762085;172.983764648;53;170.880736113;17;99.6301269531;287.195678711;52;223.170955896;
168;15;90.5432662964;173.354064941;54;171.522018433;17;101.599998474;294.195678711;56;225.818081856;
169;15;91.0281906128;174.6378479;55;172.152461529;17;102.849998474;301.143798828;58;228.378032684;
170;15;92.1117782593;176.833343506;56;172.736892223;17;105.849998474;301.593017578;59;230.893084049;
171;15;95.1938400269;173.917388916;57;173.312141418;17;105.849998474;304.612579346;60;233.397018433;
172;15;93.774230957;180.433334351;58;173.877024651;17;105.849998474;310.663360596;61;235.868515968;
173;15;92.8528060913;187.433334351;59;174.430446148;17;110.849998474;309.738037109;64;239.560917854;
174;15;93.9294204712;191.433334351;60;174.971405029;17;111.849998474;312.053314209;64;241.475103855;
175;15;94.0039672852;195.433334351;60;175.49900198;17;112.849998474;318.850311279;66;243.35803318;
176;15;95.0763473511;196.433319092;62;176.012443542;17;118.25;313.850311279;68;243.530267239;
177;15;94.1464767456;200.433319092;62;176.511043549;17;116.25;321.850311279;71;243.748738766;
178;15;94.2142868042;204.433319092;63;176.994224072;17;119.25;326.850311279;72;243.995648384;
179;15;93.2797241211;212.233337402;63;177.461515427;17;122.25;325.850311279;72;244.256514549;
180;15;95.3427581787;213.233337402;56;177.91255331;17;127.25;324.850311279;71;244.506057262;
181;15;95.4033508301;217.233337402;56;178.347075939;17;129.25;325.850311279;73;244.644884586;
182;14;80.0615081787;216.233337402;57;160.764918804;18;132.25;326.850311279;71;262.7845397;
183;14;81.117225647;220.233337402;58;161.16601038;18;134.25;329.850311279;71;262.919535637;
184;14;85.1705169678;215.233337402;59;161.550365448;18;134.25;331.850311279;73;263.046102524;
185;13;76.2214126587;214.233337402;60;131.918078423;19;135.25;338.850311279;73;293.161841393;
186;13;77.2699432373;215.233337402;61;132.269316196;19;137.25;342.850311279;76;293.265437603;
187;13;80.31615448;211.233337402;61;132.555902958;19;140.25;344.850311279;78;293.211727142;
188;13;79.3249969482;213.233337402;29;132.768981934;19;143.25;345.850311279;57;293.160616875;
189;13;80.3249969482;215.233337402;21;132.911860943;19;146.25;346.850311279;54;293.085800648;
190;13;83.3249969482;211.233337402;12;132.987800121;20;147.25;353.850311279;53;292.949163437;
191;13;80.3249969482;213.233337402;12;133.0;20;151.25;350.850311279;54;292.808246613;
192;13;80.4249954224;215.233337402;13;133.0;20;150.25;353.850311279;54;303.987771511;
193;13;82.4249954224;214.233337402;14;133.0;20;153.408004761;363.650299072;55;313.40303421;
194;13;83.1249923706;213.233337402;14;133.0;20;156.432723999;372.2215271;56;317.7833395;
195;13;82.125;215.233337402;16;133.0;20;153.559204102;393.658325195;58;321.374117851;
196;13;83.1249923706;210.233337402;17;134.199998856;20;153.881317139;409.111175537;58;325.197454453;
197;11;82.2990036011;192.033325195;14;131.373118401;22;161.699645996;422.242431641;52;331.40519464;
198;11;83.4690933228;192.033325195;15;132.514392376;22;168.331192017;437.167388916;56;333.204182625;
199;11;84.6345825195;192.033325195;17;133.619402885;22;174.099304199;449.096679688;57;334.624976039;
200;11;84.7948074341;195.033325195;17;134.684337616;22;176.944549561;460.611816406;59;335.810281754;
201;11;85.9492263794;194.033325195;12;135.706027985;22;179.690093994;465.386962891;62;336.383542418;
202;11;88.097366333;186.033325195;12;136.681965828;22;182.461090088;467.496704102;63;336.703306913;
203;10;82.2388839722;156.433319092;12;125.610301018;23;185.932174683;471.106903076;66;348.948637247;
204;10;84.3734893799;156.433319092;12;126.489820004;23;185.678970337;467.46484375;64;349.703320742;
205;10;89.5010147095;148.433319092;12;127.319910049;23;207.410949707;475.154754639;65;353.792653799;
206;9;81.6213912964;138.553985596;12;119.880409241;24;203.038497925;489.988861084;64;365.542105913;
207;7;64.034576416;126.67464447;10;100.099236488;26;202.823486328;501.940887451;60;389.708304405;
208;7;64.034576416;120.074645996;11;100.509255409;26;206.546737671;515.445373535;62;398.656043053;
209;7;63.034576416;119.074645996;12;100.891107559;26;210.251922607;533.753662109;63;403.711286068;
210;7;63.034576416;118.510482788;13;101.24571991;27;213.590209961;551.19519043;62;433.806828976;
211;7;59.0750007629;117.148574829;11;101.574165344;27;226.347473145;582.126403809;63;460.54399395;
212;7;58.0750007629;116.258056641;12;101.877628326;27;237.633880615;611.512023926;67;483.867746353;
213;7;58.0750007629;116.359207153;13;102.0;27;246.602676392;639.374450684;69;503.943717957;
214;7;58.0750007629;116.400001526;14;102.0;27;252.939590454;665.934020996;69;520.481361866;
215;7;58.0750007629;116.400001526;15;102.0;27;257.858337402;695.761413574;70;534.019848347;
216;7;58.0750007629;116.400001526;14;102.0;27;261.526763916;724.1328125;75;548.210040092;
217;6;56.0750007629;101.900001526;16;93.0;28;269.396881104;756.369873047;75;563.299487114;
218;6;56.0750007629;101.900001526;17;93.0;28;269.524414062;782.509521484;71;565.484386921;
219;5;54.0750007629;87.4000015259;18;84.0;29;263.429107666;706.600463867;69;573.580859184;
220;5;54.0750007629;87.4000015259;18;84.0;29;266.909118652;779.106872559;70;576.06931591;
221;5;53.0750007629;86.4000015259;19;84.0;29;273.888977051;792.982177734;73;580.761435032;
222;5;53.0750007629;86.4000015259;19;84.0;29;281.720214844;807.777404785;74;582.992619514;
