Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
20;2;25.8624305725;12.5;6;26.3968753815;1;17.625;12.5;7;25.0;
21;2;25.8785934448;12.5;5;26.4332377911;1;17.625;12.5;8;25.0;
22;2;25.8949565887;12.5;5;26.4700255394;1;17.625;12.5;8;25.0;
23;3;25.9115104675;12.5;4;26.5072168112;1;17.625;12.5;8;25.0;
24;3;25.25;12.5;5;26.5447884798;2;17.625;12.5;7;25.0;
25;4;25.25;13.1179151535;4;26.5827163458;2;17.625;12.5;7;25.0;
26;4;25.25;13.1330862045;4;26.6209751368;2;17.625;12.5;7;25.0;
27;4;25.25;13.1483898163;4;26.6595385075;2;17.625;12.5;7;25.0;
28;4;25.25;13.1638154984;4;26.6983793974;2;17.625;12.5;7;25.0;
29;4;25.25;13.1793518066;4;26.7374696732;2;17.625;12.5;8;25.0;
30;4;25.25;13.1949882507;4;26.7767804861;2;17.625;12.5;8;25.0;
31;4;23.25;14.2107124329;4;26.8162822723;2;15.625;13.5;8;25.0;
32;4;24.25;13.2265129089;4;27.8559447527;2;14.625;14.5;8;25.0;
33;4;23.25;14.6423778534;4;27.9357372522;2;13.625;15.5;8;25.0;
34;4;23.25;15.6742954254;4;28.0168124437;2;12.625;16.5;8;25.0;
35;4;22.25;16.7067241669;3;28.0991406441;2;12.0;17.5;9;25.0;
36;4;21.25;17.2902355194;3;28.1826885939;2;12.0;18.5;10;25.0;
37;4;22.25;20.2902355194;3;29.2674201727;2;12.0;19.5;10;25.0;
