Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
93;14;47.4860649109;114.439605713;23;109.734040976;9;36.7284088135;76.7097473145;18;100.169977307;
94;14;47.6734046936;118.564208984;23;111.591524363;9;36.0728607178;78.7097473145;19;103.149435878;
95;14;50.7591514587;115.693786621;25;113.491612196;9;38.3350105286;78.7097473145;20;105.047953248;
96;14;52.8985328674;115.526397705;25;114.451580048;10;39.53099823;79.7097473145;19;106.624795079;
97;14;55.3538513184;117.631477356;26;116.410725117;10;38.5999984741;83.7097473145;20;107.990302205;
98;14;58.5869979858;118.741210938;27;117.40576148;10;39.5999984741;82.7097473145;20;109.284320712;
99;14;58.7137451172;125.855453491;27;118.394942164;10;39.5999984741;83.7097473145;20;110.498840213;
100;14;59.4545707703;124.974052429;28;119.37572062;11;38.5999984741;87.7097473145;17;111.631060958;
101;14;58.6389389038;125.096755981;29;120.345929384;11;39.5999984741;88.7097473145;18;112.68256557;
102;15;57.7888221741;128.223297119;29;121.303768754;12;39.5999984741;89.7097473145;17;114.658200026;
103;16;58.9379310608;132.353347778;32;122.247772932;12;39.5999984741;91.7097473145;18;115.594887257;
104;16;62.431892395;128.48651123;33;123.176771998;13;41.5999984741;91.7097473145;17;116.471168995;
105;17;60.1176757812;131.622360229;33;124.089843392;13;40.5999984741;96.7097473145;19;117.295176506;
106;17;61.2029151917;135.760452271;33;124.986269951;14;46.8417129517;101.709747314;18;117.973574877;
107;17;65.8029403687;131.900268555;34;125.865495324;14;50.7973556519;105.800003052;18;118.534772277;
108;17;64.9397201538;134.041275024;34;127.727085948;14;52.853477478;103.800003052;18;119.099445462;
109;17;65.2552871704;140.182922363;35;129.630703688;14;50.7099456787;106.800003052;19;120.666306734;
110;17;70.354850769;138.324615479;36;132.411335468;14;53.7666282654;106.800003052;19;122.256561279;
