Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
20;3;27.8307437897;12.5;5;51.1262936592;1;16.3148155212;12.5;5;25.0;
21;3;28.8464794159;12.5;5;52.2031832933;1;17.3148155212;12.5;7;25.0;
22;3;29.8624305725;12.5;5;53.0551395416;1;17.625;12.5;7;25.0;
23;3;30.8785934448;12.5;5;53.715767622;1;17.625;12.5;7;25.0;
24;3;31.8949565887;12.5;5;54.2211241722;1;17.625;12.5;7;25.0;
25;3;29.9115104675;13.5;5;54.5072168112;1;17.625;12.5;7;25.0;
26;3;28.9282474518;14.5;6;54.5447884798;1;17.625;12.5;9;25.0;
27;3;27.9451541901;15.5;7;54.5827163458;1;17.625;12.5;9;25.0;
28;3;27.962223053;16.5;7;54.6209751368;1;17.625;12.5;9;25.0;
29;3;27.9794387817;17.5;7;54.6595385075;1;17.625;12.5;10;25.0;
30;3;27.9967918396;18.5;7;54.6983793974;2;17.625;12.5;7;53.75;
31;3;28.0142707825;19.5;8;54.7374696732;2;18.625;12.5;7;55.7625007629;
32;3;28.0318603516;20.5;9;54.7767804861;2;19.625;12.5;7;57.2967796326;
33;3;28.0495510101;21.5;10;54.8162822723;2;20.625;12.5;7;58.4120597839;
34;3;28.0673274994;22.5;9;54.8559447527;2;21.625;12.5;7;59.1932144165;
35;3;28.25;22.5;10;54.8957372904;2;22.625;12.5;7;59.725528717;
36;4;30.1030807495;23.5;9;54.9356285334;2;23.625;12.5;7;59.75;
37;4;31.1210327148;24.5;9;54.9755871296;2;24.625;12.5;7;59.75;
38;5;32.1390151978;25.5;8;67.765581131;2;25.625;12.5;7;59.75;
39;5;34.1570129395;28.5;8;68.4430785179;2;26.625;12.5;7;59.75;
40;5;36.1750106812;29.5;8;69.0670778751;3;27.625;12.5;6;59.75;
41;5;38.1929969788;30.5;8;69.6348967552;3;28.625;12.5;6;59.75;
42;5;40.2109565735;31.5;9;70.1460258961;3;29.625;12.5;7;59.75;
43;5;42.2288742065;32.5;9;70.6017925739;3;30.0499992371;12.5;7;59.75;
44;5;44.2467346191;32.5;9;71.0049474239;3;30.0499992371;12.5;7;59.75;
45;5;46.2645263672;32.5;10;71.3592381477;3;28.0499992371;13.5;7;59.75;
46;5;48.2822341919;32.5;11;71.6690139771;3;27.0499992371;15.5;7;59.75;
47;6;49.8998451233;32.5;10;71.9388926029;3;26.0499992371;17.5;7;59.75;
48;6;48.3725013733;33.5;11;72.1605007648;3;25.0499992371;19.5;7;59.75;
49;7;47.4722251892;34.5;9;72.1988155842;3;24.4249992371;21.5;7;59.75;
50;7;46.4894676208;35.5;9;72.2368011475;3;24.4249992371;23.5;8;59.75;
51;7;45.5065612793;36.5;10;74.5161745548;4;25.4249992371;25.5;7;60.75;
52;7;45.1542816162;38.0;9;76.3024032116;4;26.4249992371;27.5;7;60.9099999666;
53;8;44.6777572632;39.3899993896;8;106.683000326;4;26.4249992371;29.5;7;64.4287430048;
54;8;45.0952377319;41.6872596741;9;110.821416616;4;27.0504989624;31.5;7;67.0655870438;
55;8;46.4256362915;44.9097442627;10;112.937264442;4;27.483127594;33.5;8;66.7294861078;
56;8;47.5592269897;48.0;10;115.331257343;4;27.3773136139;34.5;8;66.4837749004;
57;8;48.5869522095;52.0;13;116.53235364;4;27.282081604;35.5;8;66.3257601261;
58;8;49.6144943237;56.0;13;117.478466988;4;27.1963729858;36.5;8;68.8505313396;
59;8;48.0418243408;60.0;14;117.9726789;4;27.5802688599;37.5;9;70.7497286797;
60;8;48.068901062;63.6059188843;14;118.409557819;4;27.8291397095;38.5;9;72.0070815086;
61;8;48.095703125;66.6288757324;14;118.904022455;4;27.9249992371;39.5;9;73.7709121704;
62;8;48.1222000122;69.6279144287;16;119.46303916;4;28.9249992371;41.5;11;74.3227899075;
63;8;48.1483650208;71.8330841064;17;120.093315005;4;29.9249992371;43.5;11;74.9192860126;
64;8;48.1741638184;73.3660049438;17;120.800776362;4;29.9249992371;45.5;11;75.5579516888;
65;8;48.1995811462;75.6062164307;19;121.589900017;4;29.9249992371;47.5;12;76.2347066402;
66;9;48.9245872498;77.8312072754;18;122.462919235;4;30.9249992371;46.5;14;76.9437793493;
67;9;48.9491653442;78.3853530884;20;123.41896534;4;29.9249992371;48.3090820312;14;77.6777769327;
68;9;48.9732894897;80.5301589966;22;124.453253627;4;29.9249992371;49.3320960999;14;78.4279050827;
69;10;48.9969482422;81.9282989502;20;135.556464434;4;30.9249992371;47.3554878235;14;82.9978249073;
70;10;55.5557861328;84.3545379639;21;137.214505672;5;30.6703109741;48.3792533875;13;83.4951202869;
71;10;60.4967880249;86.803237915;22;138.881319165;5;30.6032810211;49.4033813477;14;84.0314745903;
72;10;64.6408538818;89.2669906616;23;141.531750083;6;31.5429534912;52.4278564453;13;85.586371541;
73;10;67.5271911621;92.7369613647;23;143.239713669;6;31.488658905;50.952671051;13;86.0408347845;
74;10;68.9114456177;96.2035522461;24;144.889049292;6;32.4397926331;50.9278144836;14;86.4884303212;
75;10;69.2092590332;98.6571578979;26;146.458280802;6;31.4397926331;51.9082641602;14;86.9149774313;
76;10;69.3884353638;101.089035034;26;147.930622697;6;31.4397926331;52.8935165405;15;87.3100300431;
77;10;69.5573272705;103.492004395;27;149.295032978;6;31.4397926331;53.5550537109;14;87.666851759;
78;10;69.7148208618;105.658226013;27;150.535000205;6;31.4397926331;54.5813522339;16;87.9820772409;
79;10;69.8535003662;107.065200806;28;151.634433508;6;30.4397926331;54.6079025269;16;88.2551634312;
80;11;68.897605896;104.176879883;27;169.251543283;5;28.4397926331;42.6079025269;17;71.4690034986;
81;12;66.062789917;112.186149597;26;170.542511225;6;27.4397926331;42.6079025269;17;71.3268963695;
82;12;66.152381897;115.265815735;27;171.592977762;6;27.4397926331;43.6079025269;18;71.2031334341;
83;12;66.2237091064;123.265815735;27;172.484213352;6;27.4397926331;44.6079025269;18;71.0958782434;
84;12;66.0484237671;130.932769775;27;173.282537699;6;26.8509712219;45.6079025269;20;71.0034721494;
85;12;66.1282577515;134.132293701;29;173.820548773;6;25.8398551941;45.771396637;20;70.9244146943;
86;13;64.1820602417;139.340209961;30;174.129025698;6;22.8398551941;47.7991638184;20;70.8573581427;
87;13;64.2128982544;139.629379272;32;174.448296309;6;20.8398551941;49.8270149231;21;70.8010884523;
88;13;63.2448310852;142.809570312;32;175.453452587;6;18.8398551941;51.8549423218;22;70.7545018196;
89;13;61.3453483582;148.361312866;32;176.548452139;6;17.400062561;53.8829116821;22;70.716605112;
90;13;61.4548454285;150.189498901;33;177.733273029;6;16.400062561;55.9109077454;23;70.6865006685;
91;13;60.5733299255;151.988510132;35;179.004381657;6;16.0;57.9389038086;24;70.6633780599;
92;13;58.7004394531;156.847930908;35;180.353988647;6;16.0;59.966884613;25;70.6465042681;
93;13;59.8353996277;158.762420654;36;181.76957202;6;16.0;61.9948196411;25;70.6352170706;
94;13;60.9769554138;157.723342896;37;183.233850002;6;16.0;64.0226898193;25;70.6289167032;
95;14;60.1233825684;159.718719482;37;184.725347042;6;17.0;63.0504760742;26;70.6270593554;
96;14;60.2725372314;161.733612061;39;186.219614983;6;16.0;65.0781555176;26;70.6291538998;
97;14;61.421962738;160.751037598;40;187.691007614;6;16.0;67.1056976318;26;70.6347609162;
98;14;60.569103241;162.753128052;40;189.114767551;6;17.0;66.1330947876;27;70.6434761137;
99;14;61.6934089661;162.623260498;40;190.469069004;6;16.0;68.1603164673;27;70.6549336165;
100;14;61.8469047546;162.448730469;42;191.736645699;6;17.0;67.1873474121;27;70.6688043885;
