Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
42;4;33.9488258362;27.5;6;40.2066137791;3;25.4872512817;19.5;6;34.4193067551;
43;4;34.0929756165;27.5;6;40.4362905025;3;26.5193443298;22.5;6;34.6823900938;
44;4;34.1963310242;27.5;7;40.6205644608;3;26.8035373688;25.5;6;34.9516261816;
45;4;34.2792549133;27.5;7;40.8139474392;3;26.8641166687;26.5;7;35.2287750244;
46;4;34.3662757874;27.5;8;41.016159296;3;26.9264736176;27.5;7;35.5156652927;
47;5;34.4572715759;27.5;8;41.2268030643;3;24.625;29.3091678619;7;35.8141504526;
48;5;34.5520629883;27.5;9;41.445360899;3;25.625;28.4093551636;8;36.0402543545;
49;5;34.6504135132;27.5;9;41.6711919308;3;27.0840568542;27.5;8;36.2842636108;
50;5;34.7520370483;27.5;10;41.9035346508;3;27.1639595032;27.5;8;36.5518820286;
51;6;34.0999984741;29.5;8;43.141512394;3;27.2241725922;27.5;8;36.8440244198;
52;6;33.0999984741;32.1566047668;6;43.4741424322;3;26.6499996185;28.5;8;37.1613030434;
53;6;32.5904998779;34.25365448;6;45.2622103691;3;27.3612937927;27.5;9;37.5039470196;
54;6;32.0891113281;36.8696746826;7;47.8047999144;3;26.6499996185;28.5;9;37.871723175;
55;6;33.4929504395;38.3899993896;7;49.1969857216;3;26.6499996185;29.4358615875;9;38.263862133;
56;6;34.9678115845;40.6872596741;7;50.4187486172;3;26.6499996185;29.6319313049;9;38.6789975166;
57;6;35.7372894287;42.6393547058;11;51.3566701412;3;27.6499996185;27.6319313049;9;39.1151270866;
58;6;36.0216217041;43.8256378174;12;52.0963320732;3;27.8009033203;27.5;9;39.5695996284;
59;6;36.2292747498;44.9092903137;12;52.8199230433;3;25.9031600952;28.5;9;40.0391392708;
60;6;36.440826416;45.6469268799;13;53.4182325602;3;25.6499996185;28.5;9;40.5199065208;
61;7;36.655632019;47.6469268799;13;53.9799880981;3;26.6499996185;29.5;10;41.007601738;
62;7;36.8730354309;49.6469268799;14;54.549310565;4;26.6499996185;30.5;12;41.4976010323;
63;7;37.0923881531;51.6469268799;14;55.1247911453;4;27.6499996185;28.5;12;41.9851250648;
64;7;37.3130569458;53.6469268799;13;55.7050379515;4;24.4466533661;29.5;12;43.8051233292;
65;8;37.5344238281;55.6469268799;9;83.2886735201;4;22.6499996185;30.5;12;45.3882923126;
66;8;39.7558784485;54.8973655701;9;86.574328661;4;22.625;31.3899993896;12;46.7614021301;
67;8;39.9768295288;56.9446907043;9;89.3287322521;4;21.625;31.3899993896;12;47.9531993866;
68;8;40.1966934204;58.9935493469;10;91.5497405529;5;21.625;32.9097442627;9;77.5925016403;
69;8;41.4148826599;58.0438995361;10;93.304608345;5;20.625;36.9097442627;10;81.7800302505;
70;8;40.630821228;60.0956878662;10;94.6906714439;5;21.0;40.8569869995;10;85.211681366;
71;8;40.843914032;62.1488418579;12;95.7843208313;5;22.0;43.9097442627;10;87.7559099197;
72;8;41.0535812378;63.2215156555;12;96.3526277542;5;21.0;46.9097442627;12;89.6109485626;
73;8;41.2592201233;64.2771759033;13;96.9129087925;5;21.0;49.9097442627;12;91.9291753769;
74;8;41.4602470398;69.2215118408;13;97.4636628628;5;23.0;50.9097442627;13;92.8372298479;
75;8;41.6560745239;72.2215118408;13;98.0034108162;5;23.0;54.9097442627;13;93.2313090563;
76;8;41.8461456299;75.2215118408;14;98.5307254791;5;23.0;58.9097442627;14;93.5946867466;
77;8;42.0299301147;78.2215118408;14;98.9580934048;5;23.0;62.9097442627;14;93.9303249121;
78;8;42.1681594849;81.2215118408;15;99.3644223213;5;24.0;63.9097442627;13;94.2414038181;
79;8;42.2964630127;84.2215118408;17;99.763147831;6;23.0;67.6385955811;11;109.53116262;
80;10;42.4210205078;87.2215118408;15;100.152665377;6;25.0;68.693572998;11;110.734163642;
81;10;42.5412406921;90.2215118408;12;100.531559944;6;26.0;69.7518234253;11;111.812349439;
82;10;42.6566200256;93.2215118408;14;100.898623466;6;25.0;73.8134307861;12;112.79175055;
83;10;42.766746521;96.2215118408;15;101.252860785;6;26.0;74.8784332275;13;113.668755293;
84;10;42.8713111877;98.7105178833;13;101.593491554;6;27.0;72.9468460083;15;114.445638657;
85;10;43.9700927734;97.7952957153;15;101.919944763;6;27.0;75.0186767578;17;115.129092216;
86;11;43.0629653931;99.8793487549;15;103.231846809;6;26.0;74.0938796997;16;115.728629827;
87;11;47.0629653931;102.962463379;16;104.454003632;6;26.0;74.1724090576;18;116.255130053;
88;12;52.0629653931;106.294464111;17;104.848884165;6;25.0;77.2541656494;19;116.719687939;
89;12;54.6042137146;109.375160217;18;105.266123712;6;26.0;77.339012146;19;117.034093142;
90;13;55.6742706299;112.454399109;20;105.709546983;6;26.0;77.4267883301;20;117.215104342;
91;13;56.739490509;115.532020569;21;106.183436751;6;25.0;80.5172958374;20;117.401094675;
92;14;57.3999023438;117.607879639;20;107.692398548;7;27.0;78.6102905273;19;132.591518641;
93;14;58.4556121826;120.681854248;21;108.282433867;7;27.0;80.7055053711;20;133.835764408;
94;14;65.2594299316;123.753829956;23;109.822552979;7;27.0;85.8026275635;20;134.988138199;
95;14;69.9686737061;127.82371521;23;110.972976863;7;33.3983154297;89.9915847778;20;136.037370205;
96;14;73.0771408081;131.64553833;24;112.220857739;7;38.2037353516;91.0914993286;21;136.979040623;
97;14;75.9240036011;133.481628418;25;113.56731087;7;39.8979034424;93.1922454834;22;137.814635277;
98;15;77.2666397095;136.384536743;24;115.011434317;7;40.781463623;97.2934265137;22;138.550095081;
99;15;78.4192123413;138.906616211;25;117.549889863;7;42.8550071716;95.3946380615;25;139.194238186;
100;15;80.5813598633;142.072753906;25;120.23655659;7;40.9194221497;100.49546814;26;139.757321358;
