Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
33;4;22.0495510101;16.5;2;30.335221529;2;14.0;17.5;6;27.0708494186;
34;4;23.0673274994;17.5;3;30.572948575;2;14.0;18.5;6;27.1315076351;
35;4;23.0851745605;18.5;4;30.8176687956;2;14.0;19.5;6;27.1926498413;
36;4;22.6084156036;19.5;4;31.069132328;2;14.0;20.5;6;27.2542052269;
37;4;21.6560649872;20.5;4;31.3270421028;2;14.0;21.5;7;27.3161010742;
38;4;20.7051372528;21.5;4;31.5910536051;2;14.0;22.5;5;27.3782629967;
39;4;21.7556419373;22.5;4;31.8607772589;2;14.0;23.5;5;27.4406147003;
40;4;22.8075809479;24.5;5;32.1357798576;2;14.0;24.5;5;27.5030794144;
41;4;22.25;26.5;5;32.4155877829;2;14.0;25.5;5;27.5655794144;
42;4;24.2109565735;29.5;6;32.6996910572;2;14.0;26.5;6;27.628036499;
43;4;24.25;32.5;6;32.98754704;2;14.0;27.5;7;27.690372467;
44;4;26.2467346191;33.5;6;33.27858603;2;14.6053333282;28.5;8;27.7525100708;
45;4;27.2645263672;33.7818145752;9;33.5722160339;2;14.6193141937;29.5;7;27.8143725395;
46;4;28.25;34.8480682373;9;33.8678290844;2;15.0;27.5;7;27.8758842945;
47;4;32.1605911255;32.5;9;34.164806366;2;14.0;28.5;8;27.936971426;
48;4;33.3741607666;32.5;11;34.4625246525;2;14.0;29.5;7;27.9975619316;
49;4;32.4234085083;33.5;11;34.760361433;2;15.0;27.5;7;28.0575861931;
