Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
30;3;20.0909404755;12.5;6;28.1315076351;2;16.9500007629;11.0;6;22.0;
31;3;21.1045894623;13.0;6;28.2326498032;2;16.9500007629;11.0;5;22.0;
32;3;22.118347168;13.0200004578;6;28.3353891373;3;17.9500007629;11.5;4;23.0;
33;3;22.1321964264;13.0405921936;6;28.4396545887;3;16.9500007629;12.0;3;23.1074999571;
34;3;21.625;14.0617771149;6;28.5453704596;3;16.1991882324;13.0;3;23.2253656387;
35;3;21.8875999451;13.6891317368;6;28.6524561644;3;15.2257080078;14.0;3;23.3543308973;
36;3;22.1741390228;13.1059207916;6;28.7608273029;3;14.3047246933;15.0;3;23.4951226711;
37;3;21.9079933167;13.5;6;28.870395422;3;14.3364028931;16.0;3;23.6484457254;
38;3;21.9185829163;13.7827892303;6;28.9810678959;3;14.3709001541;17.0;3;23.8149644136;
39;3;21.9294319153;13.8140182495;7;29.0927485228;3;14.408367157;18.0;3;23.9952818155;
40;3;22.2303333282;13.2011880875;7;29.2053383589;3;14.4489383698;19.0;4;24.1899158955;
41;3;21.9518871307;13.5;7;29.3187351227;3;14.4927310944;20.0;4;24.399273634;
42;3;21.9634819031;13.9071865082;7;29.43283391;3;14.5398368835;21.0;4;24.6236231327;
43;3;22.6223869324;16.9071865082;7;29.5475275517;3;14.5903148651;22.0;5;24.8630647659;
44;3;22.6481933594;19.9071865082;7;29.6627069712;3;14.6441898346;23.0;5;25.1175034046;
45;3;22.6741085052;22.9071865082;8;29.7782614231;3;14.7014389038;24.0;6;25.3866217136;
46;4;22.7001075745;25.5;7;29.89407897;4;14.7619895935;25.0;6;25.6698577404;
47;4;22.7261695862;27.5;7;30.0100466013;5;14.825717926;26.0;5;40.9663875103;
48;4;22.3395252228;28.4171886444;7;30.1260508299;5;15.8924369812;27.0;6;42.0251159668;
49;4;22.7783622742;27.5;7;30.2419778109;5;16.9619007111;28.0;6;43.0140504837;
50;4;22.8044433594;27.5;7;30.3577141762;5;18.0338020325;29.0;7;43.930729866;
