Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
42;5;23.7000007629;31.6110630035;8;58.2560760975;2;18.9500007629;21.4586544037;8;35.775428772;
43;5;24.9826164246;33.1110649109;8;59.2905418873;2;18.9500007629;22.4586544037;10;35.9441184998;
44;5;26.9903717041;37.1110610962;9;59.4955085516;2;18.9500007629;23.4586544037;10;36.0;
45;5;28.9232406616;41.1110610962;9;59.7278701067;2;19.9500007629;21.4586544037;10;36.0;
46;5;29.0350723267;45.1110610962;10;59.9911458492;2;18.9500007629;22.4586544037;13;36.0;
47;5;29.1032810211;49.1110610962;10;60.2890599966;2;18.9500007629;23.4586544037;13;36.0;
48;6;30.1817474365;48.2166213989;9;60.6254549026;2;19.9500007629;21.4586544037;14;36.0;
49;6;28.625;48.5;10;61.0041648149;2;20.9500007629;21.4586544037;15;36.0;
50;7;29.7132072449;49.5;9;78.6788395643;2;21.9500007629;21.4586544037;15;36.0;
51;7;31.8377914429;48.5;9;80.0152183771;2;22.1000003815;21.4586544037;16;36.0;
52;7;33.9771118164;48.5;10;81.2902582884;2;22.1000003815;21.4586544037;16;36.0;
53;7;31.7672138214;51.3104858398;10;82.5082476139;2;22.1000003815;21.4586544037;17;36.0;
54;7;32.3027191162;52.5;11;84.6767429113;2;22.1000003815;21.0;17;36.0;
55;7;34.489528656;52.5;12;85.8445124626;2;22.1000003815;21.0;17;36.0;
56;7;36.3009757996;54.3687362671;13;86.9809025526;3;22.1000003815;21.0;15;51.0;
57;7;35.625;54.5;13;88.0920789242;3;23.1000003815;22.0;15;51.75;
58;8;36.8777999878;55.5;12;89.0597801208;3;24.1000003815;23.0;16;52.4193744659;
59;8;37.8875999451;56.5;12;89.9395861626;3;24.1000003815;24.0;14;53.0072898865;
60;8;38.25;57.1059188843;10;90.8336371183;3;24.1000003815;25.0;13;53.5162696838;
61;8;38.5329933167;56.5;11;91.7291412354;3;24.1000003815;26.0;14;53.9513263702;
62;8;38.25;57.1524085999;11;92.612981081;3;25.1000003815;26.0;15;54.3190898895;
63;8;38.5544319153;56.5;11;96.6064705849;3;24.1000003815;26.0;15;54.6270179749;
64;8;39.0553741455;57.0;12;100.079978585;3;25.1000003815;26.0;15;54.8827629089;
65;8;39.1305503845;59.14453125;11;103.074549198;3;26.1000003815;26.0;16;55.0;
66;8;39.4517288208;59.6872596741;12;105.639151931;3;27.1000003815;26.0;17;55.0;
67;8;39.7093009949;60.9097442627;13;107.661764383;3;26.1000003815;27.0;17;55.0;
68;9;41.2745666504;62.0;13;108.863138437;3;25.375;28.0;16;55.0;
69;9;42.3424301147;63.0;15;109.902014494;3;24.375;29.0;18;55.0;
70;9;38.9239730835;66.9776992798;15;110.71463728;3;23.4249992371;30.0;18;55.0;
71;9;37.9239730835;70.0270233154;16;111.39562583;3;23.4249992371;31.0;18;55.0;
72;10;38.5999984741;70.0778198242;14;112.997618675;3;23.4249992371;32.0;18;55.0;
73;10;38.3313407898;73.0;15;113.596696258;3;23.4249992371;33.0;18;55.0;
74;10;38.4399795532;78.0;17;114.138317347;3;23.4249992371;34.0;19;55.0;
75;10;39.2295303345;82.2384262085;18;114.622369885;3;23.4249992371;35.0;19;56.6499996185;
76;10;41.2999992371;83.2944412231;18;114.877402306;3;23.6477508545;36.0;19;58.0278320312;
77;10;41.9081916809;86.0;18;115.138114929;3;22.7547492981;35.0;22;59.1659030914;
78;10;41.9343261719;89.9638977051;20;115.404283762;4;22.8428993225;35.0;22;60.0979013443;
79;10;41.9608459473;93.0253295898;21;115.675653934;4;21.9147567749;34.0;22;60.6490507126;
80;10;42.2999992371;94.0897674561;23;115.951939702;4;22.9695014954;35.0;22;60.860461235;
81;10;41.2999992371;97.7457427979;25;116.232823968;4;23.9695014954;36.0;23;61.0;
82;10;44.1232833862;101.87702179;26;116.517959356;4;24.3250007629;37.0;23;61.0;
83;10;43.6517944336;106.811691284;26;116.806967378;4;24.3250007629;38.0;23;61.0;
84;10;43.4806976318;108.949569702;27;117.099441051;4;22.3250007629;40.0;23;61.0;
85;10;41.7099456787;114.090484619;29;117.394943953;5;21.3250007629;42.0;22;61.0;
86;10;42.7394943237;113.234222412;29;117.693013668;5;20.7250003815;44.0;22;61.0;
87;10;41.7693023682;115.38053894;29;117.993161917;5;20.7250003815;41.0;22;61.0;
88;10;40.7993164062;120.529190063;29;118.294877768;5;21.7250003815;40.0;23;61.0;
89;10;42.8294906616;119.679908752;30;118.597629309;5;22.7250003815;40.0;23;61.0;
90;10;41.8597640991;121.832389832;30;118.900866985;6;23.6000003815;40.0;22;61.0;
91;10;40.8900871277;126.986328125;30;119.204025984;6;24.6000003815;40.0;23;61.0;
92;10;44.9204025269;120.141403198;33;119.506530762;7;25.0;40.0;22;61.0;
93;10;41.9506530762;122.29725647;33;119.807798147;7;25.0;40.0;22;61.0;
94;10;40.9807815552;127.453552246;33;120.107241869;7;25.0;40.0;23;61.0;
95;10;45.010723114;120.609924316;33;120.404276133;7;25.0;40.0;23;61.0;
96;10;42.0404281616;122.766014099;35;120.698320389;7;25.0;40.0;23;61.0;
97;10;42.0698318481;127.044380188;36;120.988805532;7;25.0;40.0;24;61.0;
98;10;43.0988807678;130.263519287;37;121.25000906;7;25.0;40.0;24;61.0;
99;10;44.1250038147;133.480712891;39;121.492494106;7;25.0;40.0;24;62.0;
100;11;45.1492500305;134.69543457;40;121.731032848;7;26.0;42.0;24;62.0599999428;
