Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
23;2;20.7759037018;12.5;7;30.5695996284;2;18.9500007629;12.0;5;28.2957406044;
24;3;20.8781604767;12.5;6;31.0391392708;2;18.9500007629;13.0;5;28.8437380791;
25;3;19.625;13.5;6;31.5199065208;2;18.9500007629;14.0;5;29.4019312859;
26;3;20.625;12.5;6;32.007601738;2;18.9500007629;14.7009658813;5;29.9643349648;
27;3;21.2017097473;12.5;6;32.4976010323;3;18.9500007629;14.982167244;4;30.524679184;
28;3;19.625;13.5;6;32.9851250648;3;19.9500007629;12.982167244;6;31.0766792297;
29;3;20.625;12.5;6;33.465420723;4;20.9500007629;11.982167244;5;31.6143198013;
30;3;19.625;13.5;6;33.9339466095;4;18.9500007629;12.982167244;5;32.1321163177;
31;3;20.625;12.5;6;34.3865451813;4;16.9500007629;14.982167244;5;32.6253356934;
32;3;21.625;12.5;6;34.8195896149;4;17.9500007629;14.982167244;5;33.0901584625;
33;3;21.8344078064;12.5;7;35.2300891876;4;16.9500007629;13.982167244;5;33.5237665176;
34;3;21.9267692566;12.5;7;35.6157541275;4;16.9500007629;13.982167244;6;34.9243593216;
35;3;19.9267692566;13.5;7;35.9750175476;4;18.9500007629;14.982167244;6;35.3661100864;
36;3;20.9267692566;12.5;8;36.307009697;4;20.9500007629;15.982167244;6;35.7788813114;
37;3;19.625;13.5;8;36.6115064621;4;21.2098350525;16.9821662903;6;36.1636449099;
38;3;19.625;14.5;7;36.8888463974;4;21.2289199829;17.9821662903;6;36.5219492912;
39;3;20.625;12.5;7;37.1398382187;4;21.2491703033;18.9821662903;6;36.8557662964;
40;3;19.625;13.5;7;37.3656587601;4;21.2706222534;19.9821662903;6;37.1673424244;
41;3;20.625;12.5;7;38.5677556992;4;21.2933063507;20.9821662903;6;37.4590700865;
42;3;20.625;13.5;7;38.8377569914;4;20.9500007629;22.9821662903;6;37.7333766222;
43;3;20.625;13.5;8;39.0945086479;4;20.9500007629;24.9009113312;6;37.8621526957;
44;3;21.625;16.5;9;39.2917383909;4;21.9500007629;23.0305347443;6;37.9857594967;
45;3;21.625;19.5;8;39.4042263031;4;20.9500007629;24.1665039062;7;38.1151165962;
46;3;21.625;22.5;9;39.5249304771;4;20.9500007629;25.308795929;8;38.2501642704;
47;3;21.625;25.5;10;39.6541694403;4;21.9500007629;25.308795929;8;38.3907959461;
48;4;21.625;27.5;8;54.7922235727;4;22.9500007629;26.308795929;10;38.5368545055;
49;5;22.625;28.5;8;55.6893253326;4;23.9500007629;27.308795929;10;38.6881308556;
50;5;23.625;29.5;8;56.5150225163;4;24.1000003815;28.308795929;10;38.8443615437;
51;5;25.625;31.5;9;57.2685854435;4;24.1000003815;29.308795929;12;39.005228281;
52;5;27.625;33.0829086304;9;57.9525601864;4;24.1000003815;29.3057518005;12;39.1703586578;
53;5;29.5499992371;34.2054023743;9;58.571890831;4;24.1000003815;29.4873943329;13;39.3393273354;
54;5;30.5499992371;34.3343963623;10;59.1330373287;4;24.1000003815;29.6732597351;13;39.5116591454;
55;5;30.6717948914;34.4697647095;10;60.6431772709;4;24.1000003815;29.8628253937;12;39.6868326664;
56;5;31.7410774231;35.6113128662;11;61.1595659256;4;24.1000003815;30.0555152893;13;39.8642861843;
57;5;32.7986221313;36.7587623596;12;61.5473358631;4;24.1000003815;30.2507152557;14;40.0434236526;
58;5;32.8250007629;37.9117507935;12;61.827141881;4;24.1000003815;30.4477653503;14;40.2236218452;
59;5;32.8250007629;39.0698356628;13;62.1154793501;4;24.1000003815;30.6459846497;15;40.4042396545;
60;5;30.8250007629;41.2324752808;13;62.411485672;4;24.1000003815;30.84466362;15;40.5846266747;
61;5;29.8250007629;42.3990592957;14;62.7141857147;4;24.1000003815;31.043088913;16;40.7641320229;
62;6;28.8250007629;43.568901062;15;63.0225054026;4;24.1000003815;31.2405452728;17;40.9421138763;
63;6;29.8250007629;41.7412452698;15;63.3352872133;5;24.1000003815;31.4363250732;16;56.1179485321;
64;6;30.8250007629;40.9152870178;16;63.6513108015;5;25.1000003815;32.6297454834;17;57.0410404205;
65;6;31.8250007629;41.0901870728;17;64.4106024504;5;26.1000003815;33.8201446533;16;57.8802022934;
66;6;32.9127502441;41.3009719849;17;66.7503883839;5;26.1000003815;35.0069122314;16;58.6340818405;
67;6;31.2660007477;43.0126876831;18;68.7430599928;5;26.1000003815;36.1894721985;17;59.3047308922;
68;6;30.5485019684;44.6140594482;16;70.4343448877;5;26.1000003815;37.3673095703;14;59.8967437744;
69;6;30.7576675415;46.1210708618;16;71.8725011349;5;26.1000003815;38.5399589539;14;60.4163880348;
70;7;31.9296417236;44.5504341125;13;82.9402110577;5;26.1000003815;39.7070274353;16;60.8708162308;
71;7;34.0250015259;44.8435096741;14;84.0555720329;5;26.1000003815;40.8681793213;16;61.2674336433;
72;7;36.0250015259;46.0411605835;15;85.0055346489;5;26.1000003815;42.0231399536;16;61.9911117554;
73;7;34.4000015259;48.2326393127;15;85.8757178783;5;26.1000003815;43.1716995239;17;63.7251758575;
74;7;33.4000015259;50.4170799255;16;86.7082827091;5;24.1944999695;45.3495788574;16;65.1888833046;
75;8;32.4000015259;52.59375;15;107.87123251;4;23.2782096863;34.1151046753;16;45.7128338814;
76;8;34.4000015259;52.7620620728;16;108.954832315;4;24.3516941071;34.4876556396;17;46.4662480354;
77;8;36.4000015259;53.9215812683;16;109.933740139;4;24.851770401;34.8066139221;17;46.9076890945;
78;8;35.4000015259;53.9215812683;16;110.632169485;4;24.9210357666;34.9845046997;15;47.2454986572;
79;8;37.4000015259;56.9215812683;17;111.261650085;4;24.9686031342;35.1235427856;15;47.5043029785;
80;8;36.4000015259;60.9215812683;18;111.852771282;4;23.0;36.2547340393;16;47.6165447235;
81;8;35.4000015259;64.4680099487;18;112.407311916;4;22.0;37.378200531;16;47.7219161987;
82;8;32.4000015259;68.5818481445;19;112.927219391;4;21.0;38.4941101074;16;47.8206086159;
83;8;30.3999996185;72.6869812012;21;113.318828583;4;20.0;39.6026687622;17;47.9128441811;
84;8;29.0249996185;76.7837524414;22;113.648013592;4;21.0;37.7041282654;18;47.9988689423;
85;9;28.7250003815;80.6725463867;21;113.96547842;4;20.0;37.7987556458;15;48.0;
86;9;28.7250003815;83.7537841797;21;114.231170654;4;20.0;37.7999992371;14;48.0;
87;9;28.7250003815;86.8000030518;23;114.428324699;4;20.3999996185;38.7999992371;15;48.0;
88;9;28.7250003815;89.8000030518;24;114.622206688;4;21.3999996185;39.7999992371;17;48.0;
89;9;30.7250003815;88.8000030518;24;114.812113285;4;21.3999996185;40.7999992371;17;48.0;
90;9;30.7250003815;88.8000030518;25;114.997396946;4;21.3999996185;41.7999992371;15;48.0;
91;9;31.7250003815;89.8000030518;25;115.177474976;4;21.3999996185;42.7999992371;10;48.0;
92;9;32.0999984741;90.8000030518;26;115.351835728;4;21.3999996185;43.7999992371;10;48.0;
93;9;33.0999984741;93.8000030518;27;115.520042896;4;21.3999996185;44.7999992371;10;48.0;
94;9;33.5670089722;96.8000030518;27;115.681736946;4;21.3999996185;45.7999992371;10;48.0;
95;10;33.6033935547;100.800003052;22;130.83663702;4;21.3999996185;46.7999992371;11;48.0;
96;10;32.0999984741;104.800003052;23;132.034537315;4;21.3999996185;47.7999992371;14;48.0;
97;10;33.0999984741;108.800003052;24;133.130283356;4;21.3999996185;48.7999992371;14;48.0;
98;10;37.0999984741;106.800003052;24;134.113264084;4;21.3999996185;49.7999992371;12;48.0;
99;10;39.7332496643;111.800003052;25;134.97982502;4;21.3999996185;50.7999992371;11;48.0;
100;10;40.0999984741;114.800003052;28;135.732305527;4;21.3999996185;51.7999992371;11;48.0;
