Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
23;2;19.9641227722;12.5;3;26.5447884798;2;18.9500007629;12.0;7;26.2980971336;
24;2;19.9725780487;12.5;3;26.5827163458;2;19.9170722961;11.0;7;26.6183872223;
25;3;19.9811115265;12.5;4;26.6209751368;2;18.9500007629;12.0;7;26.9477529526;
26;4;19.625;12.9862928391;3;26.6595385075;2;18.9500007629;13.0;8;27.2843112946;
27;4;19.625;13.3297691345;3;26.6983793974;3;18.9500007629;13.6421556473;7;27.6259784698;
28;4;18.0071353912;13.5;4;26.7374696732;3;18.9500007629;13.8129892349;7;27.9705147743;
29;4;18.625;13.3687343597;4;26.7767804861;3;18.9500007629;13.9852571487;7;28.3155798912;
30;4;19.625;13.3883905411;4;26.8162822723;3;16.9500007629;15.157790184;7;28.6587948799;
31;4;18.033662796;13.5;4;26.8559447527;3;15.9500007629;17.1577911377;7;28.9978079796;
32;4;17.0425872803;14.5;4;26.8957372904;3;14.9500007629;19.1577911377;7;29.3303570747;
33;4;16.0515403748;15.5;4;26.9356285334;3;14.0;21.1577911377;7;29.6543326378;
34;4;15.0605163574;16.5;4;26.9755871296;3;14.0;22.8888988495;7;29.9678287506;
35;4;14.4445075989;17.5;4;28.015581131;3;14.0;24.1710453033;7;30.2691860199;
36;4;15.4535055161;19.0;4;28.0755786896;3;14.0;25.4422683716;7;30.5570211411;
37;4;16.4625053406;19.5;4;28.1357438564;3;14.0;26.7013187408;8;30.830245018;
38;4;16.7055435181;20.5;4;28.1960383654;3;14.0;27.9472198486;8;31.0880661011;
39;4;16.7191085815;21.5;4;28.2564240694;3;14.0;29.1792602539;8;31.3299846649;
40;4;16.7326946259;22.5;4;28.3168625832;3;14.0;30.3969860077;9;31.5557718277;
41;4;17.0;22.0509490967;4;28.3773156404;3;15.0;32.6001968384;8;32.7654476166;
42;4;16.5072631836;22.0614051819;5;28.4377450943;3;17.0;30.8889026642;8;33.1317476034;
43;4;16.7734928131;22.5;5;28.4981133938;3;16.0;30.9633216858;6;33.5103269815;
44;4;16.7870750427;23.5;5;28.558382988;3;16.0;32.1238327026;7;33.9054657221;
45;4;16.5336742401;25.0932502747;5;28.6185172796;3;17.0;31.2709465027;8;34.3217865229;
46;5;17.0;24.1040077209;4;28.6784795523;3;18.0;31.4052772522;9;34.7641282082;
47;6;19.0;26.1040077209;5;29.7382342815;4;19.0;30.9233150482;9;35.2373850346;
48;6;21.5595302582;28.1040077209;5;29.8377467394;4;20.0;30.419254303;10;35.6755042076;
