Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
32;3;21.5;12.5;8;26.5043625832;2;34.4303665161;10.625;7;34.4921531677;
33;3;21.5;12.5;8;26.5569496155;2;34.6952896118;10.625;8;34.8904571533;
34;4;21.5;12.5;7;31.6105561256;2;34.9342727661;12.625;9;35.2464103699;
35;4;20.5;13.5;7;31.8151451349;2;35.1478462219;14.625;9;35.561832428;
36;4;20.5;14.5;7;32.0174500942;2;35.337097168;16.625;10;35.839220047;
37;4;20.5;15.5;7;32.2170603275;2;35.5035324097;18.625;10;36.0815153122;
38;4;20.1319885254;16.5;7;32.4135996103;2;35.6489105225;20.625;11;36.2918977737;
39;4;19.1737670898;17.5;7;32.6067293882;2;35.775138855;20.625;11;36.4736194611;
40;4;18.2142848969;18.5;8;32.7961505651;2;35.8841705322;20.625;11;36.5;
41;4;17.7534694672;19.5;8;32.9816031456;2;35.9000015259;20.625;11;36.5;
42;4;17.0;18.5;8;33.1628665924;2;35.9000015259;20.625;12;36.5;
43;4;17.0;18.5;8;33.3397595882;2;35.9000015259;20.625;12;36.5;
44;4;17.0;17.5;8;33.5121378899;2;35.9000015259;20.625;12;36.5;
45;4;19.0;20.5;8;33.6798930168;2;33.9000015259;21.625;13;36.5;
46;4;20.9277057648;22.5;8;34.8429493904;2;32.9000015259;22.625;13;36.5;
47;3;20.9580535889;22.5;8;32.6429986954;3;31.8999996185;23.625;8;38.8161010742;
48;3;22.9869003296;24.5;8;32.7543935776;4;31.8999996185;25.625;7;38.8782629967;
49;3;24.0142593384;25.5;8;32.8611108065;5;31.8999996185;27.625;6;67.9406147003;
50;3;25.3583335876;26.5;9;32.963250041;5;31.8999996185;30.625;5;69.7430791855;
51;3;23.8645038605;28.5;9;33.0609304905;5;31.8999996185;33.625;6;73.1487162113;
52;3;24.8707275391;27.5;9;33.1228116751;5;32.3781280518;36.9343757629;6;75.8335227966;
53;3;23.5;28.9491252899;9;33.1438889503;5;33.6187667847;38.5113296509;6;77.9043185711;
54;3;23.5;29.9575557709;8;33.1651208401;5;34.9322776794;39.9909553528;6;79.4860084057;
55;3;23.5;30.2999992371;9;33.1864993572;5;36.1802062988;40.3851699829;7;80.4973368645;
56;3;23.5;30.2999992371;9;33.2080165148;5;37.3739547729;40.7062835693;8;80.9310457706;
57;3;23.5;30.2999992371;9;33.2296639681;5;38.4000015259;40.8627510071;8;82.2785909176;
58;3;23.5;30.2999992371;10;33.2514331341;5;39.4000015259;40.8627510071;8;82.5093801022;
