Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
28;3;26.75;11.2836914062;4;22.5895489454;3;21.5412025452;12.5;4;33.9834604263;
29;3;26.75;11.2947740555;4;22.6117914915;3;17.625;14.5;4;34.4341192245;
30;3;26.75;11.3058958054;4;22.6341004372;3;16.625;16.5;3;34.8648700714;
31;3;26.75;11.3170499802;4;22.6564661264;3;15.625;18.5;3;35.2727956772;
32;3;26.75;11.3282327652;4;22.678878665;3;14.625;20.5;3;35.6556835175;
33;3;26.75;11.3394393921;4;22.7013280392;3;14.0;22.5;3;36.0120429993;
34;3;26.75;11.3506641388;4;22.7238043547;3;14.0;24.5;3;36.3410778046;
35;3;26.75;11.3619022369;4;22.7462974787;3;14.0;26.5;3;36.6426286697;
36;3;26.75;13.3619022369;5;22.7687973976;4;14.0;28.5;2;36.9170885086;
37;3;26.75;15.3619022369;5;22.7912938595;4;14.0;29.841960907;3;37.1653108597;
38;3;26.75;17.3619022369;5;22.8137768507;4;14.0;31.0157165527;3;37.3885068893;
39;3;26.75;19.3619022369;4;22.8362361193;4;14.0;32.1719551086;3;37.5881471634;
40;3;26.75;21.3619022369;4;22.8586617708;4;14.0;33.3117027283;3;37.7658729553;
41;3;26.75;21.4293308258;5;22.8810436726;4;14.0;34.4361114502;3;37.9234199524;
42;3;26.75;21.4405212402;5;23.9033719301;4;14.0;35.5463943481;3;38.0;
43;3;28.742023468;21.625;7;23.9756366014;4;14.0;36.5999984741;3;39.0;
44;3;29.7553825378;22.625;7;24.0498031378;4;15.0;37.5999984741;3;39.0199999809;
45;3;30.4298820496;23.625;6;24.1258867979;4;16.0;38.5999984741;5;39.0401959419;
46;3;30.4755306244;24.625;7;24.2038978338;4;17.2340431213;36.5999984741;5;39.0605818033;
47;4;30.5223388672;25.625;5;34.2838410139;4;16.2386322021;37.5999984741;6;39.0811508894;
48;4;30.8083209991;26.625;6;34.765714407;4;16.2432594299;38.5999984741;7;39.1018965244;
49;5;32.619430542;27.625;5;35.2239109278;4;17.247926712;36.5999984741;7;39.1228116751;
50;5;32.6697044373;28.625;5;35.6571536064;4;19.0;34.5999984741;7;39.1438889503;
51;5;32.7211303711;29.625;6;36.0648378134;4;21.2573757172;33.5999984741;7;39.1651208401;
52;5;32.7736816406;30.625;7;36.446963191;5;23.9249992371;33.5999984741;7;40.1864993572;
53;5;32.8273468018;31.625;7;36.8040437698;5;25.9249992371;34.5;9;40.4180165529;
54;5;32.8820991516;32.625;8;37.1370117664;5;26.5499992371;35.5;9;40.6912230253;
55;5;32.937915802;33.625;8;38.5695216656;5;26.5499992371;36.3607635498;10;41.0131735802;
56;5;33.9947509766;35.625;9;39.9119913578;5;26.9463920593;36.3760032654;10;41.3916014433;
57;6;35.5769691467;38.0234375;8;41.0896980762;5;27.0266151428;35.3913192749;10;41.8347392082;
58;6;36.7604408264;40.3489723206;9;42.1218546629;5;26.8414421082;34.5;11;42.3510090113;
59;6;37.2341537476;42.3093643188;10;43.0298948288;5;26.5499992371;35.4221687317;12;42.948544383;
60;6;37.6502189636;43.6232757568;10;43.8350837231;5;26.851398468;35.0262985229;13;43.6345175505;
61;7;38.0200309753;43.8791427612;9;44.3504445553;5;26.8564033508;35.4909095764;12;44.4142642021;
62;7;38.230014801;43.983543396;11;44.7028105259;5;27.8614234924;33.4909095764;14;45.290240407;
63;8;36.5993461609;45.0;10;45.0347684622;5;28.1903038025;32.5;13;46.260895133;
64;8;36.6796989441;44.8266143799;11;45.3787192106;5;28.0872039795;33.5;13;47.3196237087;
65;8;34.4000015259;46.8770103455;11;45.7340006828;5;26.5499992371;34.5159301758;13;48.4540241957;
66;8;34.4000015259;46.7768821716;12;46.0998040438;7;27.5499992371;33.5316619873;14;49.6457220316;
67;8;34.4000015259;49.8770103455;12;47.4751780033;7;26.5499992371;34.5474090576;14;50.8709874153;
68;9;35.4000015259;52.8770103455;10;76.6765364408;7;25.5499992371;34.5631561279;15;52.102243185;
69;9;37.4000015259;56.8770103455;10;80.6389670372;7;25.5499992371;35.5789031982;15;53.3103607893;
70;9;39.0833015442;60.8770103455;11;83.9058607817;7;25.9018516541;35.5;15;54.4673825502;
71;10;39.1284790039;64.8770141602;10;86.439163208;7;24.8982582092;37.5;15;55.5491753817;
72;10;38.4000015259;68.8770141602;11;88.3317899704;7;24.2602081299;35.5;15;56.537471056;
73;10;39.2261962891;71.8770141602;11;89.7349841595;7;23.8982582092;36.5;15;58.0971966982;
74;10;39.2788505554;74.8770141602;12;90.6931347847;7;24.9220085144;35.5;16;60.9031099081;
75;11;39.3340911865;77.8770141602;11;91.1737750769;7;26.0147686005;37.0;16;63.2772711515;
76;11;39.4000015259;78.8770141602;13;91.6561826468;7;27.0983943939;38.3899993896;17;65.2448496819;
77;11;40.4000015259;81.8770141602;14;93.1389460564;7;26.6376361847;37.6872596741;16;66.847640276;
78;11;40.4000015259;86.8770141602;14;93.6807068586;7;26.6425895691;36.6872596741;16;67.9876884222;
79;11;41.4000015259;89.8770141602;16;94.2231395245;7;27.2506504059;37.6872596741;16;68.7723219395;
80;11;40.4000015259;94.8770141602;16;94.7651036978;8;28.885017395;37.6872596741;16;70.4078307152;
81;11;40.4000015259;99.8770141602;16;95.3055408001;8;29.9306755066;39.6872596741;16;70.8986299038;
82;11;40.4000015259;103.170837402;15;95.8434759378;8;29.5662097931;41.6872596741;16;74.5393052101;
83;11;41.4000015259;100.910957336;16;96.3780184984;8;26.1547050476;43.6872596741;17;77.4686621428;
84;11;40.4000015259;102.02331543;17;96.908362627;8;24.9954376221;46.0231704712;16;79.7771292925;
85;11;40.4000015259;106.326889038;18;97.4337795973;8;23.4338188171;44.6872596741;18;81.5759179592;
86;11;40.4000015259;108.286857605;18;97.9536132812;9;22.6204376221;45.6872596741;19;82.8038140535;
87;11;40.4000015259;109.447723389;19;98.4672728777;9;24.0768127441;45.6872596741;19;83.4831112623;
88;11;41.4000015259;109.609207153;19;98.9742244482;9;25.085811615;47.6872596741;21;83.9129068851;
89;11;41.4000015259;110.67326355;19;99.4739842415;9;23.6204376221;48.6872596741;21;85.2438092232;
90;11;40.4000015259;114.739517212;21;99.96611166;9;24.6204376221;51.1909713745;21;85.4492371082;
91;11;40.4000015259;118.807922363;22;100.450202465;9;26.1127243042;51.6872596741;21;86.6638789177;
92;12;42.4000015259;116.878410339;23;100.911533833;9;27.0;56.6872596741;19;86.917634964;
93;13;40.4000015259;120.950912476;23;101.289604187;9;26.0499992371;56.2742080688;18;85.6813121438;
94;14;40.4000015259;125.025337219;23;104.479749441;8;22.0499992371;52.2555160522;19;81.5806264877;
95;15;43.4000015259;123.85849762;22;105.224370956;8;21.5486755371;51.6872596741;20;80.4225636721;
96;15;42.4000015259;128.040924072;21;107.992382765;9;20.5438079834;52.6872596741;19;79.380307436;
97;16;42.4000015259;132.558151245;22;110.874107361;8;20.5394248962;55.0251502991;21;78.4422754645;
98;17;43.4000015259;134.109893799;21;114.840249538;8;21.4854831696;56.9913635254;21;77.5980481505;
99;17;45.4000015259;137.594360352;21;118.038789153;8;20.0;57.9609527588;22;76.8382445872;
100;17;47.4000015259;139.614654541;21;122.286969662;8;20.0;59.4230003357;19;76.1544188857;
