Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
149;10;27.0;69.0;19;86.6876695156;24;120.052886963;237.44708252;35;223.783855557;
150;10;26.0;71.0;19;87.8311253786;24;121.717277527;240.868011475;34;227.57102561;
151;10;26.0;73.0;19;88.9128881693;24;123.419898987;242.738952637;36;230.715518236;
152;10;27.0;71.0;21;89.9319250584;24;128.813812256;247.927108765;37;233.900849581;
153;10;26.0;72.0;21;90.8882269859;24;134.20513916;251.458999634;38;237.114503622;
154;10;26.0;73.0;22;91.7826712132;24;137.992614746;253.629211426;39;241.005320787;
155;10;27.0;71.0;23;93.616871953;24;138.534240723;258.800170898;42;244.774102449;
156;10;27.0;73.0;24;94.4530309439;24;139.576171875;263.971618652;46;248.173599958;
157;10;28.0;75.0;21;95.2367553711;24;141.412994385;268.190826416;41;251.328885317;
158;10;30.0;74.0;21;95.9427736998;24;136.244598389;279.362915039;42;254.136008739;
159;10;30.0;76.0;22;96.4929594994;24;136.464019775;285.944519043;43;257.47231555;
160;10;31.0;78.0;26;96.8563411236;24;133.708724976;292.467498779;46;260.116801023;
161;10;31.0;78.5999984741;26;97.167650342;24;133.914337158;296.777954102;46;262.68089962;
162;10;31.0;78.5999984741;26;97.4744489193;24;133.166503906;301.932312012;48;265.101742744;
163;10;31.0;78.5999984741;27;97.7768666744;24;132.384307861;308.432312012;49;267.282906532;
164;10;31.0;78.5999984741;27;98.0750499964;24;133.57131958;313.432312012;54;269.992546558;
165;11;31.0;78.5999984741;27;98.2991483212;24;136.753601074;317.432312012;55;270.367516518;
166;11;31.0;78.5999984741;27;98.5142844915;24;137.598739624;325.432312012;54;270.774772644;
167;11;31.0;78.5999984741;28;98.7310724258;24;140.395019531;334.432312012;56;271.201272011;
168;10;29.0;73.5999984741;28;94.1550412178;25;145.224777222;337.432312012;56;276.307658195;
169;10;29.0;73.5999984741;25;94.3168838024;25;146.114929199;347.432312012;56;277.391026497;
170;10;29.0;73.5999984741;26;94.482011795;25;146.845062256;358.762695312;57;284.576906204;
171;10;30.0;74.5999984741;26;95.6502227783;25;152.028686523;365.991821289;56;291.114991188;
172;10;32.0;76.7580490112;26;95.8812918663;25;149.768966675;379.061157227;57;297.040815353;
173;10;34.0;78.7891311646;26;96.1179356575;25;152.026092529;387.777954102;59;302.39281559;
174;10;35.0;80.8203048706;27;96.3599549532;25;153.814559937;396.344970703;60;307.030490875;
175;10;36.0;81.8515396118;24;96.6071221828;25;158.255111694;395.220214844;58;311.116996765;
176;10;34.0;84.8827896118;24;96.8591820002;25;156.666900635;404.011047363;60;314.738015175;
177;10;33.0;86.9140167236;24;97.1158517599;26;157.950546265;416.630981445;55;317.928256989;
178;10;32.0;88.9451828003;22;97.37682271;26;159.13420105;424.461486816;56;320.724470139;
179;10;31.0;90.9762573242;19;97.6417604685;26;161.400817871;426.309020996;55;322.892353058;
180;10;32.0;90.0071868896;21;97.9103069305;27;159.580276489;434.17175293;55;324.694699287;
181;10;32.0;89.037940979;21;98.1820815802;27;159.739059448;441.048217773;54;326.275244713;
182;10;31.0;91.0684814453;21;98.4566835165;27;161.727508545;445.937011719;56;327.46407795;
183;10;32.0;90.098777771;22;98.7336940765;27;162.85760498;454.836975098;60;329.556197166;
184;10;32.0;89.1287918091;21;99.0126781464;28;164.971313477;467.746887207;61;330.591337204;
185;10;31.0;91.1584854126;17;99.293186903;28;171.479049683;468.66583252;61;331.532699108;
186;10;33.0;88.1878356934;15;99.5747609138;29;169.71836853;473.592895508;61;333.384060144;
187;10;34.0;86.216796875;16;99.8569324017;30;169.729309082;486.52722168;63;347.301044822;
188;10;34.0;87.2453613281;17;100.13922739;30;175.52947998;499.327209473;67;359.132526517;
189;9;30.0;81.2734832764;17;92.4211702347;31;183.501861572;534.987243652;66;377.105392694;
190;9;30.0;80.3011474609;16;92.7022836208;33;192.956130981;551.951049805;66;386.668379307;
191;9;29.0;82.3283233643;16;92.9820930958;33;197.770324707;568.205810547;69;393.449730992;
192;9;30.0;81.3549957275;17;93.2601304054;34;200.248962402;582.485534668;69;408.253148079;
193;9;30.0;80.381149292;9;93.5359344482;34;208.079956055;598.490783691;72;421.072713614;
194;9;29.0;82.40675354;10;93.8090546131;34;214.195541382;616.825378418;71;431.172222137;
195;9;30.0;81.4318084717;9;94.0790536404;34;212.483551025;635.33190918;71;440.693482399;
196;9;30.0;80.4562835693;7;94.3455095291;37;215.025802612;637.563659668;63;449.574365616;
197;8;27.0;75.5999984741;8;90.8010280132;38;219.329620361;644.454467773;64;461.039061308;
198;8;28.0;74.5999984741;7;91.0137867928;39;224.812728882;661.253723145;65;468.056698322;
199;7;28.0;73.5999984741;8;91.2230596542;40;231.660964966;671.01574707;67;507.726727366;
200;7;27.0;76.5999984741;7;91.4285151958;40;242.844207764;699.424194336;69;541.710408568;
201;7;28.0;76.5999984741;8;91.6298446655;40;241.89680481;730.81652832;75;570.285070062;
202;7;28.0;76.5999984741;7;91.8267621994;43;252.837860107;752.040649414;71;595.843486667;
203;6;25.0;65.5999984741;8;72.0190081596;45;267.192504883;775.891296387;67;638.364854336;
204;6;25.0;67.5999984741;7;72.2063484192;45;273.687164307;797.236022949;68;661.154699564;
205;5;24.0;55.5999984741;8;62.3885765076;46;285.980041504;824.73260498;67;694.133921862;
206;5;23.0;56.5999984741;8;62.565513134;46;293.95401001;847.197509766;71;713.805798054;
207;5;23.0;57.5999984741;9;62.688598156;46;304.076324463;871.103149414;75;735.971744061;
208;5;24.0;55.5999984741;10;62.7969703674;46;309.527404785;891.195129395;79;761.596688032;
209;5;23.0;56.5999984741;7;62.9026489258;46;323.24319458;917.38861084;83;785.795096159;
210;5;24.0;52.5999984741;8;63.0054745674;47;336.702514648;952.408203125;85;805.826916456;
211;5;25.0;51.5999984741;7;63.1053099632;47;341.672088623;976.728088379;87;824.98428154;
212;4;24.0;45.5999984741;8;58.0;48;351.301422119;1005.41894531;83;848.544795513;
213;4;25.0;44.5999984741;7;58.0;49;359.633880615;1036.78686523;84;864.000295639;
214;3;21.0;38.5999984741;7;52.0;51;368.6769104;1066.73291016;81;885.337483883;
215;3;22.0;37.5999984741;8;52.0;51;381.525634766;1098.50109863;85;900.952905655;
216;2;21.0;31.5999984741;7;40.0;52;396.794067383;1123.16369629;85;930.954412937;
217;2;22.0;30.5999984741;7;40.0;53;412.729949951;1149.63684082;85;946.911860228;
218;2;23.0;29.5999984741;7;40.0;53;422.043487549;1177.3527832;86;964.962453365;
219;2;24.0;28.5999984741;8;40.0;53;424.041473389;1201.16247559;88;981.354235649;
220;2;25.0;27.5999984741;7;40.0;53;428.081756592;1226.12097168;89;998.358032703;
221;1;2.0;5.0;7;12.0;54;432.855438232;1254.00634766;90;1039.35306168;
222;1;2.0;5.0;7;12.0;54;438.901489258;1280.28356934;91;1054.50650692;
223;0;0;0;0;0;55;446.462890625;1310.078125;86;1079.9370923;
