Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
162;6;18.0;59.1831512451;20;36.4958509207;15;81.0;197.929550171;48;184.210792184;
163;6;18.0;62.3096542358;20;36.7638882399;15;81.0;206.92956543;49;184.912530899;
164;6;18.0;63.4321899414;22;37.0291755199;15;81.0;207.92956543;50;185.537596464;
165;7;18.0;64.5504608154;21;37.2913665771;15;79.4000015259;209.92956543;52;186.097979903;
166;7;18.0;65.6641845703;22;37.5501788855;16;77.8000030518;217.92956543;51;186.506440401;
167;8;18.0;66.77318573;16;37.8053927422;16;78.8000030518;219.92956543;48;186.732356429;
168;8;18.0;67.8772964478;15;38.0568451881;16;78.0;221.92956543;49;186.906022787;
169;8;18.0;68.9764251709;15;38.3044261932;16;77.0;229.92956543;49;187.079355955;
170;7;18.0;70.0705184937;15;38.5480720997;17;80.0;228.92956543;48;187.264847994;
171;7;18.0;71.159576416;16;38.7877575159;17;80.0;227.92956543;49;187.462685823;
172;7;18.0;72.243637085;17;39.02348876;17;78.0;235.92956543;52;188.672933102;
173;7;18.0;73.322769165;17;39.2552973032;17;82.0;235.92956543;61;188.955509901;
174;7;18.0;74.3970794678;17;39.4832309484;17;83.0;235.92956543;62;189.253140211;
175;7;18.0;75.4666900635;18;39.7073487043;17;81.0;244.372756958;62;190.079164982;
176;7;18.0;76.5317687988;20;39.927713871;17;87.0;242.643737793;63;190.913137197;
177;7;18.0;77.5924835205;21;40.0743807554;18;87.0;246.926879883;63;191.752632856;
178;6;18.0;78.5999984741;21;40.2123695612;19;89.0;251.221328735;64;192.595227599;
179;6;19.0;76.5999984741;21;40.3521850109;19;92.2250061035;249.525970459;64;194.438516021;
180;6;18.0;77.5999984741;22;40.4935716391;19;93.2250061035;251.839508057;65;195.310129285;
181;6;18.0;78.5999984741;23;40.6362584829;19;92.2250061035;263.160461426;66;197.018344402;
182;6;19.0;76.5999984741;23;40.7799620628;19;97.2250061035;255.160446167;67;198.571052074;
183;6;18.0;77.5999984741;23;40.9243881702;19;93.2250061035;260.160461426;67;200.982257128;
184;5;16.0;73.5999984741;24;39.5054576397;20;93.2250061035;273.160430908;65;204.990138531;
185;5;17.0;71.5999984741;25;39.6279573441;21;101.224998474;275.160430908;64;206.507557631;
186;5;16.0;72.5999984741;25;39.7502937317;21;105.224998474;273.653320312;66;208.832418561;
187;5;16.0;73.5999984741;25;39.8721673489;22;102.224998474;281.908782959;67;210.093379259;
188;5;17.0;71.5999984741;26;39.9932823181;22;105.224998474;285.175506592;70;212.47609818;
189;5;16.0;72.5999984741;26;40.1133489609;22;104.224998474;291.453033447;70;214.721840501;
190;5;16.0;73.5999984741;27;40.2320871353;22;105.224998474;292.740539551;71;216.867230415;
191;5;17.0;71.5999984741;27;40.3492274284;22;105.224998474;294.037200928;72;219.950408936;
192;5;16.0;72.5999984741;28;40.464515686;22;105.224998474;299.341918945;74;221.89616847;
193;5;16.0;73.5999984741;28;40.5777130127;22;107.224998474;303.120391846;75;224.620034337;
