Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
39;4;22.0;33.1792602539;8;52.5799846649;2;29.2922229767;20.625;7;25.5935144424;
40;5;22.375;34.396987915;7;52.8057718277;2;29.3561096191;20.625;7;25.6980404854;
41;5;22.375;35.6001968384;8;53.0154476166;2;29.4188232422;20.625;7;25.800432682;
42;5;22.375;36.7889022827;9;53.2092475891;2;29.4802589417;20.625;9;25.9005227089;
43;5;22.375;37.9633216858;9;53.3875932693;3;29.5403137207;20.625;8;25.9981594086;
44;5;22.375;39.1238327026;10;53.5510520935;3;29.5988960266;20.625;8;26.0932102203;
45;5;23.375;37.2709465027;11;53.7003087997;4;29.6559257507;20.625;8;26.1855602264;
46;5;23.375;36.2709465027;11;53.8361301422;4;29.7113361359;20.625;8;26.2751131058;
47;5;24.375;36.2709465027;12;53.9593391418;4;29.7650680542;20.625;8;26.361790657;
48;6;23.375;36.2709465027;12;54.0;4;29.817073822;20.625;7;26.4455323219;
49;7;24.375;37.2709465027;11;54.0;4;29.8673191071;20.625;7;26.5262951851;
50;7;25.375;38.2709465027;11;54.0;4;29.9157772064;20.625;7;27.6040520668;
51;7;26.375;39.2709465027;11;54.0;4;30.962430954;21.625;8;27.7087919712;
52;7;27.3250007629;40.2709465027;12;54.0;5;32.0072746277;22.625;7;27.8111088276;
53;7;27.3250007629;40.2709465027;12;54.0;5;32.0503120422;23.625;7;27.9110119343;
54;7;27.3250007629;40.2709465027;13;54.0;5;32.091545105;24.625;7;28.0085222721;
55;8;27.3250007629;40.2709465027;13;68.25;5;32.1310043335;25.625;7;28.9258679152;
56;8;28.3250007629;40.6749992371;13;68.9624996185;5;32.6552810669;26.6069717407;7;29.6952464581;
57;8;29.3250007629;40.6749992371;13;69.6040172577;5;33.0900650024;26.9548740387;7;31.3339349031;
58;8;29.3250007629;40.6749992371;14;70.1729373932;5;34.4457359314;28.2390880585;7;31.9012213945;
59;8;29.3250007629;40.6749992371;14;70.670589447;5;35.7338676453;29.4692287445;7;32.3773342371;
60;8;29.3250007629;40.6749992371;14;71.1005916595;5;35.9658966064;30.6547908783;8;33.5258874893;
61;9;29.3250007629;41.6749992371;13;71.4681529999;5;37.0;32.7011680603;8;33.6873927116;
62;9;29.3250007629;42.6749992371;13;71.7794094086;5;34.0;36.0;7;33.8549958467;
63;9;29.3250007629;43.6749992371;15;72.0408725739;5;34.0;37.0;7;34.0287787914;
64;9;29.3250007629;44.6749992371;15;72.25;5;33.0;37.0;9;34.2088062763;
65;9;29.3250007629;45.6749992371;16;72.25;6;35.0;37.0;9;34.3951234818;
66;9;29.3250007629;46.6749992371;16;72.25;6;37.8261985779;37.8325500488;8;34.5877534151;
67;9;29.3250007629;47.6749992371;16;72.25;6;38.8788528442;37.8603134155;8;34.7866946459;
68;9;29.3250007629;48.6749992371;17;73.25;6;38.9340896606;37.8885269165;8;34.9919188023;
69;9;30.3250007629;50.6749992371;18;73.2899999619;6;34.0;39.0;6;35.203368187;
70;9;31.3250007629;52.6749992371;18;75.73510921;6;34.0;39.0;5;35.4209537506;
71;9;29.8120098114;55.8926887512;19;77.7826092243;6;33.0;38.0;5;35.6445524693;
72;10;32.0219535828;55.4878120422;18;85.4782743454;5;30.4000015259;32.0;6;29.8740055561;
73;10;33.1940231323;59.6976547241;18;86.872040391;5;31.4000015259;32.0;7;30.1091167927;
74;10;34.7700881958;62.8617515564;18;87.8206281662;5;29.4000015259;33.0;7;30.3496514559;
75;10;35.8976173401;62.8926887512;18;88.351739049;5;30.4000015259;32.0;7;30.5953353643;
76;10;36.9280967712;63.8926887512;18;89.5390170813;5;31.4000015259;32.0;7;30.8458536863;
77;11;35.9462814331;67.8926849365;18;91.803062439;5;29.4000015259;33.0;8;31.1008527279;
78;12;38.9651870728;72.8926849365;17;92.1831095219;5;30.4000015259;32.0;8;31.3599388599;
79;12;40.9848251343;77.8926849365;16;93.604144454;5;31.4000015259;32.0;8;31.6226816177;
80;12;41.1461830139;84.8000030518;15;94.3507475853;5;29.4000015259;33.0;10;31.888614893;
81;12;40.7034301758;90.8000030518;15;96.382615447;5;30.4000015259;32.0;10;32.1572399139;
82;12;40.7390022278;95.8000030518;16;98.3775882721;5;31.4000015259;32.0;10;32.4280288219;
83;13;39.41355896;100.544692993;15;101.393650413;5;29.4000015259;33.0;11;32.7004292011;
84;13;39.3252868652;103.720687866;16;103.702603459;5;30.4000015259;32.0;11;32.9738678932;
85;14;40.5426368713;107.745941162;16;107.12271452;5;31.4000015259;32.0;11;33.2477571964;
86;14;44.3912658691;106.900001526;18;109.727258086;5;29.4000015259;33.0;12;33.5215008259;
87;14;46.888004303;107.900001526;19;112.705340981;6;30.4000015259;32.0;11;33.7944979668;
88;14;49.165435791;109.900001526;21;116.074694037;6;28.4000015259;33.0;11;34.0661506653;
89;15;50.8627090454;110.900001526;21;119.834144831;6;27.4000015259;34.0;11;34.3358712196;
90;16;52.6418228149;111.900001526;20;123.957148075;6;26.4000015259;35.0;12;34.6030859947;
91;16;51.5042495728;113.900001526;21;128.3395257;6;25.4000015259;36.0;12;34.867241621;
92;16;52.449016571;115.900001526;21;133.924587488;6;24.4000015259;37.0;12;35.1278107166;
93;16;54.4723358154;118.900001526;23;137.733190775;6;23.4000015259;38.0;12;35.3842961788;
94;17;56.4583587646;122.900001526;23;141.531941652;6;22.4000015259;39.0;13;35.6362361908;
95;18;56.7829818726;125.900001526;22;145.220607519;6;21.4000015259;40.0;14;35.8832063675;
96;18;61.8782196045;132.899993896;23;149.720524788;6;20.4000015259;41.0;14;36.1248235703;
97;18;67.5647201538;140.755096436;24;153.048861742;6;19.4000015259;42.0;14;36.3607470989;
98;18;70.7133712769;145.106201172;25;156.119483471;6;18.4000015259;43.0;15;36.5906805992;
99;19;72.0658798218;146.124679565;25;158.932018638;6;18.0;44.0;17;36.8143713474;
100;20;72.6262435913;150.1431427;24;162.500154495;7;18.0;45.0;16;37.0316114426;
101;20;75.1689987183;156.161590576;25;164.819615006;7;18.0;46.0;16;37.9705870152;
102;20;75.7703170776;160.52041626;27;166.926141202;7;18.0;47.0;16;38.9319038391;
103;20;78.4681091309;168.256698608;29;168.595557332;7;18.0;48.0;17;39.9082319736;
104;20;80.5319137573;170.282852173;29;170.128086269;7;19.0;46.0;17;40.8916139603;
105;20;82.641708374;172.649551392;31;171.468344867;7;18.0;47.0;17;41.8737573624;
106;20;84.5796356201;175.894866943;31;172.761241555;7;18.0;48.0;18;42.8463630676;
107;20;87.4710693359;180.995330811;32;174.007012546;7;19.0;46.0;18;43.8014588356;
108;20;89.7856369019;185.47177124;34;175.207642019;7;18.0;47.0;19;44.7317109108;
109;20;90.2760314941;190.647613525;35;176.366014361;7;18.0;48.0;19;45.6306791306;
110;20;92.0055236816;195.224090576;36;178.392284751;7;19.0;46.0;20;46.4930067062;
111;20;91.9990615845;197.416564941;38;180.455823064;7;18.0;47.0;20;47.3145184517;
112;20;93.0116195679;200.047592163;41;182.375168085;7;18.0;48.0;20;48.092247963;
113;20;92.8311538696;202.46434021;42;184.348469496;7;19.0;46.0;20;48.8243794441;
114;20;93.6613845825;205.886550903;43;187.375872016;7;18.0;47.0;21;49.5101451874;
115;20;95.3846817017;210.311828613;44;190.503600836;7;18.0;48.0;21;51.1496763229;
116;20;98.5331802368;215.737594604;44;195.364682555;7;20.0;47.0;21;51.8638454676;
117;20;102.039794922;222.009963989;48;200.015723944;7;20.0;49.0;21;52.5471558571;
118;20;106.265304565;229.129699707;48;203.471367478;7;20.0;51.0;22;53.2025570869;
119;20;108.760131836;237.149749756;48;206.694466591;7;21.0;50.0;22;53.8332916498;
120;20;110.231430054;244.105270386;49;209.706882954;7;20.0;52.0;22;54.4030046463;
121;20;111.560241699;249.996688843;52;212.331204772;7;20.0;53.0;23;54.8574047089;
122;20;118.209609985;249.151412964;53;214.752838135;7;21.0;51.0;23;55.3157892227;
123;21;119.417114258;257.309143066;52;217.076383829;7;20.0;52.0;24;55.7791604996;
124;22;123.552055359;265.469818115;52;219.29565084;7;20.0;53.0;24;56.2484443188;
125;22;130.411834717;267.633178711;55;221.324345946;7;21.0;51.0;24;56.7244329453;
126;22;134.556869507;272.79901123;55;223.1838696;7;20.0;52.0;24;57.2077140808;
127;22;139.675674438;277.967163086;57;224.89527607;7;20.0;53.0;25;57.6649882793;
128;22;142.767456055;282.047729492;57;226.518108368;7;21.0;51.0;25;58.0858623981;
129;22;145.262252808;285.409332275;60;229.053189278;7;20.0;52.0;25;58.4556193352;
130;23;147.585113525;292.554473877;61;231.585349679;7;20.0;53.0;25;58.8254776001;
131;23;153.223602295;294.700714111;62;233.110608816;7;21.0;51.0;25;59.2109398842;
132;23;153.498657227;299.847900391;66;236.031513572;7;20.0;52.0;26;59.609752655;
133;25;154.550003052;303.965026855;65;238.668433189;7;20.0;53.0;26;60.0192508698;
134;25;154.237091064;308.088684082;67;241.153078198;7;21.0;51.0;26;60.4364109039;
135;26;156.855758667;315.280426025;67;243.54254818;7;20.0;52.0;27;60.8579273224;
136;26;161.413757324;319.064697266;68;246.865353823;7;20.0;53.0;27;61.2803106308;
