Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
45;6;28.1430683136;40.55128479;11;55.3554065228;3;16.4715213776;38.155960083;9;39.8290512562;
46;6;29.8612174988;42.4339027405;12;56.0385682583;3;17.5087909698;36.2974281311;10;40.1840474606;
47;6;31.4247989655;42.5318450928;12;56.6895859241;3;18.0;36.4234313965;10;40.5279541016;
48;6;31.1749992371;45.5167655945;13;57.3049492836;3;16.5896263123;36.5351715088;11;40.8139474392;
49;6;34.5020523071;41.5218429565;13;57.8825571537;3;17.0;36.5351715088;11;41.016159296;
50;6;32.8264770508;44.5175857544;14;58.4216110706;3;19.6786346436;34.5351715088;12;41.2268030643;
51;7;31.8264770508;43.9145584106;14;58.8730573654;3;20.9249992371;33.5351715088;12;41.445360899;
52;7;31.8264770508;41.5175857544;16;59.2920076847;3;21.9249992371;33.5;12;41.6711919308;
53;7;31.5590724945;41.5175857544;17;59.6805579662;3;23.7510185242;33.5;14;41.9035346508;
54;7;32.5912857056;42.8092079163;14;60.0410597324;3;24.8032951355;32.5;13;42.141512394;
55;7;32.8179931641;44.822593689;14;60.3759713173;3;25.4818401337;31.5;14;42.3841423988;
56;6;26.4908561707;42.6404724121;15;49.1144275665;4;24.5499992371;31.5;11;54.1303496361;
57;7;29.3314094543;37.6475715637;14;50.2687239647;4;24.5499992371;32.5;11;54.3789830208;
58;7;29.4885311127;39.6457366943;13;50.795332551;4;24.6477718353;34.5;13;54.6288366318;
59;7;29.4875411987;41.1458740234;14;52.3713611364;4;24.7039890289;36.5;13;54.8786706924;
60;7;29.0866146088;44.6460189819;15;53.6761372089;4;25.5499992371;36.5;13;55.1272368431;
61;7;32.2529449463;41.4471588135;16;54.763684392;4;27.5499992371;37.5;13;55.3733024597;
62;7;32.0883026123;42.6946601868;16;55.490743041;4;27.5499992371;36.5;13;55.6156759262;
63;7;30.1592845917;45.3837242126;17;55.8894735575;4;28.5499992371;35.5;22;55.853228569;
64;7;29.5623264313;35.276802063;17;40.2621585131;5;29.7250003815;33.5;15;72.0955286026;
65;7;28.6003112793;36.276802063;17;40.6474334002;5;28.7250003815;36.0499992371;17;72.2238969803;
66;7;28.6384544373;37.276802063;17;41.0332520008;5;29.7250003815;36.0499992371;17;72.354282856;
67;7;27.2479324341;36.9914474487;18;41.4181690216;5;29.1000003815;39.0499992371;17;72.485019207;
68;7;27.8764572144;37.0197257996;19;41.8007537127;5;29.1000003815;39.0499992371;17;72.6146669388;
69;8;26.4159641266;38.1505699158;19;42.1796183586;5;29.7730903625;40.3064041138;18;72.7420067787;
70;8;26.1660804749;37.276802063;20;42.5534431934;6;29.815990448;41.2873382568;18;72.8660259247;
71;8;26.1660804749;40.276802063;20;42.921000123;6;29.1000003815;40.2873382568;18;72.9859075546;
72;8;27.1660804749;43.276802063;19;43.2811722755;6;29.1000003815;40.2521209717;16;73.1010131836;
73;8;27.1660804749;46.276802063;18;43.632969141;6;29.93151474;41.2359924316;14;73.2108678818;
74;8;27.1660804749;49.276802063;17;43.9755388498;6;29.9655799866;42.2208518982;14;75.3053865433;
75;8;27.1660804749;52.276802063;16;44.3081717491;6;27.1776237488;42.2036056519;12;77.0665740967;
76;8;27.1660804749;55.276802063;14;44.6303048134;6;29.2473526001;41.1141586304;8;78.5359640121;
77;8;27.1660804749;58.276802063;13;44.9415166378;6;28.384759903;42.1002922058;7;79.4530248642;
78;9;27.1660804749;60.4101524353;10;61.4399929047;5;25.3999996185;40.4742393494;7;63.8472394943;
79;10;27.2494735718;62.0256271362;8;73.7098481655;4;19.0;34.6708526611;8;52.2157440186;
80;10;29.2494735718;65.1261978149;9;73.9701735973;4;22.0;31.6708526611;8;52.544043541;
81;10;28.2494735718;69.2212219238;9;74.220839262;4;21.5224094391;32.5;7;52.7248382568;
82;10;28.2494735718;73.310760498;10;74.4618227482;4;19.5326576233;34.5;5;52.8488454819;
83;10;29.2494735718;77.1949310303;10;74.6600334644;4;19.375;36.5;6;52.9622211456;
84;10;30.2494735718;79.2586364746;11;74.8372983932;4;20.375;35.5;6;53.0;
85;10;30.2494735718;79.3120117188;12;75.0069437027;4;19.375;37.5;6;54.0;
86;11;30.2494735718;79.5991210938;10;75.157643795;4;20.375;40.5;6;54.0299999714;
87;11;30.6494731903;80.6725769043;12;75.1898300648;4;21.375;43.5;7;56.3605911732;
88;11;30.6494731903;81.7059173584;14;75.225890398;4;20.375;41.5;7;58.2586648464;
89;11;29.6494731903;80.7391891479;15;75.2653198242;4;18.0;41.5;7;59.7836163044;
90;11;29.6494731903;80.7723464966;17;75.3076517582;4;19.0;41.5;8;61.0019530058;
91;12;30.6494731903;80.8053283691;18;75.3524577618;4;18.0;41.5;8;60.3502155542;
92;13;31.6494731903;80.838104248;20;75.3993461132;4;18.0;42.5;9;59.7674827576;
93;13;32.6494750977;81.8706207275;21;75.4479560852;4;18.0;43.5;9;59.2468960285;
94;13;33.6494750977;82.9028320312;25;75.4979577065;4;18.0;44.5;7;58.782279253;
95;13;34.6494750977;87.0095291138;26;75.5490477085;4;18.0;45.5;7;58.3680720329;
96;13;35.6494750977;88.0533294678;30;75.6009495258;4;18.0;46.5;8;57.9992667437;
97;13;35.6494750977;89.0965423584;30;75.6534104347;4;18.0;47.5;8;57.6713523865;
98;13;35.6494750977;90.1391067505;34;75.7061994076;4;19.0;48.5;8;57.3802678585;
99;13;35.6494750977;91.1809844971;35;75.7591085434;4;20.0;49.5;9;57.1223530769;
100;13;35.6494750977;92.2221374512;36;75.8119466305;4;20.3431777954;51.5;7;56.8943113089;
