Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
32;3;15.9105606079;16.5;3;30.9585089684;5;21.625;20.9075202942;4;40.5745725632;
33;3;15.3406639099;17.5;3;31.1993217468;5;22.0909423828;20.5;3;40.904802084;
34;3;15.3948478699;18.5;3;31.4349379539;5;21.625;22.5;3;41.2037687302;
35;3;15.4478607178;19.5;4;31.6643476486;5;22.118347168;22.5;3;41.4739327431;
36;3;15.4994783401;20.5;5;31.8866472244;5;22.1321964264;23.5;3;41.717880249;
37;3;15.549495697;21.5;5;32.1010527611;5;21.625;25.5;3;42.8782629967;
38;3;15.5977363586;22.5;5;32.3069086075;5;22.625;27.8647842407;3;42.9806146622;
39;3;14.0;24.5;6;32.5036902428;5;24.1741371155;26.2779998779;3;43.0842633247;
40;3;14.0;26.5;7;32.6910057068;5;23.625;27.3068294525;3;44.1891329288;
41;3;14.0;28.5;8;32.8685903549;5;24.625;28.8323936462;3;44.3351439238;
42;3;14.0;30.5;8;33.0363025665;5;25.8875999451;28.1176261902;4;44.4833978415;
43;3;14.0;32.5;9;33.1941108704;5;26.2303333282;27.1551189423;4;44.6338114738;
44;3;14.0;34.2358779907;9;33.3420877457;5;26.7801074982;32.1551170349;4;44.78629601;
45;3;14.0;35.3394622803;10;33.4803924561;5;26.8144168854;37.1551170349;5;44.9407571554;
46;3;15.0;33.4362754822;10;33.6092615128;5;26.8491706848;42.1551170349;5;45.0970953703;
