Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
21;1;19.5;12.5;7;25.0;2;19.625;13.3716974258;5;26.5043625832;
22;1;19.5;12.5;7;25.0;2;19.625;13.4026174545;5;26.5569496155;
23;1;19.5;12.5;8;25.0;2;19.625;13.4341697693;6;26.6105561256;
24;1;19.5;12.5;8;25.0;2;19.625;13.4663333893;7;26.6651450396;
25;1;19.5;12.5;8;25.0;3;19.625;13.4990873337;6;26.72067523;
26;1;19.5;12.5;8;25.0;3;19.625;12.5;7;26.7771017551;
27;1;19.5;12.5;8;25.0;3;19.625;13.5;7;26.8343759775;
28;1;19.5;12.5;8;25.0;3;19.625;13.6006259918;7;26.8924454451;
29;1;19.5;12.5;8;25.0;3;19.625;13.6354675293;8;26.9512542486;
30;1;19.5;12.5;8;25.0;3;18.064031601;13.5;8;27.0107431412;
31;1;19.5;12.5;8;25.0;3;17.0774173737;14.5;7;27.0708494186;
32;1;19.5;12.5;8;25.0;3;16.0909404755;15.5;7;27.1315076351;
33;1;19.5;12.5;8;25.0;3;15.1045894623;16.5;7;27.1926498413;
34;1;19.5;12.5;8;25.0;3;14.4933462143;17.5;8;28.2542052269;
35;1;19.5;12.5;8;25.0;4;15.5071964264;18.5;5;32.8848199844;
36;1;19.5;12.5;8;25.0;4;17.0;19.5;6;33.1453704834;
37;1;19.5;12.5;9;25.0;4;18.7783756256;20.5;7;33.4053866863;
