Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
146;23;175.423904419;303.472686768;32;275.551971078;9;23.0;114.072319031;20;69.6026004553;
147;24;179.592147827;308.472686768;33;277.809689164;9;24.0;113.087638855;21;70.052141428;
148;25;181.755950928;316.472717285;33;285.259110451;9;23.0;113.087638855;21;70.4783767462;
149;25;184.915130615;329.472717285;35;287.597067118;9;23.0;114.087638855;22;70.8824414015;
150;25;191.069549561;336.472717285;38;289.865267038;9;23.0;114.619110107;24;71.2655805349;
151;26;195.219055176;343.472717285;40;292.0604316;9;23.0;114.354393005;24;71.5856618881;
152;26;196.655288696;355.472717285;42;294.173580766;9;23.0;113.599472046;21;71.8156753778;
153;27;200.90725708;364.472717285;41;297.086616397;9;23.0;113.677398682;23;72.0415951014;
154;27;204.244674683;372.472717285;47;311.825560808;9;23.0;113.756889343;24;72.2348189354;
155;27;211.954574585;381.172698975;48;325.320637822;9;22.0;113.837791443;23;72.3746613264;
156;27;221.426116943;409.4894104;48;336.515611291;9;23.0;111.919952393;23;72.5160647631;
157;27;230.067779541;427.177368164;50;346.431158066;9;23.0;110.003189087;23;72.6587584019;
158;30;239.504013062;433.359436035;48;354.897343993;9;22.0;111.597976685;21;72.8024585247;
159;30;247.934494019;451.986175537;48;362.040836334;9;23.0;110.682815552;17;72.9468711615;
160;30;241.993682861;478.992584229;49;368.31821239;9;23.0;109.768165588;8;73.091693759;
161;30;237.369567871;504.991516113;51;373.58310008;9;24.0;107.853820801;8;73.2366191149;
162;34;237.599578857;532.786437988;43;392.027602077;5;22.0;88.53956604;9;59.7502937317;
163;35;239.049880981;567.931152344;41;415.12924552;4;17.0;71.6252059937;10;41.8721673489;
164;35;239.780532837;587.68347168;41;422.338056445;4;16.0;73.7105178833;10;41.9932823181;
165;35;242.338287354;606.153076172;48;429.598837852;4;17.0;72.7952957153;11;42.1133489609;
166;35;244.90222168;630.292907715;53;436.961371899;4;16.0;74.8793487549;11;42.2320871353;
167;35;278.885742188;658.64276123;57;443.757876158;4;16.0;76.9624633789;12;42.3492274284;
168;35;291.049682617;678.248352051;60;484.98884058;4;17.0;75.0444641113;12;42.464515686;
169;35;302.046356201;725.074462891;63;521.538768291;4;16.0;76.1251602173;13;42.5777130127;
170;35;308.842834473;773.004821777;66;552.798672318;4;16.0;77.2043991089;13;42.688598156;
171;36;319.700805664;804.464660645;67;587.915274143;3;15.0;66.2820205688;14;34.7969703674;
172;36;339.206085205;836.440551758;71;612.487089276;3;14.0;67.3578796387;14;34.9026489258;
173;36;344.072265625;869.864685059;76;634.065444589;3;14.0;68.431854248;1;35.0054745674;
174;36;347.467163086;902.329467773;79;653.468419313;0;0;0;0;0;
