Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
33;3;19.097454071;15.5;5;30.5737948418;1;13.625;15.5;7;25.0;
34;3;18.1721382141;16.5;5;31.8205022812;1;12.625;16.5;7;25.0;
35;3;18.2461509705;17.8999996185;5;32.1537698507;1;12.0;17.5;7;25.0;
36;3;18.3191299438;18.5;5;32.489572525;1;12.0;18.5;7;25.0;
37;3;17.8907356262;19.9748477936;5;32.8272279501;1;12.0;19.5;7;25.0;
38;3;17.960647583;21.0166950226;5;33.166138649;1;12.0;20.5;8;25.0;
39;3;18.449842453;21.5;5;33.5057992935;1;12.0;21.5;8;25.0;
40;3;19.551738739;19.5;6;33.8457998037;1;12.0;22.5;8;25.0;
41;3;18.6537399292;20.5;6;34.1858216524;1;12.0;23.5;9;25.0;
42;3;18.2180786133;22.2168903351;7;34.5256304741;1;12.0;24.5;9;25.0;
43;3;19.8576889038;19.5;7;34.8650634289;1;12.0;25.5;10;25.0;
44;3;20.9595184326;20.5;8;35.2040145397;1;12.0;26.5;11;25.0;
45;3;20.0092124939;21.5;9;35.5424134731;2;12.0;27.5;10;25.0;
46;3;21.3308258057;23.5;9;35.8802070618;3;13.0;29.2000007629;9;26.0;
47;3;23.3308258057;25.5;9;36.2173373699;3;14.0;29.5;9;26.0399999619;
48;3;22.3652000427;28.5;10;36.5537188053;3;16.0;27.5;9;26.0811839104;
49;3;21.4661159515;29.5;10;36.8892195225;3;16.0;28.5;10;26.1235535145;
