Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
166;12;42.5999984741;115.583236694;6;108.654578447;22;90.1141281128;235.557952881;29;177.648536682;
167;12;43.5999984741;116.478347778;5;109.726156235;22;90.3941726685;240.220184326;30;180.603315353;
168;12;44.5999984741;117.793174744;5;109.694588065;22;94.15675354;240.684906006;31;183.540093899;
169;12;45.5999984741;118.423858643;6;110.810940742;22;99.447807312;234.684906006;33;186.445960522;
170;12;46.5999984741;119.747764587;6;110.786894083;22;97.1232299805;240.684906006;32;189.306439877;
171;12;48.5999984741;120.382987976;8;112.940668106;22;98.5309143066;246.684906006;33;192.105576992;
172;12;51.5999984741;123.713684082;7;114.154585958;22;99.845161438;247.684906006;37;194.788916588;
173;12;54.5999984741;126.958648682;9;115.226384401;22;98.1975784302;255.684906006;40;197.292785168;
174;12;56.5999984741;130.049530029;9;117.318016529;22;101.498657227;258.684906006;40;199.632453918;
175;12;59.5999984741;134.132751465;10;118.484157205;22;99.8703460693;267.684906006;41;201.828808784;
176;12;62.5999984741;138.199996948;10;119.586829543;22;102.131813049;270.684906006;42;203.68676281;
177;12;69.7086868286;141.199996948;11;119.671033025;22;102.285430908;268.684906006;42;205.41716671;
178;12;72.5671005249;143.790008545;12;119.840609312;22;100.478027344;273.08493042;42;207.021458626;
179;12;74.5840606689;144.865310669;17;120.091080189;22;102.642921448;275.08493042;43;208.48833847;
180;12;76.6091079712;144.216003418;17;121.79831934;22;103.009742737;277.08493042;45;209.733736992;
181;11;75.7298355103;139.106781006;18;112.976085663;23;103.166999817;279.08493042;43;221.256291866;
182;11;77.897605896;138.941390991;19;114.628039479;23;105.255813599;279.08493042;48;222.523587227;
183;11;80.0628051758;138.72354126;20;116.092502952;24;107.365608215;280.08493042;48;226.042283058;
184;10;62.4092445374;132.308685303;23;89.4728624821;25;109.265434265;285.08493042;48;255.573701859;
185;10;62.5472869873;132.806747437;23;90.8413575888;25;110.382064819;284.08493042;50;256.970350266;
186;10;62.6841392517;133.273681641;24;92.2190096378;25;108.590034485;290.08493042;51;262.142026424;
187;10;62.8218955994;133.726593018;25;93.5992903709;25;111.771789551;290.08493042;51;267.196044922;
188;10;62.9599266052;134.16394043;25;94.9750537872;25;114.119430542;295.08493042;52;271.246783495;
189;10;63.0975074768;134.584472656;26;94.8656468391;26;121.531341553;293.08493042;54;274.74986887;
190;10;63.0865631104;133.896026611;28;96.6039772034;26;121.872512817;304.08493042;54;276.756492138;
191;10;67.1890792847;132.584472656;28;98.1201274395;26;127.135719299;310.08493042;55;278.356201649;
192;10;63.4120140076;137.584472656;32;99.4491107464;26;132.132034302;310.08493042;56;279.500063777;
193;10;64.5449066162;139.584472656;34;100.735761404;26;131.488006592;316.08493042;59;280.204960227;
194;10;65.6604537964;138.584472656;34;101.973516703;26;132.60369873;323.08493042;60;280.777556419;
195;10;65.7610168457;137.584472656;35;103.156937122;26;135.705032349;323.08493042;61;282.286526203;
196;10;64.9156951904;139.584472656;38;104.281842709;26;135.776641846;330.08493042;62;282.575271368;
197;11;65.0281829834;141.584472656;39;103.727494955;26;135.934509277;341.08493042;63;282.812969685;
198;11;67.0444641113;137.584472656;40;105.150682211;26;141.997421265;338.08493042;64;283.046473622;
199;11;65.0920562744;139.584472656;40;106.312988281;26;140.807693481;344.854187012;65;283.275962234;
200;11;65.2230529785;141.584472656;41;107.257837772;27;140.123565674;353.67010498;63;283.43637228;
201;11;67.286567688;137.584472656;42;108.089687347;27;145.174087524;349.764068604;64;283.583024621;
202;11;65.4089660645;139.584472656;43;108.822831154;27;144.0131073;352.859161377;65;294.576807737;
203;11;65.4822845459;141.584472656;43;110.503873825;27;144.408660889;364.786590576;66;303.760088325;
204;11;66.5503845215;144.584472656;37;111.285417438;27;149.146972656;374.350891113;66;307.98549211;
205;11;69.5918121338;141.584472656;34;110.432295442;27;153.327651978;375.799926758;67;308.689272285;
206;11;71.6988449097;140.584472656;35;111.658052444;27;157.213470459;393.546936035;67;309.391442895;
207;11;70.7657623291;141.584472656;36;112.528375983;27;159.276306152;395.572906494;69;308.811490178;
208;11;68.8419647217;144.584472656;38;113.19788003;27;157.208816528;406.7840271;70;314.103523672;
209;11;67.9197921753;146.584472656;36;112.160922289;27;156.695922852;426.273071289;73;318.62160635;
210;11;69.9044952393;137.134643555;38;111.342158318;28;163.32925415;421.322143555;72;322.28638339;
211;10;69.0412826538;120.432304382;38;102.579278946;29;161.502426147;432.828063965;70;333.885208607;
212;9;62.1233787537;110.951843262;38;94.3260400295;30;170.326522827;442.876983643;68;345.200893164;
213;8;56.2576446533;99.1999969482;39;86.5509083271;31;175.849685669;456.715179443;69;356.110917807;
214;8;57.3097648621;97.1999969482;39;86.7037739754;31;174.082824707;470.846160889;70;359.156904578;
215;8;58.3545761108;96.1999969482;39;86.90036726;31;172.423355103;481.338195801;74;361.836817741;
216;8;59.400806427;95.1999969482;8;87.1362752914;31;175.693283081;492.174804688;70;355.488870621;
217;8;60.4483108521;94.1999969482;6;87.4069657326;31;167.314315796;451.124511719;75;367.461926699;
218;8;61.4969062805;93.1999969482;6;87.7077612877;31;175.127120972;458.166229248;80;378.491948605;
219;8;59.5463562012;93.5486755371;6;88.1955738068;31;178.14604187;478.781219482;80;383.568790317;
220;8;60.6125717163;91.5486755371;2;88.7228927612;31;193.447097778;473.989746094;81;391.322183013;
221;8;61.6809959412;90.5486755371;2;89.0854310989;31;189.591217041;481.613006592;80;399.472657919;
222;7;30.9313697815;59.5486793518;2;57.9117426872;32;189.013671875;491.846984863;75;436.639031529;
223;7;30.0267105103;58.5486793518;3;58.7531695366;32;176.919326782;505.447692871;74;447.05809617;
224;7;30.1222915649;58.5486793518;3;59.5985584259;32;184.287567139;528.527099609;74;451.662328482;
225;7;29.217124939;57.5486793518;4;60.4368815422;32;191.422866821;542.237426758;75;454.429623604;
226;7;29.3102226257;57.5486793518;4;61.2576665878;32;195.697814941;559.086547852;78;455.972620964;
227;7;29.400642395;57.5486793518;4;62.0514154434;32;187.94468689;579.174194336;77;450.638422251;
