Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
70;4;25.369758606;30.214056015;19;36.1693290472;4;27.0400009155;46.4590911865;22;51.1266222;
71;4;25.5353660583;31.526889801;20;36.4982469082;4;27.0400009155;47.5533370972;22;51.4201416969;
72;5;26.6000003815;31.0;19;36.6119143963;4;27.0400009155;48.644317627;22;51.6993751526;
73;5;26.6242828369;31.0;20;36.7256715298;4;27.0400009155;49.7318077087;23;51.9642186165;
74;5;25.6000003815;32.0;20;36.8394155502;4;27.0400009155;50.8156356812;23;52.2146873474;
75;5;26.6000003815;31.0;21;36.9530463219;4;27.0400009155;51.8956604004;23;52.3827137947;
76;5;24.6874504089;32.0;21;37.0664666891;4;27.0400009155;52.8473587036;24;52.5271091461;
77;5;23.7078418732;33.0;21;37.1795823574;4;27.0400009155;52.9195556641;24;52.6636066437;
78;5;22.7278633118;34.0;22;37.2923023701;4;26.0400009155;51.9195556641;25;52.7922544479;
79;5;21.7474937439;35.0;22;38.4045392275;4;26.0400009155;51.9195556641;25;52.9131627083;
80;5;20.6000003815;38.0;23;38.5162086487;4;27.0400009155;52.9195556641;25;53.0264959335;
81;5;20.6000003815;40.9758453369;23;38.6272301674;4;27.0400009155;53.1692504883;24;53.1324625015;
82;5;19.6000003815;43.8136138916;24;38.7375267744;4;27.0400009155;53.2222290039;25;53.2313089371;
83;5;18.6000003815;45.86876297;24;38.8470252752;4;27.0400009155;53.2716522217;24;53.3233118057;
84;5;18.0;47.9235153198;25;38.955655098;4;27.0400009155;53.3176574707;23;53.359998703;
85;5;18.0;49.4778251648;25;39.0633500814;4;26.0400009155;52.3176574707;23;53.359998703;
86;5;18.0;50.5316734314;25;39.1700466871;4;26.0400009155;52.3176574707;22;53.359998703;
87;5;18.0;51.5850219727;26;39.2756844759;4;25.5240020752;52.3176574707;21;53.359998703;
88;5;18.0;52.637840271;26;39.3802068233;4;24.5240020752;53.1959991455;22;53.3023986816;
89;5;18.0;53.6901016235;26;39.4835596085;4;23.5240020752;52.1959991455;22;53.2505588531;
90;5;18.0;54.7417793274;28;39.5856919289;4;22.5240020752;52.1959991455;23;53.2039031982;
91;5;19.0;52.7928466797;28;39.6485295296;4;22.0400009155;51.1959991455;23;53.1619129181;
92;5;18.0;53.8242645264;29;39.7044229507;5;24.0400009155;52.1959991455;23;54.124121666;
93;5;18.0;54.8522109985;29;39.7605383396;6;27.0400009155;55.1959991455;21;55.1588554382;
94;5;19.0;52.8802680969;30;39.8168134689;6;29.0400009155;58.1959991455;21;55.2697268724;
95;5;18.0;53.908405304;30;39.873185873;6;30.0400009155;62.8520011902;22;55.3917708397;
96;5;18.0;54.9365921021;30;39.9295921326;6;31.0400009155;65.4183654785;22;55.748275876;
97;5;19.0;52.9647979736;30;39.9859685898;6;31.0400009155;66.401008606;23;56.1829384565;
98;6;18.0;53.9929847717;26;55.0422515869;6;31.0400009155;67.3853912354;23;56.7098226547;
99;6;19.0;56.0211257935;26;56.1483774185;6;32.0400009155;66.0375213623;23;57.344445467;
100;6;21.0;55.0491905212;26;57.1592597961;6;31.0400009155;67.4315032959;25;58.1031455994;
101;6;20.0;57.0771408081;26;58.0642893314;8;31.0400009155;68.8698120117;23;59.0019714832;
102;5;18.0;55.1049575806;26;40.265196085;10;32.0400009155;69.6944961548;21;78.9093493223;
103;5;19.0;53.132598877;26;40.3200798035;10;32.0400009155;73.302154541;21;80.9215829372;
104;5;18.0;54.1600418091;27;40.374505043;10;34.0400009155;75.011756897;21;82.9956072569;
105;5;18.0;55.1872520447;27;40.4284162521;10;36.0400009155;78.824836731;22;85.1302717924;
106;5;19.0;53.2142066956;27;40.4817597866;11;37.0400009155;81.7602844238;23;87.3143390417;
