Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
36;2;14.6291637421;25.0;8;30.1476035118;3;29.9350414276;18.8887996674;9;53.1167984009;
37;2;14.6442813873;26.0;8;30.1981236935;3;29.9350414276;20.8887996674;10;53.1167984009;
38;2;14.6594371796;27.0;9;30.248721838;3;29.9350414276;22.8887996674;9;53.1167984009;
39;2;15.0;26.0;10;30.2993469238;3;29.9350414276;24.8887996674;9;53.1167984009;
40;2;14.6898040771;26.0;10;30.349947691;3;29.9350414276;24.8887996674;10;53.1167984009;
41;2;14.7049846649;27.0;10;30.4004728794;3;29.9350414276;24.8887996674;10;54.1167984009;
42;2;15.0;26.0;8;30.4508714676;3;30.9350414276;25.8887996674;11;54.1314198971;
43;3;14.7352619171;26.0;9;30.5010929108;3;31.9350414276;26.8887996674;12;54.14610672;
44;4;15.750328064;27.5;8;31.5510873795;4;30.6194496155;27.8887996674;11;71.1608550549;
45;4;17.0;26.5;9;31.7533057928;4;29.3415355682;30.8887996674;11;72.1956611872;
46;4;16.0;27.300403595;10;31.9766988754;4;27.3415355682;34.8888015747;11;73.1079161167;
47;5;17.7950592041;27.300403595;8;53.4736822844;4;26.3415355682;38.3827133179;12;73.8951456547;
48;5;17.0;31.300403595;8;55.2342731953;4;25.3415355682;40.4205970764;12;74.5618830919;
49;5;19.8243484497;32.300403595;9;56.7894399166;4;24.3415355682;42.3622970581;15;75.1176550388;
50;5;20.8387928009;34.0;9;58.1441926956;4;23.3415355682;44.3151168823;16;75.5749121904;
51;5;21.8530864716;35.0;9;59.3204655647;4;23.0399513245;46.2778053284;15;75.9472628832;
52;5;20.0;38.0;8;60.3495481014;4;24.0;48.249004364;15;76.2481589317;
53;5;20.0;39.4686203003;8;61.26541996;4;25.0;50.2273635864;14;76.2956595421;
54;5;21.0;40.491569519;8;62.0678944588;4;26.0;52.2310752869;14;76.3107876778;
55;5;22.0;41.5141983032;9;62.5846509933;4;27.0;54.2380332947;14;76.3259292841;
56;5;23.0;42.53647995;10;63.1394081116;4;28.8999996185;53.2449989319;14;78.8235408068;
57;5;24.0;43.5584068298;11;63.7302894592;4;28.1969985962;55.1900367737;17;80.7480674982;
58;6;25.0;44.5799636841;11;64.3541314602;4;28.4356117249;57.1481323242;17;82.207149744;
59;6;26.0;45.6011352539;12;65.0064213276;4;28.6244697571;59.1173591614;17;83.0732991695;
60;6;27.0;46.6219139099;13;65.6813271046;4;29.7721557617;58.0958099365;17;83.2763794661;
61;6;28.0;47.642288208;13;66.3718352318;4;29.7999992371;57.1009597778;19;83.3011643887;
62;6;29.0;48.6622467041;14;67.0699977875;5;28.7999992371;59.1123580933;21;83.3260749578;
63;5;17.0;41.6817855835;10;40.5172798634;6;29.7999992371;58.1238174438;16;110.601099372;
64;5;19.0;39.0;9;41.2049841881;6;30.7999992371;58.1353302002;18;111.648101091;
65;5;20.031747818;38.0;10;41.8747012615;6;30.7999992371;61.1468887329;18;112.444608927;
66;5;21.0426921844;37.0;9;42.5075025558;6;32.7999992371;61.1584854126;16;113.038229346;
67;5;21.0;37.0;10;43.0845708847;6;32.7999992371;63.1856384277;17;113.452093482;
68;4;22.0;36.75;11;43.625041008;7;32.7999992371;64.197303772;17;113.477503896;
69;4;23.0;35.75;13;44.1251935959;7;33.7999992371;65.0556488037;17;113.502953649;
70;4;24.0;34.75;13;44.5828323364;7;34.7999992371;65.0673599243;18;113.528429866;
71;4;24.3999996185;33.75;13;44.9971876144;7;35.7999992371;65.0790786743;19;113.553919554;
72;4;24.3999996185;32.75;14;46.3687400818;7;36.7999992371;65.0908050537;20;113.579409719;
73;4;25.3999996185;32.75;14;46.7389907837;8;37.7999992371;65.1025314331;19;113.604887486;
74;4;26.3999996185;32.75;14;47.0713973045;8;36.7999992371;64.1142501831;20;113.630339742;
75;4;26.3999996185;33.75;15;49.2407268286;8;36.7999992371;64.1259536743;20;113.655753613;
76;4;27.8199996948;33.7000007629;15;51.0019388199;8;33.7999992371;66.1376495361;21;113.681116223;
77;4;27.1375198364;36.2291984558;16;52.4126218557;8;32.0;68.1493148804;22;113.706414819;
78;4;27.369758606;37.4303779602;16;53.5375952721;9;30.4762973785;72.160949707;20;113.731636763;
79;4;28.5353660583;35.8922767639;16;54.266803503;9;30.4785671234;76.1725540161;21;113.756769538;
80;4;28.7125778198;36.0;17;54.7269200087;9;30.7781066895;80.1841125488;21;113.781800747;
81;4;27.6000003815;37.0;18;55.1046978235;9;30.7803611755;84.1956253052;21;113.80671823;
82;4;27.6000003815;37.875;18;55.4393924475;9;32.7826042175;82.2070846558;22;113.831510186;
83;4;25.6000003815;38.875;18;55.630330801;9;30.7848358154;86.21849823;23;113.856164813;
84;4;24.6000003815;39.875;19;55.7407000065;9;31.7870540619;87.2298355103;23;113.880670667;
85;5;23.6000003815;40.875;18;55.8553504944;9;32.7892608643;85.2411117554;23;113.905016661;
86;5;22.6000003815;41.875;19;55.9741902351;9;30.7914505005;89.2523040771;24;113.929191947;
87;5;21.6000003815;42.875;19;56.0970947742;9;31.7936248779;90.2634277344;25;113.953186035;
88;5;20.6000003815;43.875;20;56.2239060402;9;32.7957878113;88.2744674683;25;113.976988554;
89;5;21.6000003815;43.875;20;56.3544316292;9;30.7979278564;92.2854156494;25;114.000589848;
90;5;22.6000003815;43.875;20;56.4884443283;9;32.8000526428;90.2962722778;26;114.023980379;
91;5;23.6000003815;43.875;21;56.6256830692;9;32.8021583557;88.3070297241;27;114.04715085;
92;5;24.6000003815;43.875;21;56.7658529282;9;30.8042411804;92.3176879883;27;114.070092678;
93;5;25.6000003815;43.875;23;56.9086277485;9;32.8063087463;90.3282394409;29;114.092797518;
94;5;26.6000003815;44.875;22;57.0536520481;9;32.8083496094;88.338684082;28;114.115257502;
95;5;27.6000003815;45.875;22;57.2005438805;9;30.8103713989;92.3490219116;29;114.137465239;
96;5;25.6000003815;47.875;22;57.3488984108;9;32.8123703003;90.3592300415;29;114.138816595;
97;5;24.6000003815;49.875;23;57.4982924461;10;32.8124923706;88.3598556519;28;114.138816595;
98;5;23.6000003815;50.875;23;57.64828825;10;30.8124923706;92.3598556519;29;114.138816595;
99;5;22.6000003815;51.875;24;57.7984390259;10;32.8124923706;90.3598556519;29;114.138816595;
100;5;21.6000003815;52.875;24;57.9482946396;10;30.8124923706;94.7546310425;31;114.138816595;
