Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
80;7;32.2115440369;65.8770141602;9;84.3248803616;9;35.5745849609;76.1620788574;24;96.0033500195;
81;7;31.2327136993;67.9295959473;10;84.6492739916;9;36.5834922791;77.265625;24;96.788326025;
82;7;32.5999984741;68.7343597412;12;84.8354735374;9;37.5923118591;78.3664932251;26;97.4761574268;
83;7;32.2247619629;69.8764724731;13;85.0266544819;10;38.6010360718;79.4644927979;26;98.0268979073;
84;7;32.9579963684;70.75;13;85.2226011753;11;38.779548645;80.5361633301;25;98.4999709129;
85;7;33.3199768066;70.75;14;85.4230599403;11;38.8765258789;81.6036224365;23;98.8119492531;
86;7;32.3346214294;72.75;14;85.6277389526;12;38.9265937805;82.6689300537;23;98.9797208309;
87;7;32.3735656738;75.024597168;16;85.8363091946;12;38.9348983765;83.7319564819;23;99.1419110298;
88;7;33.4135704041;74.062210083;17;86.0484046936;12;36.9430847168;85.7926177979;23;99.2983465195;
89;7;32.4545593262;76.099937439;18;86.2636244297;12;35.9511528015;87.8508300781;23;100.448903084;
90;7;33.3290863037;76.75;19;86.4815340042;12;35.9590988159;90.9065475464;23;100.710474491;
91;7;34.5391311646;73.75;20;86.7016694546;12;35.96692276;93.9597320557;24;100.978430986;
92;7;32.4779853821;75.75;20;86.9235394001;12;34.9746208191;97.010383606;25;102.250117421;
93;7;31.6000003815;77.75;22;87.1466302872;12;36.9812011719;98.0585021973;25;102.566338181;
94;8;33.5999984741;72.75;20;107.370410681;12;38.9812011719;100.104110718;25;103.728999734;
95;8;32.5999984741;75.75;20;109.394335747;12;39.9812011719;101.147247314;26;104.754541397;
96;8;33.5999984741;78.75;21;112.899456739;13;40.9812011719;102.187957764;25;105.660054922;
97;8;35.5999984741;75.75;21;115.935338497;13;41.9812011719;103.100509644;25;106.465323567;
98;8;33.5999984741;78.75;24;118.462215662;13;42.9812011719;107.423339844;26;107.135554433;
99;8;33.5999984741;81.75;26;120.496581793;14;43.8435821533;109.040420532;25;107.586359501;
100;8;34.5999984741;81.75;26;122.094966412;14;43.8812026978;111.020011902;25;107.932187676;
101;8;34.5999984741;81.75;26;123.189679623;14;43.8812026978;113.011825562;26;108.29829073;
102;8;33.5999984741;83.75;28;123.937724829;14;43.8812026978;115.003318787;26;108.684223294;
103;8;36.5999984741;82.75;28;124.326015949;14;43.8812026978;116.994483948;26;109.089213729;
104;8;39.5999984741;82.75;28;124.527492285;14;48.8155441284;117.681549072;28;109.512143373;
105;8;40.8499984741;82.75;28;124.724212885;14;51.8545532227;119.672088623;28;110.951535225;
106;8;41.8499984741;83.0;28;124.915849924;14;51.9950714111;123.662315369;28;111.398694754;
