Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
68;5;27.3999996185;38.0;9;48.114918828;6;26.2719993591;48.349811554;18;53.9553912878;
69;5;28.3999996185;38.0;9;48.568276763;6;28.3078842163;47.2863121033;17;54.8577868938;
70;5;28.3999996185;38.0;9;50.8319528103;6;24.2719993591;51.2863121033;16;55.7233908176;
71;5;29.8199996948;39.7000007629;11;52.6882193089;6;23.2719993591;54.8160667419;14;56.5462393761;
72;5;29.1375198364;42.7898674011;10;54.1944309473;6;22.2719993591;56.8982963562;13;57.3222782612;
73;5;30.369758606;42.2140579224;11;55.4151701927;6;21.2719993591;58.969127655;15;58.0493295193;
74;5;29.5353660583;43.526889801;11;56.2401438951;6;20.2719993591;61.0387611389;15;58.7269160748;
75;5;30.6000003815;43.0;13;56.795789361;6;20.0;63.1071205139;15;59.3559894562;
76;6;30.6242828369;44.0;12;57.3034156561;6;21.0;65.1741485596;16;59.9386124611;
77;6;29.6000003815;46.0;12;57.7690067291;6;20.0;67.2397766113;18;60.4776277542;
78;6;30.6000003815;46.0;10;58.0888847113;6;20.0;69.1204833984;18;60.9763588905;
79;6;30.6874504089;47.0;10;58.3260335922;6;20.0;70.2679901123;18;61.4383516312;
80;6;30.7078418732;48.0;10;58.5651150942;6;20.0;72.4150695801;19;61.8533303738;
81;6;28.7278633118;50.0;10;58.8058655262;6;20.0;74.5615081787;19;62.0943815708;
82;7;28.7474937439;49.0;7;75.0480077267;6;20.0;76.7070617676;20;62.3329102993;
83;8;28.7667140961;53.0;6;76.3162499666;6;20.0;78.8515014648;22;62.568572998;
84;8;30.6000003815;55.0;6;77.4927648902;6;20.0;80.9945907593;23;62.7575249672;
85;8;31.6000003815;55.0;7;78.5664386749;6;21.0;77.1143493652;24;62.9398469925;
86;8;29.6000003815;59.0;8;79.5330631137;6;20.0;77.2307434082;24;63.1201646328;
87;8;29.6000003815;63.0;9;80.3943793178;6;20.0;77.3460388184;24;63.2981410027;
88;8;29.6000003815;62.4488105774;7;81.1566132307;6;21.0;74.4599838257;24;63.4734530449;
89;8;27.6000003815;64.4414291382;6;81.8288854957;6;20.0;75.5723648071;25;63.6457929611;
90;7;25.0;61.4347877502;6;79.3213402629;7;20.0;76.682975769;21;66.7954874039;
91;7;26.0;60.4288101196;8;79.724773407;7;22.0;76.7916030884;22;67.0808367729;
92;8;25.0;62.4234275818;8;79.9704892635;7;22.0;79.8980636597;22;67.3635084629;
93;8;25.0;64.418586731;8;80.0754739046;7;22.0;83.0021896362;23;67.6046032906;
94;8;26.0;63.414226532;9;80.1403954029;7;23.0;80.0846176147;24;67.8378779888;
95;8;25.0;65.4103088379;9;80.1975152493;7;22.0;81.1623306274;27;68.0685098171;
96;8;25.0;67.4067687988;9;80.2539266348;7;22.0;82.2380371094;27;68.2960367203;
97;8;26.0;66.4035949707;10;80.3095108271;7;23.0;80.3116073608;27;68.5200202465;
98;8;25.0;68.4007415771;10;80.3641617894;7;22.0;82.3829498291;27;68.7400486469;
99;8;26.0;67.3981628418;11;80.4177873135;7;22.0;82.4519958496;27;68.9557375908;
100;7;26.0;66.3958435059;11;80.4703068137;8;23.0;80.5186691284;25;69.1667356491;
101;7;25.0;68.3937606812;12;80.5216506124;8;23.0;83.5274810791;26;69.3727235794;
102;7;26.0;67.3918838501;12;80.5717607737;8;22.0;84.6069488525;26;69.5734152794;
103;7;26.0;66.3901977539;13;80.6205883622;8;22.0;86.6832427979;26;69.7685613632;
104;7;25.0;68.3886795044;13;80.6680938601;8;22.0;87.7563552856;27;69.9579467773;
105;7;26.0;67.3873138428;13;80.7142469287;8;22.0;88.8263015747;28;70.141392231;
106;7;26.0;66.3860778809;13;80.7590244412;8;23.0;88.8931121826;30;71.3187551498;
107;7;25.0;68.5389556885;14;80.7679474354;8;23.0;90.9568099976;30;71.5477913618;
108;7;25.0;70.5375671387;16;80.7661526799;8;25.0;92.0174636841;32;71.7679408789;
109;7;25.0;72.5363082886;15;80.764537394;9;25.0;93.0703125;39;71.9290962219;
110;6;23.0;69.5351715088;15;59.7630836368;10;24.0;97.0703125;33;93.0899246931;
111;6;23.0;71.5341567993;16;59.7617752552;10;25.0;102.0703125;33;93.2503887415;
112;6;23.0;73.533241272;16;59.7605977058;10;27.0;102.0703125;33;93.4104629755;
113;6;24.0;72.5324172974;19;59.7595379353;10;26.0;104.970314026;35;93.5701301098;
114;6;23.0;74.5316772461;21;59.7585841417;12;26.0;106.970314026;34;93.729380846;
115;6;24.0;73.5310058594;21;59.7577257156;12;27.0;105.970314026;34;93.8882110119;
116;6;24.0;72.5304107666;21;59.7569531202;12;26.0;107.970314026;35;94.0466188192;
