Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
19;2;25.4814529419;12.5;6;28.1613030434;2;21.5;12.5;3;27.9515185356;
20;2;26.6242275238;12.5;6;28.5039470196;2;21.5;12.5;3;28.1595556736;
21;2;26.8267765045;12.5;6;28.871723175;2;21.5;12.5;3;28.3756833076;
22;2;26.992275238;12.5;6;29.263862133;2;21.5;12.5;3;28.5992991924;
23;2;27.1687374115;12.5;6;29.6789975166;2;21.5;12.5;3;28.8296794891;
24;3;27.3555488586;12.5;5;30.1151270866;2;21.5;12.5;2;29.0659828186;
25;3;27.5518074036;12.5;5;30.5695996284;3;21.5;12.5;1;29.3072590828;
26;3;27.7563209534;12.5;6;31.0391392708;3;21.5;12.5;2;29.5524601936;
27;3;27.9676132202;12.5;6;31.5199065208;3;21.5;12.5;2;29.8004574776;
28;3;28.1839580536;12.5;6;32.007601738;3;21.5;12.5;2;30.0500593185;
29;4;28.403421402;12.5;5;32.4976010323;3;21.5;12.5;2;30.3000340462;
30;4;26.403421402;13.5;5;32.9851250648;3;21.5;12.5;2;30.5491337776;
31;4;25.403421402;14.5;5;33.465420723;3;21.5;12.5;2;30.7961182594;
32;4;25.25;15.5;4;33.9339466095;3;21.5;12.5;2;31.0397801399;
33;4;25.25;16.0735778809;4;35.3865451813;3;21.5;12.5;2;31.278968811;
34;4;26.25;16.6546173096;4;35.8495895863;3;21.5;12.5;3;31.5126113892;
35;4;27.25;16.8398361206;5;36.2906801701;4;21.5;12.5;2;32.7397313118;
36;4;27.25;17.0162715912;5;36.7075202465;4;22.5;12.8999996185;3;33.0494645834;
37;4;28.7412948608;19.9242362976;5;37.0985348225;4;23.5;12.5;3;33.3581886292;
38;4;29.7555828094;21.9242362976;5;38.4628447294;4;23.5;12.9748477936;3;33.6656726599;
39;4;31.7701263428;24.9242362976;5;38.8402153254;4;23.5;13.0166950226;3;33.9718050957;
40;4;33.7849197388;27.9242362976;5;39.1921572685;4;23.9212684631;12.5;3;34.2765846252;
41;4;35.286491394;30.5;6;39.5194678307;5;23.9574794769;12.5;1;47.3301075697;
42;4;35.7837600708;31.5;6;39.8233081102;5;24.9962501526;16.5;2;48.2700506449;
43;4;35.9204864502;32.5;7;40.1051057577;6;26.0376663208;20.5;2;49.1556816101;
44;4;36.0472984314;32.5;7;40.3664640188;6;27.0817985535;24.5;2;49.9846260548;
45;4;36.1649093628;32.5;7;40.6090810299;6;28.1286945343;28.5;3;50.7566959858;
46;4;36.2740859985;32.5;8;40.7862691879;6;28.5;32.5;3;51.473533392;
47;4;36.3538208008;32.5;8;40.8724015951;6;29.5;33.4745178223;3;52.1381692886;
48;4;36.392578125;32.5;8;40.9600450993;6;30.5;33.5482254028;3;52.754575491;
49;4;36.43201828;32.5;10;41.049151063;6;31.5;33.625579834;3;53.3272516727;
50;6;36.4721183777;32.5;8;41.1396659613;6;32.5;33.7064628601;10;53.7938120365;
51;6;36.5128479004;32.5;8;41.2315312624;7;33.9231948853;32.5;3;69.195360899;
52;6;36.5541877747;32.5;9;41.324683547;7;32.0374984741;35.5;4;71.1711919308;
53;7;36.5961074829;32.5;8;41.4190546274;8;35.0374984741;36.9684753418;3;72.0929090977;
54;7;36.6385726929;32.5;8;42.955968976;8;39.0374984741;37.5;3;72.9389982224;
55;7;37.3301887512;33.0;8;44.2363802195;8;39.0374984741;40.5;5;73.710993886;
56;7;37.9063720703;33.3899993896;8;46.2963151932;8;39.0374984741;42.5;5;74.4128268957;
57;7;39.3833427429;34.6872596741;9;47.2538479567;8;38.0374984741;45.5;6;75.0499694347;
58;7;38.6549491882;36.9097442627;9;47.9221645594;9;38.0374984741;48.1127319336;5;75.6286662817;
59;7;37.8091659546;39.0;9;48.3882176876;9;37.6256065369;46.5;5;76.1553225517;
60;7;36.8836936951;41.0;10;48.8355892897;9;36.7023277283;47.5;5;77.5423576832;
61;7;35.9596595764;43.0;9;49.1564562321;9;36.7374992371;49.5;5;77.9735742807;
62;8;33.8982009888;45.7288513184;10;49.4409018755;9;37.2374992371;53.2118988037;6;80.5543307066;
63;8;34.9258308411;44.7838249207;10;49.7343510389;9;38.1357383728;56.2248077393;6;82.7623236179;
64;8;35.95362854;44.8420829773;10;50.0366333723;9;38.4883499146;58.8487548828;6;85.6485410929;
65;8;36.9815559387;44.9036865234;11;50.347520709;9;39.800151825;61.9785957336;6;87.306344986;
66;8;36.9225273132;47.8420829773;13;50.6667234898;9;41.0778198242;64.105758667;9;88.4495693445;
67;8;37.9225273132;50.8420829773;12;50.9938869476;10;41.2627220154;66.2296600342;8;89.1133745909;
68;8;38.9225273132;53.8420829773;12;51.3285887241;10;42.3583374023;65.3497467041;10;89.7724480629;
69;9;39.3499984741;56.8420829773;11;51.6703360081;10;41.46251297;67.4655914307;13;90.335299015;
70;9;39.3499984741;59.8420829773;12;52.0185649395;10;41.5755500793;68.5768051147;14;90.9071855545;
71;9;39.3499984741;62.8420829773;12;52.3726394176;10;42.6976661682;66.6831130981;14;91.4878045321;
72;9;39.3499984741;65.842086792;12;52.7318525314;10;41.8289375305;67.7843170166;15;92.0767365694;
73;9;37.3499984741;69.380645752;13;53.0954291821;11;41.9693260193;72.7843170166;14;93.6733812094;
74;9;36.3499984741;72.4291610718;13;53.4625294209;11;44.1186103821;75.7843170166;15;94.3369014263;
75;9;35.3499984741;75.3357543945;14;53.8322546482;11;46.2763938904;79.7843170166;16;95.0091320276;
76;9;34.3499984741;77.4785842896;14;54.2036538124;11;47.4420814514;83.7843170166;18;95.6886838675;
77;9;33.3499984741;78.8600387573;16;54.5757331848;11;48.6148872375;87.7843170166;18;96.3738157749;
78;9;32.5999984741;80.0286102295;16;54.9474656582;11;49.7938041687;90.0877914429;19;97.0624343157;
79;9;32.5999984741;81.1972808838;17;55.317804575;11;50.9776573181;90.8460235596;20;97.7521250248;
80;9;32.5999984741;82.3655700684;17;55.685693264;11;49.1651039124;92.9728622437;20;98.436029315;
81;10;32.5999984741;83.5329589844;17;56.0500812531;11;50.3546638489;90.0538482666;22;99.0200138092;
82;10;32.5999984741;84.6989593506;17;56.4099371433;11;47.5447654724;93.1368560791;22;99.6056315899;
83;10;32.5999984741;85.863067627;18;56.7642629147;12;46.7338180542;96.2218322754;19;110.189275861;
84;10;32.5999984741;89.3489990234;19;57.1121065617;12;48.9202308655;94.3087615967;19;111.267472029;
85;10;32.5999984741;90.5699768066;19;57.4525744915;12;49.102481842;95.3975753784;19;112.309486389;
86;10;32.5999984741;91.7864151001;20;57.7848446369;12;50.27917099;98.5455474854;20;113.309337378;
87;11;32.5999984741;92.9977874756;18;58.1081728935;12;50.4490623474;99.4116287231;19;114.262471318;
88;11;32.5999984741;94.2035522461;19;58.4219038486;12;49.6111106873;100.802650452;19;115.165776491;
89;11;32.5999984741;95.4032745361;18;58.7254734039;12;51.7644767761;99.9345855713;21;116.017516613;
90;11;32.5999984741;96.596572876;22;59.0184140205;14;51.9085578918;102.068603516;19;116.81719768;
91;11;33.5999984741;94.7831115723;21;59.3003554344;14;54.0429573059;101.204521179;19;117.565397263;
92;11;32.5999984741;95.962638855;23;59.5710244179;14;55.1674919128;100.342147827;18;118.263567686;
93;11;32.5999984741;97.1349487305;24;59.8302402496;14;55.2821846008;102.981323242;19;118.913833857;
94;11;33.5999984741;95.2999191284;23;60.0720257759;14;57.3871803284;103.121818542;20;119.51880002;
95;11;32.5999984741;96.4542312622;22;60.2324953079;14;58.4828071594;103.263412476;19;120.398826599;
96;11;32.5999984741;97.5627441406;23;61.5589294434;14;57.9694633484;106.630004883;18;122.169833422;
97;11;33.5999984741;96.3982543945;23;62.902317524;14;63.8203010559;109.015441895;18;122.958223581;
98;11;32.5999984741;98.2450180054;24;64.2482972145;14;62.2775306702;113.419059753;19;129.644953251;
99;11;33.5999984741;97.861907959;22;65.5821018219;14;58.6893310547;121.120681763;18;136.621513247;
100;11;33.5999984741;97.4735488892;23;67.8892798424;14;58.8984375;126.882026672;18;143.009466052;
101;11;33.5999984741;101.072341919;22;69.2164030075;14;62.3138198853;132.701568604;16;147.893038034;
102;11;35.5999984741;101.651268005;22;70.4946537018;14;62.7587661743;135.575668335;17;153.265611768;
103;11;35.5999984741;102.204208374;22;71.7144321203;14;64.3528137207;140.498458862;16;157.185959816;
104;11;34.5999984741;105.726257324;25;72.8685188293;14;67.5930480957;143.461624146;16;160.649420261;
105;10;35.5999984741;106.21383667;26;73.9521452188;15;68.9975357056;150.454681396;16;163.971394777;
106;10;36.5999984741;104.316055298;27;74.9628823996;15;70.2294082642;153.465286255;20;166.939960003;
107;10;35.5999984741;105.41545105;26;75.9003882408;15;67.5164413452;161.479858398;19;169.816974521;
