Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
19;2;25.9351139069;12.5;5;26.5906432867;2;21.9059104919;12.5;5;26.4023760557;
20;2;25.9657897949;12.5;5;26.6607804298;2;21.9207134247;12.5;6;26.4528282881;
21;2;25.9973506927;12.5;7;26.7328453064;2;21.9358482361;12.5;7;26.5043625832;
22;2;26.0297813416;12.5;7;26.8067884445;2;21.9513092041;12.5;6;26.5569496155;
23;2;26.0630550385;12.5;7;26.8825509548;2;21.9670848846;12.5;6;26.6105561256;
24;2;26.0971488953;12.5;8;26.9600640535;2;21.9831676483;12.5;6;26.6651450396;
25;2;26.1320285797;12.5;8;27.0392494202;2;21.9995441437;12.5;7;26.72067523;
26;2;26.1676616669;12.5;8;27.120018959;2;22.0162029266;12.5;7;26.7771017551;
27;2;26.2040081024;12.5;8;27.2022752762;2;22.0331306458;12.5;7;26.8343759775;
28;2;26.2410240173;12.5;8;27.2859115601;2;21.5;13.2337503433;7;26.8924454451;
29;2;26.2786598206;12.5;8;27.3708124161;2;22.0677337646;12.5;7;26.9512542486;
30;2;26.316865921;12.5;8;27.4568536282;2;20.0853767395;13.5;7;27.0107431412;
31;2;26.3555831909;12.5;8;27.5439035892;2;19.1032218933;14.5;7;27.0708494186;
32;2;26.3947563171;12.5;8;27.6318233013;2;18.1212539673;15.5;7;27.1315076351;
33;2;26.4343204498;12.5;8;27.7204678059;2;17.1394519806;16.5;7;27.1926498413;
34;2;26.4742107391;12.5;8;27.8096864223;2;16.1577949524;17.5;7;27.2542052269;
35;2;26.5143585205;12.5;9;27.8993241787;2;15.1762619019;18.5;7;27.3161010742;
36;2;26.5546951294;12.5;9;27.989222765;2;14.6948299408;19.5;7;27.3782629967;
37;2;26.5951499939;14.5;9;28.079221487;2;14.7134790421;20.5;7;27.4406147003;
38;2;26.6356506348;16.5;10;28.1691586971;2;14.7321844101;21.5;8;27.5030794144;
39;2;26.6761207581;18.5;11;28.258872509;2;15.7509241104;19.5;9;27.5655794144;
