Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
26;1;20.5036964417;14.172826767;10;28.3372955322;2;27.6996307373;10.625;6;22.8709751368;
27;1;20.5011882782;14.1686477661;10;28.3297729492;2;27.7225856781;10.625;6;22.9095385075;
28;1;20.4989318848;14.1648864746;10;28.3230037689;2;27.7457237244;10.625;6;22.9483793974;
29;1;20.4969024658;14.1615018845;10;28.3169116974;2;27.76902771;10.625;6;22.9874696732;
30;1;20.4950733185;14.1584558487;10;28.3114280701;3;27.7924823761;10.625;5;23.0267804861;
31;1;20.4934272766;14.155714035;10;28.3064937592;3;27.8160686493;10.625;5;23.0662822723;
32;1;20.4919471741;14.1532468796;10;28.3020515442;3;27.8397693634;10.625;5;23.1059447527;
33;1;20.4906158447;14.1510257721;10;28.2980537415;3;27.8635673523;10.625;6;23.1457372904;
34;1;20.4894161224;14.1490268707;11;28.2944564819;3;27.8874416351;10.625;7;23.1856285334;
35;1;20.4883365631;14.147228241;11;28.291217804;4;27.9113769531;12.625;6;23.2255871296;
36;1;20.4873657227;14.145608902;11;28.2883033752;4;27.9353523254;14.625;6;23.265581131;
37;1;18.4873657227;15.145608902;11;28.2856807709;4;27.9593486786;16.625;7;23.3055787086;
38;1;17.4873657227;16.145608902;11;28.2833213806;4;27.9833469391;18.625;7;23.3455479145;
39;1;16.4873657227;17.145608902;11;28.2811965942;4;28.0073280334;20.625;7;23.385456562;
40;1;15.4873657227;18.145608902;11;28.2792854309;4;28.0312728882;20.625;8;23.42527318;
41;1;14.4873657227;19.145608902;11;28.2775650024;4;28.0551643372;20.625;7;23.4649660587;
42;1;13.4873657227;20.145608902;11;28.2760162354;4;28.0789794922;20.625;8;23.5045039654;
43;1;14.4873657227;19.1380081177;12;28.2746219635;5;28.1027030945;20.625;7;52.293856144;
44;1;15.4873657227;19.1373100281;14;28.2733669281;5;29.1263141632;21.625;7;54.3454933167;
45;1;16.4873657227;19.1366844177;14;28.2722377777;6;30.1497955322;22.625;6;55.9186632633;
46;1;17.4873657227;19.1361198425;15;28.2712211609;6;30.1731300354;23.625;7;57.0725605488;
