Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
83;6;28.4000015259;38.4000015259;12;42.1834070683;10;26.0;106.998138428;28;99.2008054256;
84;6;27.4000015259;39.4000015259;11;42.6304261684;10;29.0;102.998138428;28;99.4042015076;
85;6;26.4000015259;40.4000015259;11;43.0792825222;11;27.0;104.998138428;27;107.585648298;
86;6;25.4000015259;41.4000015259;11;43.5284163952;11;27.0;110.979354858;28;107.992158651;
87;6;24.4000015259;42.4000015259;12;44.9762661457;11;31.0;107.055953979;28;108.387747526;
88;6;24.4000015259;44.4000015259;12;45.451281786;11;30.0;113.824615479;28;108.771465302;
89;6;24.4000015259;46.4000015259;13;45.922529459;11;31.0;117.932952881;29;109.142539978;
90;7;23.4000015259;48.4000015259;14;46.3885171413;13;32.0;121.241622925;30;109.500372887;
91;7;22.4000015259;50.0;14;46.8478047848;14;33.0;125.235221863;29;109.844522476;
92;7;21.4000015259;52.4000015259;15;47.2990187407;14;35.0;126.34349823;31;110.1746912;
93;7;20.4000015259;53.4000015259;16;47.7408634424;16;35.2999992371;127.451019287;28;110.490711212;
94;7;21.4000015259;51.4000015259;16;48.1721377373;16;35.2999992371;128.557434082;28;110.792528152;
95;7;20.0;52.4000015259;17;48.5917446613;16;35.2999992371;129.662399292;29;111.080184937;
96;7;20.0;53.4000015259;17;49.998704195;17;35.2999992371;130.765563965;28;111.35380888;
97;7;22.0;52.4000015259;17;50.4221637249;17;35.2999992371;131.866653442;29;111.570061684;
98;7;22.0;54.4000015259;17;50.8319972754;17;35.2999992371;132.965377808;31;112.720216751;
99;7;22.0;56.4000015259;17;51.2276217937;17;36.2999992371;135.061477661;33;112.92592907;
100;7;22.0;58.5499992371;15;51.5837979317;17;44.1706504822;139.757614136;33;112.827516556;
101;7;22.0;60.0;15;51.8618143797;17;47.2831687927;140.622741699;36;112.755582213;
102;7;22.0;62.5499992371;15;52.1318845749;17;47.6969947815;137.674133301;39;112.707282066;
103;7;22.0;62.5499992371;15;52.3935352564;19;46.5562362671;141.724716187;38;112.680091977;
104;7;22.0;64.5500030518;16;52.6464210749;20;49.5652618408;140.774200439;39;112.671758533;
105;7;23.0;63.5499992371;12;52.8903177977;20;49.6591567993;139.822418213;39;112.68027544;
106;7;22.0;65.5500030518;12;53.1251151562;20;47.6560668945;144.869186401;38;112.703858495;
107;7;22.0;64.5500030518;12;53.3508062363;20;49.6668395996;143.914352417;40;112.74091363;
108;7;23.0;61.5499992371;12;53.5674753189;20;49.6665802002;142.957824707;41;112.790022731;
109;7;22.0;62.5499992371;11;53.7752848864;20;47.6684951782;147.999542236;39;113.703405738;
110;7;22.0;63.5499992371;12;53.974462986;20;47.7603759766;148.390853882;40;114.637932062;
111;7;23.0;61.5499992371;12;54.165292263;20;48.8562469482;146.776977539;36;115.588885784;
112;8;22.0;62.5499992371;10;54.3480947018;20;46.948348999;151.155471802;35;116.551733732;
113;8;22.0;63.5499992371;9;54.5183448792;20;48.0437316895;152.524078369;35;117.522173643;
114;8;23.0;61.5499992371;10;54.5965622663;20;49.1413650513;150.880752563;36;119.496140242;
115;8;22.0;62.5499992371;12;54.7051196098;20;48.2355308533;156.223770142;35;122.529821634;
116;8;22.0;63.5664978027;12;56.2950565815;20;53.3313026428;160.55166626;35;124.682599545;
117;8;23.0;61.5833244324;12;57.8708418608;20;58.5402145386;159.863327026;35;126.620632052;
118;8;22.0;62.6004714966;13;59.4182338715;20;59.8515205383;167.105148315;35;128.642802477;
119;8;22.0;63.6179351807;14;60.9248579741;20;63.0651435852;175.331420898;35;129.702452898;
120;8;23.0;61.6357078552;14;62.3806706667;20;67.2913360596;177.542297363;37;132.780931473;
121;8;22.0;62.6537895203;15;63.7782051563;20;68.4938583374;186.515106201;38;133.90289712;
122;8;22.0;63.6721687317;16;65.1125867367;20;74.8825454712;191.789413452;40;135.035712242;
123;8;23.0;61.6908416748;16;66.3813581467;20;77.9177474976;196.058288574;41;136.175356388;
124;8;22.0;62.7097969055;15;67.5841526985;20;79.3312454224;203.320831299;38;137.317877173;
125;8;22.0;63.7290306091;9;68.7222830057;20;80.692565918;207.385986328;37;138.378408194;
126;8;23.6124305725;62.0;10;69.7982976437;20;81.5678253174;210.098480225;38;139.365845084;
127;8;24.0;62.7682800293;10;69.688457489;20;80.6001052856;214.378738403;40;140.326556683;
128;8;25.0;62.7805976868;11;69.6064368486;20;81.3558273315;218.091522217;41;141.29123199;
129;8;26.0;62.7929382324;12;69.5485010147;20;80.9897460938;219.553100586;42;142.25601995;
130;8;27.0;62.8052940369;12;69.4540901184;20;87.2465209961;221.541793823;46;143.217531323;
131;8;28.0;62.8176612854;13;69.2936521769;20;93.3709640503;225.531188965;47;144.172864556;
132;8;29.0;62.8300361633;13;69.169645071;20;98.4602966309;225.521240234;49;145.119608402;
133;8;30.0;62.8424110413;14;69.0775716305;20;101.616065979;231.511947632;51;146.055817008;
134;8;31.0;62.8547782898;14;69.0133781433;20;106.760429382;235.50328064;53;146.909975171;
135;8;32.0;62.0;15;68.9734209776;20;111.844673157;236.502197266;53;147.745911956;
136;8;33.0;62.0;11;68.9544305801;20;113.981666565;243.502197266;47;148.573268175;
137;8;34.0;62.0;10;68.9534771442;20;119.044326782;245.921417236;44;149.391190886;
138;8;35.0;62.0;11;68.9679392576;20;122.163024902;247.172897339;40;150.199008346;
139;7;33.1083755493;58.0;8;56.4286613464;23;122.280395508;250.71484375;33;163.625988007;
140;7;33.0575332642;59.0;3;56.5238847733;23;125.837417603;252.215011597;39;164.349102974;
141;7;33.0117797852;60.0;3;56.6225953102;23;127.933258057;254.679412842;40;165.067024469;
142;6;30.9706039429;52.0;4;50.9191737175;24;130.043624878;256.304504395;42;171.418117046;
143;6;30.9335441589;52.3706054688;4;50.952406764;24;134.387405396;256.710235596;45;172.085591912;
144;6;30.900188446;53.3335418701;5;50.9895735979;27;132.35005188;276.88079834;42;172.754057288;
145;6;30.8701686859;54.3001861572;6;51.0299195051;27;132.009216309;283.863220215;42;174.421460509;
