Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
151;9;49.0205535889;120.5;35;122.519509077;13;38.6716995239;114.956932068;34;104.708564043;
152;9;51.0205535889;118.5;36;122.853175879;13;36.8770713806;116.007644653;34;105.393650532;
153;9;51.0119056702;120.5;36;123.205619335;13;36.0;115.056976318;37;106.112791538;
154;8;38.3205604553;89.5;36;93.5754776001;14;38.0;116.70489502;36;136.862786055;
155;8;40.3205604553;88.5;37;93.9609398842;14;41.0;119.321861267;36;138.639185429;
156;8;41.3205604553;88.5;39;94.359752655;14;45.0;122.366882324;36;140.536318898;
157;8;41.115852356;91.5;39;94.7692508698;14;49.0;126.410430908;37;141.606309533;
158;8;42.3615493774;91.5;39;95.1864109039;14;52.0;130.45249939;38;142.71283412;
159;8;40.3615493774;92.5;38;95.6079273224;14;54.0;134.493087769;38;143.850535631;
160;7;36.5607910156;97.5;38;97.0303106308;15;56.0;138.532196045;36;145.013928652;
161;7;40.5607910156;95.5;39;97.5699983835;15;58.0;141.569854736;38;146.189109564;
