Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
32;3;17.2091789246;20.5;6;27.1926498413;3;21.1394519806;15.5;4;27.1926498413;
33;3;16.2366924286;21.5;6;27.2542052269;3;20.1577949524;16.5;4;27.2542052269;
34;3;15.2643928528;22.5;6;27.3161010742;3;19.1762619019;17.5;4;27.3161010742;
35;3;15.0422458649;23.5;6;27.3782629967;3;18.1948299408;18.5;4;27.3782629967;
36;3;15.0702180862;24.5;6;27.4406147003;3;17.7134780884;19.5;4;27.4406147003;
37;3;15.0982761383;25.5;7;27.5030794144;3;17.7321853638;20.5;5;27.5030794144;
38;3;15.1263856888;26.5;7;27.5655794144;3;17.7509231567;21.5;5;27.5655794144;
39;3;15.154510498;27.5;9;27.628036499;3;17.7696743011;22.5;5;27.628036499;
40;3;15.1826162338;28.5;8;27.690372467;3;17.7884101868;23.5;5;27.690372467;
41;3;15.2106676102;29.5;9;27.7525100708;3;18.0;22.5;5;27.7525100708;
42;4;16.2386302948;27.5;10;27.8143725395;3;19.8257522583;22.5;6;27.8143725395;
43;4;15.2664680481;28.5;11;27.8758842945;3;20.0;22.5;6;28.8758842945;
44;4;16.2941474915;27.5;12;27.936971426;3;22.8627662659;23.5;7;28.9769713879;
45;5;16.0;27.5;10;37.9975619316;3;24.0;24.5;7;29.078745842;
46;5;19.0;28.5;10;38.4575858116;3;25.0;26.5;8;29.1811397076;
47;5;21.37591362;29.5;11;38.8913769722;3;26.3370666504;28.028793335;8;29.2840846777;
48;5;22.402639389;30.5;11;40.2976093292;3;26.5;29.0584888458;9;29.3875120878;
49;5;24.4290523529;31.5;12;40.7656401396;4;27.8635520935;30.0878353119;10;30.4913532734;
50;5;26.455121994;32.5;12;41.2125608921;4;28.877325058;31.1168022156;10;30.6255395412;
51;5;28.0150279999;33.5;12;41.6392520666;4;28.8090000153;32.7977714539;10;30.7605934143;
52;5;29.0874176025;34.5;11;42.0470118523;5;29.2240867615;33.1734848022;10;30.8964396715;
53;5;30.162935257;35.5;12;42.4374475479;5;28.8275299072;34.9023361206;11;31.0330015421;
54;5;31.2417144775;36.5;12;42.3123706579;5;29.8370552063;33.2264137268;11;31.1702016592;
55;5;31.5738792419;37.5;13;42.2276841402;5;30.0043106079;33.0779190063;11;31.3079615831;
56;6;31.659538269;38.5;11;42.1785244942;6;28.9670848846;34.0943527222;10;41.4462013245;
57;6;31.7487792969;39.5;11;42.1609785557;7;31.3498058319;33.5;9;56.984839797;
58;7;31.8416690826;40.4811973572;11;42.6718354225;7;33.4754524231;35.5;8;59.2481958866;
59;7;31.9382419586;40.6885719299;11;43.1639187336;7;36.5171394348;38.5;9;60.4342989922;
60;7;32.0384979248;40.8770751953;11;43.638071537;7;38.5588951111;41.5;9;61.5122408867;
61;7;32.1424026489;41.0473632812;12;44.0953772068;7;39.8393287659;44.5;9;62.4844828844;
62;8;32.2498626709;41.2003135681;11;45.5370562077;7;40.40858078;46.5;10;63.3564962149;
63;8;33.360748291;42.3369979858;11;46.0343691111;7;40.5372886658;48.5;10;63.6470292807;
64;8;34.4748878479;43.458568573;12;47.9554146528;7;40.5483512878;49.5;10;65.9607997537;
65;8;35.2367630005;45.1912536621;12;49.5243346691;8;40.4248542786;52.1089477539;9;67.9219278693;
66;8;35.8857841492;46.7171859741;12;52.0564210415;8;39.5631484985;53.7529640198;9;69.5745111108;
67;8;36.8599357605;48.6843032837;13;54.22610116;8;39.1590423584;57.8801307678;10;70.9664794803;
68;9;37.6805763245;49.4500465393;12;56.0827155113;8;41.5990791321;55.3042793274;10;71.9959205985;
69;9;38.3687896729;50.0408096313;9;57.6871289015;8;40.7676773071;57.4111480713;11;72.7473933101;
70;9;38.95079422;50.4890441895;7;60.0570918322;9;37.5405082703;62.3264541626;10;73.2306610346;
71;9;40.4466629028;51.7999992371;7;60.9612078667;9;36.5901260376;65.1317901611;10;74.5825948715;
72;9;41.7453842163;52.7999992371;8;61.8834264278;9;36.5999984741;68.2912979126;11;74.962288022;
73;9;40.4691009521;54.7999992371;8;62.819570899;9;36.5999984741;72.4322357178;13;74.8451641798;
74;9;41.7062911987;54.7999992371;9;64.7653520107;10;35.5999984741;76.5727005005;13;75.2133945227;
75;9;41.1250076294;57.7999992371;11;65.7764885426;10;34.5999984741;79.0897216797;13;75.5837522745;
76;10;43.5515403748;58.7999992371;10;66.7917872667;10;33.5999984741;84.1676177979;16;75.9558724165;
77;10;42.3954811096;59.7999992371;11;67.8073883057;10;33.2000007629;88.5127944946;18;76.3293911815;
78;10;40.6511039734;61.7999992371;12;68.8197414875;11;33.2000007629;90.6618423462;17;76.7039489746;
79;11;38.5125999451;65.1575317383;11;84.8256639242;11;33.2000007629;92.8097991943;16;76.5791891217;
80;12;40.5125999451;67.4651489258;10;87.322376132;11;33.2000007629;94.7064819336;19;76.7703180313;
81;12;42.5125999451;69.8000030518;10;89.7100081444;11;31.2000007629;86.7594909668;19;77.1163345575;
82;12;44.5125999451;73.542175293;12;91.9522143602;11;32.2000007629;88.6582336426;19;77.460929513;
83;13;46.3788604736;75.8000030518;11;94.025809288;11;32.9479064941;89.9236068726;19;77.8037469387;
84;13;47.4684028625;78.8000030518;11;95.9213343859;11;32.2000007629;90.9709243774;23;78.1444380283;
85;13;48.1628341675;81.6698303223;11;97.6412893534;11;32.5349235535;93.9113693237;23;78.4607846737;
86;13;49.1842689514;83.7155761719;12;99.1969482899;11;32.2000007629;94.9617156982;24;79.7373056412;
87;14;49.3883132935;84.8000030518;11;100.604806423;11;34.0;99.0135040283;24;80.0537054539;
88;14;49.5593261719;86.8000030518;12;101.883453369;11;35.0;102.458221436;25;80.3707609177;
89;14;49.7017936707;88.8000030518;14;103.051282883;11;35.0;105.565696716;25;80.6880688667;
90;14;49.8201751709;90.6990661621;15;104.869960308;11;35.0;108.672958374;27;81.0052279234;
91;14;50.8500022888;92.8688964844;16;106.24780488;11;35.0;111.119064331;28;81.3218382597;
92;14;52.8500022888;95.6912384033;16;107.014314651;11;35.0;113.255004883;29;81.6375043392;
93;14;53.8500022888;98.6570358276;16;108.90773809;12;36.0;112.389877319;29;81.9518342018;
94;14;54.8500022888;102.64805603;18;109.956762671;12;38.0;114.68572998;29;82.2644429207;
95;14;55.8500022888;106.659545898;19;111.152855754;12;39.6385192871;114.809646606;31;82.5749510527;
96;14;53.8500022888;112.687545776;21;112.50896728;14;40.6637229919;115.338783264;31;82.8829885721;
97;14;50.8500022888;123.659545898;21;114.538481355;15;41.6879196167;116.462631226;30;83.1881940365;
98;14;48.8500022888;131.01675415;22;116.704577208;15;42.711101532;116.639160156;30;83.490218401;
99;14;46.8500022888;136.256744385;24;119.019230962;15;43.7332839966;116.798820496;33;83.7887244225;
100;14;47.4000015259;137.939712524;25;121.488322973;15;44.7544708252;116.958343506;33;84.0833884478;
101;14;46.4000015259;142.681365967;26;125.895006299;15;45.1746826172;117.117454529;33;84.3739027977;
102;14;47.4000015259;145.080947876;26;130.466014981;15;45.1939239502;117.275909424;34;84.6192209721;
103;14;47.4000015259;147.605285645;26;135.149698377;15;45.2000007629;117.433456421;34;85.8426345587;
104;14;47.4000015259;150.176864624;27;139.744268417;15;46.2000007629;118.58984375;35;87.4824054241;
105;14;48.4000015259;153.634521484;29;145.330628991;15;47.4519996643;120.079681396;34;90.0400207043;
106;14;53.4000015259;149.535171509;26;149.893165112;15;47.7054634094;121.614372253;35;92.4821383953;
107;15;54.4000015259;149.821533203;22;169.300337195;16;47.9582595825;123.168045044;34;94.8150397539;
108;15;58.4000015259;149.113372803;24;174.537846565;16;48.2082595825;124.738357544;34;98.0474905968;
109;15;63.3647575378;147.113372803;24;179.411282301;16;49.4533920288;126.322601318;34;101.278524876;
110;16;62.6449203491;148.292572021;28;183.877832532;16;51.6917495728;128.917816162;37;104.379942536;
111;16;63.0812301636;150.292572021;31;187.918293118;16;53.9215774536;132.520751953;37;106.435277939;
112;16;65.4906158447;150.974853516;30;191.533780575;16;55.1413955688;135.428024292;37;108.487528801;
113;17;63.0143928528;151.974853516;26;215.990980268;16;55.6996498108;138.036178589;38;111.529862404;
114;17;59.1133308411;160.974853516;28;221.951536894;16;56.9235038757;141.641769409;40;113.706386209;
115;17;60.1992263794;166.974853516;28;227.205057502;16;58.1364021301;146.241439819;39;115.882951736;
116;18;60.1500015259;175.974853516;28;232.454269767;16;58.6352424622;149.83203125;40;118.057902932;
117;18;63.1500015259;182.622894287;33;235.755446076;16;58.8692893982;153.410583496;40;120.230530143;
118;18;63.1500015259;189.708084106;35;238.343420744;16;59.098033905;156.974441528;42;122.400911093;
119;18;64.1500015259;196.796035767;35;240.299554706;16;60.3224258423;157.299728394;42;124.569689155;
120;18;63.1500015259;205.313156128;37;241.868170023;16;59.5435256958;160.621109009;44;126.73783946;
121;19;65.1500015259;207.58392334;40;243.047262669;16;59.7624855042;163.642547607;45;128.90639925;
122;19;63.1500015259;214.84211731;40;244.704002738;16;60.9804649353;163.080871582;45;131.076190233;
123;19;67.1500015259;212.940139771;41;245.326969028;16;60.1985549927;165.517547607;47;133.166601658;
124;19;71.6993637085;214.071166992;43;245.9457407;16;60.393447876;167.951171875;48;135.108011484;
125;19;75.8060150146;214.173370361;44;246.561263204;16;60.5451889038;170.380447388;49;137.074981213;
126;19;79.9193496704;214.277389526;42;247.174450159;16;61.7071151733;169.373901367;50;139.062422991;
127;19;84.0394439697;214.383026123;42;248.697625041;16;68.7071151733;166.694610596;50;141.064033985;
128;19;91.1663131714;212.490036011;44;249.318324804;16;73.4216384888;167.85723877;50;142.970231771;
129;19;99.299911499;212.83164978;46;249.964276075;16;79.5704269409;166.85723877;52;144.867645979;
130;19;106.440116882;213.940734863;44;250.6357373;16;84.7169189453;165.85723877;52;146.705862522;
131;19;113.286712646;216.050476074;48;251.332846045;16;88.3284301758;167.85723877;53;148.516404629;
132;20;116.439430237;218.160598755;51;252.055595994;16;93.9491043091;166.85723877;53;150.308822632;
