Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
34;3;23.2643928528;17.5;6;28.3161010742;1;19.5;12.5;7;25.0;
35;3;23.2922458649;18.5;6;28.4082629681;1;19.5;12.5;7;25.0;
36;3;24.25;19.5;7;28.5012056828;1;19.5;12.5;7;25.0;
37;3;25.25;21.5;7;28.5948455334;1;19.5;12.5;8;25.0;
38;4;26.25;23.5;6;28.6890966892;1;19.5;12.5;9;25.0;
39;4;27.25;25.5;6;28.7838715315;1;19.5;12.5;10;25.0;
40;4;28.7701263428;27.5;6;28.8790813684;1;19.5;12.5;10;25.0;
41;4;29.7849197388;28.5;7;28.9746370316;1;19.5;12.5;10;25.0;
42;4;30.7999572754;29.4267578125;7;29.070448637;2;19.5;12.5;8;41.0;
43;4;30.25;30.349313736;7;29.1664261818;2;20.5;13.5;9;41.6399993896;
44;4;31.25;28.4033794403;8;29.2624800205;2;21.5;14.5;10;42.1991043091;
45;4;30.8464794159;28.5;9;29.3585211039;2;21.5;15.5;10;42.6808338165;
46;4;30.25;30.452671051;9;29.4544615746;3;22.5;17.5;9;43.0908813477;
47;4;30.25;30.6181240082;9;29.5502150059;3;21.5;19.5;10;43.436258316;
48;4;31.8949565887;27.6403102875;9;30.6456961632;3;22.5;20.5;10;43.7245540619;
49;4;32.6790542603;29.5;11;30.7808221579;4;24.5;22.5;9;44.9633750916;
50;5;33.7051239014;30.5550518036;11;30.9166959524;4;26.5;24.5;9;45.1299999952;
51;5;32.25;32.5813522339;12;31.0532408953;4;27.8390007019;25.5;10;45.2754310369;
52;5;33.25;32.6079025269;12;31.1903800964;4;28.8826293945;26.5;10;45.4377241135;
53;5;34.3062324524;33.6346817017;13;31.3280359507;4;29.6313171387;27.5;10;45.6183350086;
54;6;32.9967918396;34.3482894897;12;31.4661313295;5;29.6855010986;27.5;9;45.8187118769;
55;6;32.8159866333;35.5;12;31.604588747;5;29.7456130981;27.5;9;46.0402543545;
56;6;32.8371658325;36.2098388672;12;31.743330121;5;29.8120765686;27.5;9;46.2842636108;
57;6;34.0495529175;33.9407348633;12;32.9993761778;5;29.8852806091;27.5;9;46.5518820286;
58;6;33.34324646;35.4936141968;13;35.0390130281;5;29.9655647278;27.5;9;47.8440244198;
59;6;36.58152771;34.3899993896;13;35.9564158916;5;31.0532073975;28.5;9;48.3313030005;
60;6;35.3185348511;38.6872596741;14;36.730129838;5;32.1483917236;29.5;9;49.870857954;
61;7;36.2738761902;40.317024231;15;37.2449578047;5;33.6612548828;31.5;10;50.595993638;
62;7;37.3270225525;40.9527168274;17;37.5845248699;5;34.3615150452;33.5;10;51.3951153755;
63;7;36.5590209961;43.0348587036;17;37.929017663;5;35.4185371399;35.5;10;52.2721509933;
64;7;36.5999984741;43.7000007629;17;38.2780917883;5;35.6816444397;36.5;11;53.230410099;
65;7;37.5999984741;44.3154144287;17;38.6313865185;5;35.9691238403;37.5;13;54.2723625898;
66;7;38.7040405273;43.7421760559;19;38.9885238409;6;35.7360954285;38.5;12;55.3993964195;
67;7;38.823009491;44.7831115723;19;40.3491106033;6;35.6238174438;38.5;12;56.611549139;
68;7;39.898765564;46.8256645203;19;40.7727357149;6;36.1559715271;38.5;14;59.5775332451;
69;7;40.9733009338;48.6036224365;19;41.2019375563;6;37.873260498;38.0;14;62.3901178837;
70;7;39.0014266968;50.7277984619;20;41.6363419294;7;37.1570701599;39.3899993896;12;79.5874488354;
71;8;40.0295333862;50.8550643921;13;60.0755505562;7;38.7207183838;40.6872596741;12;82.6959314346;
72;8;42.0575866699;52.9852256775;14;61.7791405916;8;42.0603523254;40.9097442627;11;85.5225887299;
73;8;43.2573814392;54.7832336426;13;63.3321865797;8;43.9361305237;42.0;11;89.1794257164;
74;8;44.3245201111;55.9562606812;12;64.7270026207;8;45.1666030884;45.0;12;92.0235855579;
75;8;45.3899917603;56.3909339905;13;65.9673901796;8;48.6662635803;46.0;14;94.8669985533;
76;8;46.453754425;58.3135185242;11;67.065461874;8;49.3358535767;48.0;14;97.6886428595;
77;8;41.1322746277;60.6715393066;9;68.0381416082;8;47.835735321;50.0;14;100.468106985;
78;8;40.5999984741;61.8140220642;10;68.9041496515;8;49.3859062195;51.0;14;104.187217951;
79;8;41.0024871826;64.8731307983;11;69.6818106174;8;50.7050628662;51.0;15;106.869577289;
80;8;40.5999984741;65.0646972656;11;70.1663599014;8;51.985912323;52.0;16;109.439358234;
81;8;42.5999984741;62.748298645;11;70.5847506523;8;52.6474609375;53.0;16;111.971003413;
82;8;41.0806808472;64.8832244873;13;70.9854691029;8;52.5277900696;54.0;16;114.462131023;
83;8;41.1059951782;67.0187988281;13;71.3873226643;8;52.8176040649;55.0;16;116.914070487;
84;8;42.1308937073;67.9020080566;15;71.789557457;8;53.9441375732;56.0;18;119.33000493;
85;8;43.1553573608;69.0948410034;17;72.191411972;8;54.3473739624;55.0;17;121.712951899;
86;9;43.8793678284;68.4993896484;19;72.5921230316;9;54.0043945312;56.0;16;123.994854689;
87;9;43.9029045105;69.611907959;24;72.9909307957;9;55.848487854;58.0;17;126.171135187;
88;9;43.9259529114;71.722038269;26;73.3870854378;9;57.8513412476;57.0;17;128.294455767;
89;9;42.2999992371;75.8296051025;27;73.7798504829;9;57.3738708496;59.0;16;130.222250938;
90;9;43.2999992371;77.0482711792;27;74.1685094833;9;58.8152923584;59.0;17;132.137907028;
91;9;42.2999992371;78.1126556396;28;74.5523707867;9;57.1431808472;59.0;16;134.017818451;
92;9;43.2999992371;78.1797103882;30;75.930772543;9;58.4610786438;58.0;15;136.839845181;
93;9;44.0334663391;78.3561706543;30;76.4530860186;9;54.7624473572;63.0;15;138.734855056;
94;9;43.0533676147;81.5279388428;31;76.9894940853;10;54.0419273376;68.0;15;140.558555603;
95;10;42.4689483643;84.69480896;30;78.9431120157;10;50.9696884155;74.0;16;142.265169501;
