Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
72;9;41.4000015259;58.4072799683;14;46.12322402;7;35.3879051208;57.2538375854;17;66.8566901684;
73;9;41.4000015259;61.4072799683;14;46.8312557936;7;33.4000015259;62.0573883057;16;67.6903121471;
74;9;41.4000015259;65.4072799683;15;47.5677058697;8;33.4000015259;65.8471221924;14;68.4599760771;
75;9;41.4000015259;69.4072799683;10;49.3321511745;9;33.4000015259;67.87159729;15;69.1681309938;
76;9;42.4000015259;70.1175842285;11;50.1538792849;9;33.4000015259;67.9509506226;17;69.8189584017;
77;10;43.4000015259;72.2431335449;10;52.0024454594;9;33.4000015259;71.787071228;18;70.4177340269;
78;10;44.4000015259;75.3702697754;10;52.9064502716;10;33.4000015259;73.9045562744;17;70.9702683687;
79;10;45.4000015259;78.0531692505;9;53.8346984386;10;32.7056999207;73.5441589355;17;71.4824619293;
80;10;45.4000015259;80.3366088867;9;54.6625726223;10;32.3754348755;76.1821746826;19;71.8480197191;
81;10;45.4000015259;82.6309204102;9;55.511525631;10;32.4000015259;77.324005127;19;73.1352633238;
82;10;45.4000015259;84.9354782104;10;56.3787322044;11;34.4000015259;82.3501281738;18;74.4856917858;
83;10;45.4000015259;87.2494125366;10;57.2609336376;11;36.4000015259;86.4354858398;19;74.8818510771;
84;10;45.4000015259;89.5716094971;12;58.1544668674;11;36.4000015259;90.5216598511;20;75.2845474482;
85;10;45.4000015259;91.9007644653;11;59.0349298716;11;36.4000015259;94.608581543;18;75.6933699846;
86;10;46.4000015259;93.8838043213;11;59.9091869593;11;37.4000015259;95.696144104;20;76.0843161345;
87;10;47.2057876587;95.2190475464;12;60.7825466394;12;36.4000015259;99.0211791992;19;76.4647291899;
88;10;47.2052078247;100.132453918;13;61.6504091024;12;36.4000015259;99.7584228516;20;76.8510427475;
89;10;45.4000015259;101.623413086;16;62.6291333437;12;37.4000015259;99.8318481445;20;77.2427089214;
90;11;45.4000015259;103.112533569;17;63.5918815136;12;36.4000015259;102.417388916;22;77.6391516924;
91;11;45.4000015259;104.596992493;18;64.5342361927;12;36.4000015259;106.136077881;23;78.0397706032;
92;11;46.4000015259;103.074020386;18;65.4521746635;12;37.4000015259;105.292236328;24;78.4439450502;
93;11;45.4000015259;104.54108429;20;66.3421628475;13;36.4000015259;107.448562622;25;78.8510369062;
94;11;45.4000015259;105.995857239;23;67.2012292147;13;36.4000015259;109.604797363;24;79.2603952885;
95;11;45.4000015259;107.43637085;23;68.0270087719;13;37.4000015259;108.760604858;24;79.6713609695;
96;11;45.4000015259;108.67313385;23;71.9018085003;13;36.4000015259;110.915740967;24;80.0832693577;
97;11;46.4000015259;111.494728088;25;74.8695845604;13;36.8691329956;114.233917236;25;80.4954541922;
98;11;47.4000015259;114.351066589;26;77.8366336823;13;37.4000015259;119.918746948;28;80.9072531462;
99;11;47.9053344727;117.220054626;28;80.7672172785;13;38.4000015259;122.201629639;29;81.318010211;
100;11;47.4000015259;120.079544067;29;83.6289334297;13;39.8893127441;123.229415894;31;81.7270777225;
101;12;47.9661254883;122.908958435;29;86.3947433233;15;40.4000015259;124.505348206;28;82.1338229179;
102;12;49.9986305237;120.551277161;29;89.0442281961;15;41.4000015259;125.733322144;29;82.5376285315;
103;12;48.4000015259;122.909606934;33;90.729716301;15;42.4000015259;126.358818054;29;82.9378957748;
104;12;49.8753089905;124.043037415;29;92.3197869062;15;43.4000015259;126.581451416;28;83.3340489864;
105;12;50.0579986572;127.207107544;31;93.8132765293;15;44.4000015259;127.800888062;29;83.7255362272;
106;12;49.6144256592;127.399040222;30;95.2132524252;15;44.7999992371;128.007873535;30;84.1118319035;
107;12;50.507358551;125.616134644;33;97.5255594254;15;45.3357009888;126.028305054;31;84.4924385548;
108;13;51.4138526917;128.855667114;32;98.7875477076;15;44.7999992371;126.279556274;31;84.8668898344;
109;13;50.3325805664;134.114944458;31;101.976215363;15;45.3486709595;124.526580811;32;86.4460425377;
110;13;49.9462432861;135.35848999;30;104.621682763;15;45.7999992371;124.451393127;30;88.0650905371;
111;13;51.0856132507;136.094741821;31;106.888663292;15;46.1204795837;124.964439392;29;89.7146911621;
112;13;49.4000015259;141.714447021;30;108.672694564;15;44.7999992371;126.977485657;28;91.3846788406;
