Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
126;14;58.2919082642;139.885772705;39;144.723594427;12;38.8527984619;107.459915161;33;112.483572721;
127;14;60.696647644;140.904907227;40;146.460503101;12;41.8625984192;106.459915161;33;112.973113894;
128;14;59.9589309692;144.040618896;38;148.078656077;12;40.5999984741;111.459915161;32;113.448200583;
129;14;58.5639305115;145.166534424;39;149.73479712;12;40.5999984741;115.459915161;29;113.908769488;
130;14;60.7988624573;144.282989502;40;151.410461068;12;43.5999984741;112.459915161;30;114.355111241;
131;14;64.3096313477;142.367950439;41;153.085070014;13;40.5999984741;116.459915161;29;114.787810683;
132;14;63.2939491272;146.564117432;41;154.704208136;13;40.5999984741;121.459915161;29;115.207676172;
133;14;62.8619995117;149.724243164;42;156.221519828;14;40.5999984741;117.459915161;30;115.615678549;
134;14;65.9552459717;146.724243164;42;157.685973167;14;39.9384803772;119.459915161;29;116.012887836;
135;14;65.9986877441;146.724243164;42;159.082513213;14;40.5999984741;122.459915161;29;116.400419474;
136;15;66.1669845581;152.724243164;41;160.40033412;13;42.5999984741;119.459915161;30;116.738919258;
137;15;67.1294937134;150.135437012;42;161.633028388;13;40.5999984741;121.794036865;31;116.994868398;
138;15;65.1953659058;154.240325928;43;162.778255105;13;40.9871520996;124.902946472;31;117.257272959;
139;15;65.4504318237;156.345428467;43;163.837051511;13;42.5999984741;122.014282227;31;118.525824189;
140;15;73.4544219971;153.345428467;43;164.812991858;13;43.5999984741;123.327453613;31;118.860170245;
141;15;81.4584197998;152.550003052;44;165.711323738;13;43.0257987976;122.408363342;33;119.202881694;
142;15;88.8751983643;152.550003052;45;167.538208961;13;44.5999984741;119.490516663;33;119.55359304;
143;15;96.7412719727;154.550003052;44;168.420119643;13;44.5999984741;121.573753357;33;119.911891222;
