Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
94;15;43.529258728;101.569976807;17;92.5122933388;16;48.2000007629;145.040939331;23;117.61424458;
95;15;44.1751098633;104.742622375;18;93.5849796534;16;50.25;142.071960449;23;118.614369988;
96;16;44.6938781738;107.912849426;18;94.6712867022;16;48.25;145.102874756;27;119.640962481;
97;16;44.2676124573;111.079849243;19;95.7686977386;16;48.25;148.133682251;28;120.851498365;
98;16;44.8589401245;114.242874146;19;96.8745983839;16;50.25;145.212188721;29;122.074110508;
99;16;44.9414024353;117.401260376;20;97.9862769842;16;48.25;147.796676636;30;123.293514013;
100;17;45.0237045288;120.554412842;20;100.100930214;16;48.25;150.040771484;29;124.495526075;
101;18;46.1057662964;124.701812744;17;101.235670447;16;50.25;146.299728394;28;126.668019414;
102;18;47.1875038147;128.843048096;18;103.367730618;16;49.25;149.573791504;28;128.861584544;
103;18;50.2688217163;131.701812744;20;104.534084439;16;52.25;151.862976074;28;131.072790384;
104;19;52.2903938293;134.501815796;19;105.692848921;16;57.25;150.167129517;29;133.301209807;
105;19;52.4655647278;135.726669312;21;106.840950847;16;60.25;153.48576355;29;135.549029231;
106;21;52.6372947693;135.759002686;19;108.975329995;16;65.25;154.818145752;31;136.82046175;
107;21;53.8051757812;136.791717529;19;111.122981071;16;68.2999954224;157.163223267;32;138.061080813;
108;21;55.9688148499;138.824829102;21;112.747974992;16;69.3499984741;159.519638062;29;139.274217963;
109;22;57.2225036621;141.858306885;21;116.419950247;16;70.2656936646;161.885696411;30;140.463316083;
110;23;57.7668762207;144.973510742;20;120.178899169;16;70.3282241821;164.25944519;35;141.631532073;
111;23;58.3139228821;148.096618652;22;123.994356394;17;71.3806991577;167.638671875;35;143.672742486;
112;25;58.8576698303;150.666763306;20;128.835049987;17;72.3999938965;171.020904541;36;144.824972153;
113;25;60.8586120605;151.781082153;21;133.760144591;17;72.3999938965;174.403656006;37;146.020474076;
114;25;63.7781028748;151.901931763;21;137.747567177;17;71.3999938965;176.19480896;38;147.25968802;
115;25;65.3476028442;154.029312134;19;142.688346505;17;71.3999938965;179.281280518;40;148.54341805;
116;25;66.7385559082;158.163101196;21;146.650355935;17;72.3999938965;182.367294312;40;149.872834086;
117;26;68.2534561157;162.303115845;18;150.532754421;17;71.3999938965;184.45274353;40;151.249396086;
118;26;68.6929168701;167.68572998;16;155.32240653;17;73.3999938965;189.171401978;39;152.674696922;
119;27;71.0277862549;170.79699707;14;160.100571275;17;76.3999938965;192.965576172;40;154.150199413;
120;27;74.0867614746;173.953842163;13;163.869688511;17;80.3499908447;195.836791992;40;155.67687726;
121;27;75.6003723145;178.115402222;14;167.546072721;17;85.2999954224;197.786590576;41;157.254766464;
122;27;76.0911636353;181.869186401;16;171.132055283;17;90.3000030518;199.182357788;41;158.882463455;
123;27;76.5601654053;185.424240112;17;174.50621438;17;95.3000030518;200.781661987;43;160.556615353;
124;27;76.9804534912;188.995239258;19;177.643011451;17;100.181610107;202.663772583;45;162.271481991;
125;27;77.3466491699;192.954696655;21;181.745155811;17;104.349395752;205.174087524;47;164.018653154;
126;27;78.7047271729;198.367919922;25;185.013113379;17;108.502120972;207.688796997;48;165.787002087;
127;27;80.0552062988;203.082382202;27;188.218269229;17;110.640472412;210.206954956;48;167.562955618;
