Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
188;34;202.581100464;472.098022461;71;491.427270293;8;20.0;69.5;30;66.5943231583;
189;34;212.205993652;488.704406738;71;504.494371295;8;20.0;69.5;30;66.4348907471;
190;35;215.148284912;507.173095703;72;514.352832437;7;21.0;66.5;30;66.2914018631;
191;35;222.310150146;539.96697998;72;523.099714875;7;20.0;66.5;31;66.1622614861;
192;35;229.592834473;566.335571289;75;531.019548178;7;20.0;66.5;32;66.0460352898;
193;36;242.54095459;595.035888672;76;538.487140059;7;21.0;63.5;31;65.9414319992;
194;37;254.313140869;623.205932617;80;547.885804415;7;20.0;64.0;31;65.8472886086;
195;38;255.461929321;649.944396973;83;555.2587502;7;20.0;65.0;31;65.7625598907;
196;38;259.051269531;670.772155762;85;563.148517013;7;21.0;63.0;32;65.6863040924;
197;38;267.767700195;681.700622559;89;574.016881347;7;20.0;65.0;33;65.6176738739;
198;38;279.038513184;708.45501709;91;627.604765296;7;20.0;67.0;30;65.5559062958;
199;38;292.923919678;744.542785645;92;672.69778955;7;21.0;63.0;20;65.5003156662;
200;38;308.30255127;784.727294922;91;709.724263549;7;20.0;64.0;14;65.4502840042;
201;39;327.880737305;825.666625977;96;740.462651014;7;20.0;65.0;10;65.4052557945;
202;39;334.653930664;877.533996582;99;768.811213851;7;21.0;63.0;11;65.3647303581;
203;40;354.484313965;923.491210938;102;792.481356144;7;20.0;64.0;11;65.3282575607;
204;41;357.188598633;970.478393555;108;814.950253248;7;20.0;65.0;11;65.2954316139;
205;43;362.316894531;1013.84399414;110;837.762708187;7;21.0;63.0;12;65.2658882141;
206;46;374.728271484;1050.54003906;106;866.934260368;6;18.0;59.0;13;59.0;
207;47;386.054443359;1091.63146973;106;890.432222247;6;18.0;60.0;14;59.0;
208;49;395.334777832;1116.46166992;103;915.532809377;5;19.0;58.0;10;59.0;
209;51;406.054595947;1144.52258301;101;943.983138323;0;0;0;0;0;
