Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
46;5;36.0999984741;37.0999984741;5;51.6235172749;5;25.8999996185;33.2000007629;11;57.0;
47;5;37.0999984741;39.0999984741;5;51.7458350658;5;25.8999996185;36.2000007629;12;58.0;
48;6;37.5904998779;40.0999984741;4;51.8758279085;5;26.8999996185;40.2000007629;12;58.1299999952;
49;6;38.6342010498;39.0999984741;4;52.0138653517;5;27.8999996185;41.2000007629;13;58.2754310369;
50;6;39.6812820435;39.0999984741;4;52.1603024006;5;28.1869716644;42.2000007629;14;58.4377241135;
51;6;40.7318992615;38.0999984741;4;52.3154723644;5;28.223487854;43.2000007629;15;58.6183350086;
52;6;41.7862167358;37.5;4;52.4796780348;6;27.8999996185;44.2000007629;16;58.8187118769;
53;6;42.8443756104;37.5;5;54.2454795837;6;27.8999996185;45.2000007629;16;59.0402543545;
54;6;43.7920722961;38.0;5;55.7459849119;6;28.3590564728;44.2000007629;17;59.2842636108;
55;6;44.4448776245;38.3899993896;5;58.0189359188;6;28.4139595032;44.2000007629;18;59.5518820286;
56;6;45.9947891235;40.2772445679;5;59.1742229462;6;28.4741725922;44.2000007629;19;59.8440244198;
57;6;47.4192695618;41.520526886;5;60.0344614983;6;27.8999996185;45.2000007629;19;60.1613030434;
58;6;48.3045082092;42.6319961548;6;60.723279953;6;27.8999996185;46.2000007629;20;60.5039470196;
59;7;48.5901641846;43.6536102295;6;61.4270918369;6;28.6883869171;44.2000007629;20;60.871723175;
60;7;48.8821258545;44.6756095886;6;62.0408462286;6;27.8999996185;45.2000007629;21;61.263862133;
61;7;46.75;46.6979789734;6;62.6572304964;6;28.859369278;44.2000007629;21;61.6789975166;
62;7;46.75;48.7206993103;10;63.3239681721;6;28.9527740479;44.2000007629;22;62.1151270866;
63;8;47.75;51.7437477112;8;65.0427132845;8;29.0509033203;44.2000007629;20;62.5695996284;
64;8;46.75;55.7671051025;9;65.8743929863;8;29.1531600952;44.2000007629;21;63.0391392708;
65;9;45.75;59.7907524109;8;66.761947155;8;27.8999996185;45.2000007629;21;63.5199065208;
66;9;44.75;63.814655304;13;67.7042371035;8;28.8999996185;44.2000007629;21;64.007601738;
67;9;43.75;67.6061096191;13;68.6987087727;8;29.4767093658;44.2000007629;20;66.7277531624;
68;9;43.3499984741;69.2794799805;12;69.7412031889;8;29.2532501221;43.7000007629;21;69.0924892426;
69;9;43.3499984741;71.6475982666;12;70.8258360624;8;28.5357513428;46.0900001526;21;71.1390666962;
70;9;39.3499984741;70.0567703247;13;71.9449775219;8;29.7576675415;45.387260437;21;73.9080543518;
71;9;41.3499984741;68.6408233643;15;73.0893651247;8;31.9296417236;47.6097412109;21;75.3354687691;
72;9;43.3499984741;70.0736694336;16;74.2483658791;8;32.0249977112;47.7000007629;22;76.276930809;
73;10;43.3499984741;70.5123062134;17;75.410385251;8;34.0249977112;46.7000007629;22;77.153698802;
74;10;44.1328430176;71.2562561035;19;76.5634013414;8;33.0249977112;48.7000007629;23;77.964635849;
75;10;44.1740226746;72.6558609009;20;77.6955752373;8;31.0249996185;51.7000007629;23;78.6723428965;
76;10;44.3499984741;72.0459060669;21;78.7958629131;8;31.0249996185;53.7000007629;23;79.1992319822;
77;11;45.3499984741;72.4220275879;19;89.8545720577;8;30.0249996185;53.7000007629;23;79.6880936623;
78;11;47.3499984741;73.7804260254;21;91.3637855053;8;30.0249996185;54.7000007629;24;80.1391755342;
79;11;45.3499984741;78.4220275879;21;92.7901210785;9;31.0249996185;56.7000007629;20;100.553702593;
80;11;43.3499984741;81.4220275879;24;94.1267225742;9;32.0249977112;59.7000007629;20;102.733646274;
81;12;42.3499984741;84.4220275879;24;95.3697721958;9;32.0249977112;60.7000007629;21;104.651103854;
82;13;41.3499984741;87.4220275879;25;96.5182328224;9;33.0249977112;62.7000007629;21;106.285486698;
83;13;40.3499984741;90.6220321655;25;97.5734519958;9;34.0249977112;65.6999969482;22;107.642823935;
84;13;41.3499984741;92.6220321655;26;98.5386874676;9;34.3704795837;68.6999969482;22;108.711479902;
85;13;40.3499984741;97.3824691772;34;99.4186196327;9;32.3704795837;71.6999969482;22;109.456537724;
86;14;41.3499984741;98.4141464233;27;120.218883276;9;32.0704803467;74.6999969482;23;110.045146942;
87;15;41.3499984741;103.445358276;26;123.066666603;9;32.7249984741;77.6999969482;24;110.443028927;
88;15;42.75;105.54901123;26;125.57647109;9;34.0249977112;77.6999969482;22;110.554357052;
89;16;41.75;107.654922485;25;127.654162645;9;33.0249977112;80.6999969482;23;110.667914629;
90;16;41.75;109.762748718;25;129.335175991;9;33.0249977112;83.6999969482;24;110.783490896;
91;16;43.75;109.872085571;25;130.755017281;9;34.0249977112;83.6999969482;26;110.900856972;
92;16;44.75;109.982543945;25;133.994693279;9;33.0249977112;86.6999969482;26;111.019767284;
93;16;46.75;115.093681335;25;136.186908722;9;33.0249977112;89.6999969482;27;111.139961004;
94;16;51.75;118.205055237;26;137.257912636;9;34.0249977112;89.6999969482;28;111.261164665;
95;15;53.75;121.316223145;26;140.051016927;10;33.0249977112;92.6999969482;27;111.383094311;
96;15;55.75;129.426727295;28;140.946062922;10;33.0249977112;95.6999969482;27;111.50545764;
97;15;60.75;131.536117554;28;143.690995693;10;34.0249977112;95.6999969482;27;111.627957344;
98;14;59.2318878174;130.643981934;30;138.276447177;11;33.0249977112;98.6999969482;26;119.109472275;
99;14;59.2484130859;137.749923706;31;139.9006989;11;34.0249977112;102.699996948;26;119.095428228;
100;14;61.2653198242;143.853546143;27;141.269495249;11;36.0249977112;103.699996948;26;119.0942173;
101;14;69.6440734863;145.635696411;28;142.271577954;11;38.0249977112;105.699996948;26;119.10419035;
102;14;73.5122528076;151.308258057;29;143.031502724;11;38.0249977112;107.699996948;29;119.123844147;
103;15;76.4031524658;156.330307007;31;143.726942897;11;38.3999977112;109.699996948;29;119.151808739;
