Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
19;2;26.6745052338;12.5;5;29.5311965942;2;21.0494651794;12.5;4;26.5224741697;
20;2;27.2890396118;12.5;5;29.960246563;2;21.956741333;12.5;5;26.5906432867;
21;2;27.4821109772;12.5;5;30.4086403847;2;21.977191925;12.5;5;26.6607804298;
22;2;27.6838874817;12.5;5;30.873316288;2;21.9982337952;12.5;5;26.7328453064;
23;2;27.8929920197;12.5;5;31.3506221771;2;22.0198535919;12.5;5;26.8067884445;
24;2;28.1077804565;12.5;5;31.8364052773;2;22.0420360565;12.5;5;26.8825509548;
25;2;26.3263816833;13.5;5;32.3261375427;2;22.0647659302;12.5;6;26.9600640535;
26;2;25.3263816833;13.5;5;32.815073967;3;22.0880184174;12.5;5;27.0392494202;
27;2;24.3263816833;13.5;5;33.2984304428;3;22.1117744446;12.5;5;27.120018959;
28;2;24.3263816833;14.5;5;33.7715711594;3;22.1360054016;12.5;5;27.2022752762;
29;2;24.1972064972;15.5;5;34.2301864624;3;22.1606826782;12.5;5;27.2859115601;
30;2;23.1972064972;14.5;5;34.6704492569;3;21.5;13.5;5;27.3708124161;
31;2;23.1972064972;14.5;5;35.0891361237;3;21.5;13.6854057312;5;27.4568536282;
32;2;23.25;15.5;5;35.4837083817;3;21.5;13.7284269333;5;27.5439035892;
33;2;24.25;16.5;6;35.8523464203;3;22.2631721497;12.5;5;27.6318233013;
34;2;23.25;15.5;6;36.1939411163;3;21.5;13.5;5;27.7204678059;
35;2;23.25;15.5;6;36.5080499649;3;22.3161411285;12.5;6;27.8096864223;
36;2;24.25;16.5;6;36.7948246002;3;22.3429069519;12.5;6;27.8993241787;
37;2;23.25;15.5;6;37.0549211502;3;21.5;13.5;6;27.989222765;
38;3;26.25;18.5;5;38.289399147;3;22.3967666626;12.5;6;28.079221487;
39;3;29.25;21.5;5;38.6296213865;3;21.5;13.5;6;28.1691586971;
40;3;31.25;24.5;5;38.9625943899;3;21.5;14.0845794678;7;28.258872509;
41;3;32.25;26.5;7;39.2914495468;3;22.4776611328;12.5;8;28.348202467;
42;3;33.0341758728;27.5;7;39.6183350086;3;22.5044612885;12.5;8;28.4369900227;
43;3;33.0999984741;28.5;7;39.8187118769;3;22.5310974121;14.5;8;28.5250804424;
44;3;33.0999984741;29.1368408203;8;40.0402543545;3;22.5575237274;16.5;9;28.6123232841;
45;3;33.0999984741;29.3362293243;9;40.2842636108;3;22.5836963654;18.5;10;28.6985738277;
46;3;33.0999984741;29.5558376312;9;40.5518820286;3;22.6095714569;20.5;10;28.7836937904;
47;4;34.0999984741;30.7966938019;8;41.8440244198;3;22.6351089478;22.5;11;28.867552042;
48;4;35.0999984741;32.0596237183;9;42.2013030052;4;21.7942390442;22.5;10;52.9500255585;
49;4;35.5679969788;33.3451728821;10;42.5851309299;4;22.8165073395;23.5;10;54.2310009003;
50;4;35.0999984741;34.653553009;9;42.9952766895;4;23.8383693695;24.5;10;55.2679710388;
51;4;35.0999984741;35.9845504761;8;43.4309695959;4;24.8598003387;24.8842391968;10;56.0891451836;
52;4;35.6251983643;36.337474823;8;43.8908389807;4;25.880771637;24.8098888397;10;56.72965765;
53;5;35.0999984741;37.559387207;7;44.3728749752;5;26.901260376;24.7534275055;10;57.2250804901;
54;5;35.0999984741;37.1036148071;9;44.8744156361;5;27.9212474823;24.7112865448;10;57.4100503922;
55;5;35.6871643066;37.5126419067;9;45.3921706676;5;28.9407138824;24.7000007629;10;57.4801678658;
56;5;35.0999984741;38.8823471069;9;45.9222825766;6;29.9596443176;24.7000007629;8;57.5482587814;
57;5;35.0999984741;39.3495788574;10;48.0088757277;6;30.9780292511;24.7000007629;8;57.6142878532;
58;5;36.3918952942;39.4242019653;11;49.8526562452;6;31.9958572388;24.7000007629;8;57.6782283783;
59;5;36.9369392395;40.3835144043;11;51.4821956158;6;33.0131225586;24.7000007629;8;57.7400636673;
60;5;37.3824691772;41.2562980652;11;52.927634716;6;34.0298156738;24.7000007629;8;58.799785614;
61;5;37.7456741333;42.0532684326;11;54.068600297;6;36.0459403992;25.7000007629;8;58.8873932362;
62;5;37.9760513306;42.7096328735;13;54.9841059446;6;38.0614967346;26.7000007629;9;58.9734852314;
63;6;39.1126899719;40.7096328735;12;55.8505222797;6;38.6764793396;27.7000007629;9;59.0580685139;
64;6;37.3295059204;42.7096328735;12;56.5538759232;6;38.6908988953;28.7000007629;9;60.1235172749;
65;6;38.3039131165;42.7096328735;12;58.1793985367;6;39.6999969482;30.7000007629;9;60.1758350134;
66;7;40.3504638672;45.7096328735;12;59.8290877342;6;40.6999969482;32.2779159546;9;62.2804630995;
67;7;41.3499984741;49.7096328735;13;60.503746748;6;41.4020004272;33.7161331177;9;63.9470003843;
68;7;42.3499984741;50.7096328735;13;61.1455441713;6;41.9462776184;35.0666427612;9;65.2561628819;
69;7;41.8553314209;54.7096328735;14;61.7548760176;7;42.3630828857;36.3420028687;6;83.294567585;
70;7;41.3499984741;58.7096328735;16;62.3330463171;7;43.5725669861;38.1309738159;6;85.0679801702;
71;8;41.9161224365;61.7096328735;15;62.8820366859;7;44.6715393066;39.2562179565;16;86.5121576786;
72;8;41.9486274719;64.7096328735;15;63.4042855501;8;44.7203903198;40.2918434143;7;107.792617917;
73;8;42.9825706482;64.7096328735;17;63.902487874;8;45.7677154541;42.3280906677;8;110.707195282;
74;8;41.3499984741;67.9039459229;17;64.3794244528;8;46.8134002686;44.3649406433;7;113.233579636;
75;8;41.3499984741;70.0851135254;18;64.7687786818;8;46.0599975586;47.065410614;8;115.363271832;
76;8;42.3499984741;69.0998458862;20;65.0709652901;8;47.0599975586;48.971824646;9;117.117707968;
77;9;41.3499984741;70.2930755615;19;65.3796268702;9;48.0599975586;50.9038505554;8;118.538448095;
78;9;41.3499984741;71.4902038574;20;65.6943457127;9;49.0599975586;52.859210968;8;119.58206749;
79;9;42.3499984741;69.6909637451;21;66.0146653652;9;50.0599975586;54.8345870972;8;120.271824479;
80;9;42.2605895996;69.4785766602;20;66.3400921822;9;51.0599975586;56.826335907;8;120.761955261;
81;9;41.3499984741;71.6151733398;21;66.6700978279;9;49.0599975586;61.8084831238;8;120.956838965;
82;9;42.3499984741;70.7524108887;21;67.0041213036;9;48.0599975586;65.8196029663;9;121.145526409;
83;9;41.3499984741;72.8900299072;22;67.3415718079;9;47.0599975586;69.3755340576;9;121.328128695;
84;10;41.3499984741;75.0277404785;22;67.6818311214;9;46.0599975586;72.4325866699;12;121.504786372;
85;10;42.3499984741;74.1652832031;23;68.0242576599;10;45.0599975586;75.4866714478;12;121.675662518;
86;10;41.3499984741;78.2309265137;23;68.3681900501;10;50.1477050781;78.537902832;14;121.774017453;
87;10;41.3499984741;80.4240722656;23;68.7129516602;10;54.1574020386;81.5556106567;16;121.858611465;
88;10;41.3499984741;82.6157989502;24;69.057854414;11;56.8858642578;84.5668563843;16;121.943421841;
89;11;41.3499984741;84.8057327271;24;69.4022042751;11;57.8943405151;87.5781097412;16;122.028361559;
90;12;41.3499984741;86.993522644;23;69.7453050613;12;58.4028358459;89.9230804443;14;135.613342881;
91;12;41.3499984741;89.1788406372;24;71.0864646435;12;59.4113311768;92.9655761719;15;136.440777898;
92;12;42.3499984741;92.361366272;23;71.4849984646;12;60.4198265076;96.0080413818;16;137.203164458;
93;12;44.3499984741;92.5407867432;23;71.8832006454;13;61.4283065796;99.0504379272;15;137.896468639;
94;12;43.3499984741;95.3447875977;25;72.603407979;13;62.9896507263;99.0927276611;16;138.519771934;
95;13;43.3499984741;97.9624328613;26;73.8616595268;13;62.0519752502;102.134857178;17;139.074779391;
96;13;44.3499984741;97.9742126465;26;76.1739996672;13;62.1074752808;107.523956299;18;139.565201879;
97;13;44.3499984741;102.020172119;25;77.6145048141;13;62.1565208435;110.582328796;18;139.996105194;
98;13;46.3499984741;102.830368042;24;79.1018018723;13;62.1996116638;113.640319824;18;140.373320341;
99;14;46.3499984741;105.346199036;20;93.6283774376;13;62.2373313904;116.697853088;19;141.702957749;
100;14;47.3499984741;112.039772034;20;97.0860408545;13;63.2702941895;120.754882812;20;142.00637269;
101;14;50.3499984741;119.747207642;21;100.580043316;13;64.2946395874;124.811355591;21;146.309153318;
102;16;54.3499984741;125.462921143;19;103.094485044;13;65.1796875;129.823226929;21;149.716020346;
103;16;56.3499984741;131.062240601;20;105.556824684;13;65.7910308838;134.654953003;23;152.36819315;
104;16;58.1078720093;134.474655151;20;107.95516026;13;66.2531356812;139.333480835;23;155.321836352;
105;16;59.163318634;138.763778687;20;110.281016946;13;66.6804504395;143.476547241;28;157.430672646;
106;16;61.067691803;144.046081543;21;112.528983355;13;66.935585022;147.465805054;29;158.860702038;
107;16;59.3338394165;148.31942749;21;114.696193695;13;68.0668411255;148.346038818;27;160.266797185;
108;16;60.4508476257;151.58190918;22;117.781754851;13;67.1959838867;152.209091187;28;162.625984669;
109;16;60.5543899536;157.831970215;23;120.866188645;13;68.3209381104;157.040237427;31;164.978968501;
110;16;62.6403694153;165.688201904;22;123.026497126;13;72.35521698;157.224609375;33;166.314401269;
111;16;64.712600708;166.19342041;20;125.708583355;13;71.6639938354;163.40953064;33;167.566545367;
