Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
91;14;40.936000824;111.220565796;18;95.6025400162;10;32.5369796753;86.6352005005;3;79.5827662945;
92;14;41.936000824;111.230659485;19;95.6685552597;10;33.5369796753;85.8587875366;4;80.2268923521;
93;14;42.936000824;112.237991333;19;95.7428693771;11;34.2883110046;87.8394088745;3;80.9120762348;
94;14;43.3413085938;113.245887756;21;95.824891448;12;32.5369796753;88.6952438354;3;81.6917870045;
95;14;43.3324241638;114.254257202;23;95.9140578508;12;33.5369796753;87.7386245728;4;82.3806008101;
96;14;44.3244247437;112.263061523;23;96.0098311901;12;30.0;88.7803268433;2;85.1710501909;
97;14;43.3172302246;113.272232056;24;96.4045915604;12;29.0;90.7386245728;3;85.5640804768;
98;14;43.9802627563;114.409431458;26;96.8147456646;12;30.0;92.7386245728;5;85.9349793196;
99;14;45.0332069397;112.546432495;25;97.2393102646;13;31.0;94.7386245728;3;86.3426321149;
100;14;43.2996788025;113.682800293;25;97.5705149174;13;32.0;96.7386245728;3;86.8238829374;
101;14;44.1287994385;114.803543091;21;98.9242162704;13;33.0;99.3655700684;4;87.2511384487;
102;16;46.1734199524;113.924133301;22;123.307132542;11;30.0;93.3028717041;5;64.5939559937;
103;16;49.2237319946;119.044075012;23;124.689151108;11;31.0;97.2464447021;6;65.0062301755;
104;16;54.279258728;122.162902832;24;125.110580921;11;33.0;101.195663452;6;65.5229697824;
105;16;56.3394813538;126.280174255;25;125.547572792;11;34.6468048096;105.149963379;7;66.0559187531;
106;16;58.4038619995;129.892684937;26;125.997158408;11;33.6221237183;108.37020874;8;66.5177164078;
107;17;60.4718093872;133.006057739;28;130.654524148;10;32.5999107361;100.333183289;8;62.7538259029;
108;17;63.2677154541;137.116821289;36;131.489858806;10;33.5799179077;99.2998657227;8;63.1952960491;
