Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
32;4;16.9095134735;20.0;2;30.7674696445;3;26.75;11.8534269333;4;23.7939035892;
33;4;16.9212417603;21.0;2;30.8373714685;3;26.75;11.8969516754;4;23.8818233013;
34;4;17.3999996185;20.4186859131;3;31.9080483913;3;26.75;11.940911293;4;23.9704678059;
35;4;17.8724136353;20.0;5;32.0194619894;3;27.75;13.9409122467;5;24.0596864223;
36;4;18.8938388824;21.0;6;32.1327562332;3;28.4358119965;15.9409122467;5;24.1493241787;
37;4;19.2398281097;22.0;6;32.2478909492;3;28.4895935059;17.9409122467;5;24.239222765;
38;4;18.6936798096;23.9678134918;6;32.3648215532;3;28.5435333252;19.625;5;24.329221487;
39;4;18.9593143463;24.5835533142;6;32.4834986925;3;28.5975322723;20.625;5;24.4191586971;
40;4;18.7403755188;26.0;7;32.6038684845;3;28.6514949799;20.625;5;24.508872509;
41;4;18.7644882202;27.0277900696;7;32.7258725166;3;28.705324173;20.625;6;25.598202467;
42;4;19.0263175964;27.6524085999;8;32.8494471312;3;27.75;22.625;6;25.7269899845;
43;4;19.0;27.3569946289;8;32.9745246172;3;28.75;24.3434944153;6;25.8562643528;
44;4;21.0716438293;29.3569946289;9;33.1010321379;3;29.3987102509;25.3875408173;7;25.9858767986;
45;4;21.6644897461;31.3569946289;9;33.2288920879;3;29.4241313934;26.4311618805;7;26.1156812906;
46;4;22.4513092041;33.3569946289;10;33.3580225706;3;29.4502639771;27.4742870331;8;26.2455352545;
47;4;24.6074066162;35.3569946289;10;33.4883371592;3;29.477104187;27.5168457031;8;26.3752999306;
48;4;25.6465015411;35.0;11;33.6197450161;3;29.5046482086;27.5587768555;10;26.5048415661;
49;4;26.1863803864;34.832572937;14;33.7521511316;3;29.5328903198;27.6000137329;10;26.6340315342;
50;5;26.7231502533;35.6708259583;12;33.8854558468;4;29.5618190765;27.640499115;10;26.7627466917;
51;5;28.1656360626;34.0;12;34.0195565224;4;29.591424942;27.680185318;10;26.8908694983;
52;5;27.6555538177;34.9171905518;14;34.1543465853;4;29.6216964722;27.7190208435;11;27.018289566;
53;5;28.2463035583;34.0;14;34.2897160053;4;29.6526184082;27.7569637299;11;27.1449012756;
54;5;27.518409729;35.0;13;34.4255518913;4;29.6841697693;27.7939758301;12;27.2706065178;
55;5;27.7244415283;35.0;14;34.5617383718;4;29.7163333893;27.8300247192;12;27.3953129053;
56;6;28.3685207367;34.0;13;34.6981576681;4;29.74908638;27.8650836945;12;28.5408073664;
57;6;27.7699947357;35.0;13;34.8346899748;4;30.2880058289;28.3871707916;12;30.5468331575;
58;6;27.8697185516;34.9678153992;14;35.9712138176;4;31.7420654297;29.8373336792;12;31.4693887234;
59;6;27.9926757812;37.0;14;36.1276066303;4;33.1216011047;31.2235908508;12;32.2876038551;
60;6;29.6995048523;37.3879623413;15;36.2839415073;4;33.438129425;32.5549430847;13;33.0191447735;
61;6;29.7301521301;38.4049530029;15;36.4400888681;4;33.7029953003;33.8402633667;13;33.4734677076;
62;6;29.7608470917;39.421672821;16;37.595919013;4;33.8026008606;34.9843482971;13;33.885340333;
63;6;31.6544284821;40.0;16;37.8013033867;4;33.8785133362;35.7105789185;15;34.296875;
64;6;32.6948204041;41.5509490967;17;38.0080887079;5;33.9566650391;35.8512191772;14;34.7068297863;
65;7;31.0644893646;44.5614051819;16;38.2161732912;5;34.0369186401;35.989315033;14;35.1140332222;
66;7;31.2071113586;46.057674408;16;38.4234317541;5;31.4000015259;36.0134239197;15;35.5173965693;
67;7;31.988155365;45.5825614929;17;40.225297451;5;31.4000015259;36.5406761169;15;35.9159237146;
68;7;33.3197402954;45.9464187622;18;41.6949039698;5;32.4000015259;39.0633201599;15;36.3087174892;
