Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
33;1;20.3999996185;14.0;6;28.0;2;28.276342392;10.625;5;23.8818233013;
34;1;20.3999996185;14.0;6;28.0;2;28.3290939331;10.625;5;23.9704678059;
35;1;20.3999996185;14.0;6;28.0;2;28.3822803497;10.625;6;24.0596864223;
36;1;20.3999996185;14.0;6;28.0;2;28.4358119965;12.625;6;24.1493241787;
37;1;20.3999996185;14.0;6;28.0;2;28.4895935059;14.625;7;24.239222765;
38;1;20.3999996185;14.0;6;28.0;2;28.5435333252;16.625;7;24.329221487;
39;1;20.3999996185;14.0;7;28.0;2;28.5975322723;18.625;7;24.4191586971;
40;1;20.3999996185;14.0;7;28.0;2;28.6514949799;20.625;7;24.508872509;
41;1;20.3999996185;14.0;7;28.0;2;28.705324173;20.625;7;24.598202467;
42;1;20.3999996185;14.0;7;28.0;2;28.7589225769;20.625;7;24.6869900227;
43;1;20.3999996185;14.0;7;28.0;3;28.8121948242;20.625;6;24.7750804424;
44;1;20.3999996185;14.0;7;28.0;3;28.8650474548;20.625;6;24.8623232841;
45;1;20.3999996185;15.0;7;28.0;3;26.8650474548;21.625;7;24.9485738277;
46;2;20.3999996185;16.0;7;28.0;3;26.75;22.4742870331;7;25.0336937904;
47;2;20.3999996185;17.0;7;28.0;3;26.75;22.5168457031;7;25.117552042;
48;2;20.3999996185;18.0;7;28.0;3;26.75;22.5587768555;7;25.2000255585;
49;2;20.3999996185;19.0;7;28.0;3;26.75;22.6000137329;7;25.2810001373;
50;2;20.3999996185;19.0;7;28.0;3;26.75;22.640499115;7;25.360370636;
51;2;20.3999996185;19.0;8;28.0;4;27.75;23.680185318;6;27.4380412102;
52;2;20.3999996185;19.0;8;28.0;4;30.75;23.680185318;7;27.5939269066;
53;2;20.3999996185;19.0;8;28.0;4;33.3680000305;25.625;7;27.7505176067;
54;3;21.3999996185;20.0;8;29.0;4;33.9891242981;27.625;7;27.9077664614;
55;3;22.3999996185;21.0;8;29.1050000191;4;34.0510902405;29.625;7;28.0656298399;
56;3;22.7314987183;22.0;8;29.2198647261;4;34.1122131348;30.625;7;28.2240670919;
57;3;22.3999996185;23.0;8;29.3452684879;4;34.172454834;31.2599868774;8;28.3830400705;
58;3;22.8035812378;24.0;8;29.4818768501;4;34.2317962646;31.2900218964;8;29.5816897154;
59;3;22.8445625305;24.0;8;30.630333066;4;34.8897819519;31.7394657135;8;30.6437728405;
60;3;23.8890991211;25.0;8;30.8112415075;4;35.4620018005;32.1191902161;8;31.5854638815;
61;3;24.3999996185;26.0;9;31.0053447485;4;35.9580688477;32.4379043579;7;32.4248902798;
