Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
46;3;15.5161170959;27.5;9;27.3329925537;3;36.7999992371;22.5;7;38.0;
47;3;14.5249233246;28.5;10;27.3718836308;4;36.7999992371;22.5;6;50.75;
48;3;14.5336742401;29.5;10;27.4105007648;4;37.7999992371;23.5;6;52.9368753433;
49;3;15.5423622131;27.5;10;27.4488155842;4;39.6339988708;25.0;5;54.8050823212;
50;3;14.550983429;28.5;12;27.4868011475;4;41.3116874695;26.3899993896;5;56.3836631775;
51;4;14.5595302582;29.5;10;56.2744314671;4;42.8547515869;27.6872596741;6;57.7070827484;
52;5;16.0;29.5;8;73.3241820335;4;44.2861061096;28.9097423553;6;58.6624956131;
53;5;19.5763778687;31.5;11;75.6453061104;4;45.5384597778;29.0;5;60.3387336731;
54;5;22.0;33.5;11;77.4663784504;4;47.6639328003;30.0;5;60.9632539749;
55;5;24.5928630829;35.5;12;78.8714170456;4;49.7726745605;31.0;7;61.3946509361;
56;5;27.6009559631;37.5;11;79.948210001;4;48.7999992371;33.0;7;61.7290184498;
57;5;29.625;38.5;12;80.4427478313;4;48.7999992371;35.0;7;62.0180863142;
58;5;29.625;40.4189949036;13;80.8450143337;4;48.7999992371;37.0;8;62.211841464;
59;5;30.625;41.443145752;14;81.1869218349;4;48.7999992371;38.6059188843;9;62.2577478886;
60;5;31.625;42.4669342041;14;81.4761073589;4;46.7999992371;40.6288757324;9;62.3048160076;
61;5;32.625;43.4903411865;14;81.6262321472;4;45.7999992371;42.6524085999;11;62.3530313969;
62;5;34.0;44.5133628845;17;81.6585543156;4;44.7999992371;44.6765136719;11;62.4023760557;
63;5;36.0;45.535987854;16;81.690299511;4;43.7999992371;46.7011871338;12;62.4528282881;
64;5;36.9749984741;46.5582084656;17;81.7214579582;4;42.7999992371;48.7264137268;12;62.5043625832;
65;5;36.9749984741;47.5800209045;18;81.75;4;41.7999992371;50.7521820068;13;62.5569496155;
66;5;36.9749984741;48.5999984741;19;81.75;4;40.0;52.7784729004;13;62.6105561256;
67;5;36.9749984741;49.5999984741;17;81.75;4;38.0;54.3052787781;15;62.6651450396;
68;5;36.9749984741;50.5999984741;17;81.75;4;37.0;55.332572937;18;62.72067523;
69;5;36.9749984741;51.5999984741;17;81.75;4;36.0;56.3603363037;18;62.7771017551;
70;5;37.9749984741;49.5999984741;18;81.75;4;35.0;56.3885498047;18;62.8343759775;
71;5;36.9749984741;50.5999984741;20;81.75;4;34.2000007629;56.4171867371;20;62.8924454451;
72;5;36.9749984741;51.5999984741;19;85.5518746376;4;34.2000007629;56.4462242126;20;62.9512542486;
73;5;37.88306427;52.641998291;20;88.3725130558;4;34.2000007629;56.4756278992;21;63.0107431412;
74;5;38.5487747192;53.683555603;20;90.4059884548;4;34.2000007629;60.9075202942;22;63.0708494186;
75;5;39.0216331482;54.7246208191;20;91.8121159077;4;34.2000007629;62.9495925903;22;63.1315076351;
76;5;40.3405151367;52.7651519775;22;92.2930147648;4;34.2000007629;63.9920539856;22;63.1926498413;
77;5;39.4500007629;53.8051109314;22;92.3492259979;4;34.2000007629;65.0348510742;21;63.2542052269;
78;5;39.4500007629;54.8444595337;22;92.4045140743;4;34.2000007629;65.6779403687;19;63.3161010742;
79;5;37.4500007629;56.8831596375;22;92.4588325024;4;34.2000007629;65.7212677002;19;63.3782629967;
80;5;37.4500007629;55.9211807251;22;92.5121388435;4;34.2000007629;65.7647857666;19;63.4406147003;
81;5;35.4500007629;57.9584960938;22;92.564394474;4;34.2000007629;65.8084259033;20;63.5030794144;
82;5;36.4500007629;58.9211807251;19;92.6155650616;4;34.2000007629;65.8521575928;20;63.5655794144;
83;5;37.4500007629;59.9211807251;21;92.6656200886;4;34.2000007629;65.895904541;19;63.628036499;
84;5;38.4500007629;61.9211807251;20;92.714533329;4;34.2000007629;64.0999984741;17;63.690372467;
85;5;39.4500007629;63.9211807251;20;92.7622823715;4;34.2000007629;65.0999984741;18;63.8601250648;
86;6;39.4500007629;65.9211807251;20;97.8088488579;4;34.2000007629;66.0999984741;16;64.035733223;
