Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
46;3;16.0;30.703956604;10;28.0336915255;4;37.7872810364;33.180480957;4;35.8899748325;
47;3;17.0;28.719367981;10;28.168094039;5;37.8840408325;33.1984367371;5;36.1270815134;
48;3;16.0;29.7347068787;10;28.3106019497;5;35.8840408325;34.2166175842;5;36.3559840918;
49;3;16.4017753601;29.5;11;28.4615248442;5;34.8840408325;35.2350120544;6;37.7049343586;
50;3;17.4066543579;27.5;11;28.6211342812;5;34.4840393066;36.0;6;38.8249946833;
51;3;18.4115047455;28.5;10;28.7896542549;5;34.0680007935;37.3899993896;6;39.7505854368;
52;3;19.4163246155;29.5;11;28.9672496319;5;34.4247131348;38.2087478638;7;40.5176905394;
53;4;20.4211101532;30.5;9;29.1540162563;5;34.6916885376;38.5197181702;7;42.0115765333;
54;4;21.0;31.5;10;29.3499689102;5;35.7999992371;40.5618057251;8;42.3564468622;
55;4;21.625;32.5;10;29.555031538;5;36.7999992371;41.6659851074;9;42.6943405867;
56;5;21.625;31.5;9;29.7690268755;5;36.7999992371;42.7645721436;10;43.0256494284;
57;5;21.625;30.5;10;29.9916677475;6;36.7999992371;43.8578186035;10;43.3507915735;
58;5;21.625;29.5;10;30.2225503922;6;36.7999992371;43.9604034424;12;43.6423233747;
59;5;22.0740432739;28.5;11;30.445360899;6;37.7999992371;44.6059188843;12;43.8589203358;
60;5;22.0750007629;27.5;10;30.6711919308;6;38.0547027588;44.0;13;44.0795161724;
61;5;21.625;27.5;10;30.9035346508;6;38.0912017822;44.6524085999;12;44.3038239479;
62;5;22.0750007629;27.5;12;32.141512394;6;38.1279754639;44.6765136719;12;44.5315324068;
63;5;22.625;28.5;11;33.4341423512;6;38.164981842;44.7011871338;14;44.7623075247;
64;5;24.625;30.5;11;35.2000073195;6;38.2021751404;44.7264137268;13;44.995793581;
65;5;25.90625;33.125;10;36.7190257311;6;38.2395172119;44.7521820068;13;45.2316162586;
66;5;26.3948364258;35.6171875;13;36.850680232;6;38.2769546509;44.7784729004;11;45.4693846703;
67;5;26.3574180603;37.5054702759;14;37.0086193085;6;38.3144454956;44.8052787781;10;45.7086948156;
68;5;26.0322151184;38.4049224854;13;38.4353458881;6;38.3519439697;44.832572937;10;45.9491317272;
69;5;26.5434265137;38.8325576782;13;39.6648362875;6;38.3894004822;44.8603363037;11;46.1902730465;
70;6;26.716129303;39.1555328369;12;39.6857041121;6;35.7999992371;44.8885498047;10;46.4316934347;
71;6;26.2954902649;39.989982605;12;39.7385878563;6;35.7999992371;45.3038520813;9;46.6729661226;
72;6;26.2284431458;40.0153160095;11;39.8191041946;6;34.7999992371;44.3637657166;10;46.9136682749;
73;6;26.5618782043;38.7068862915;10;39.9233173132;6;34.7999992371;44.4238586426;10;47.1533823013;
74;6;26.1137886047;39.5861968994;11;41.2990782261;6;35.7999992371;45.4840660095;11;47.391700983;
75;6;26.7307395935;38.9703598022;9;42.4836156368;6;34.7999992371;44.5443229675;11;47.6282291412;
76;6;26.4161224365;40.2580490112;10;42.4413187504;6;34.7999992371;44.6045608521;12;47.8625872135;
77;6;26.8352851868;39.082244873;10;42.4479647875;6;36.7999992371;45.0963249207;13;48.0944137573;
78;7;27.7829437256;39.9240188599;9;44.0697836876;6;38.7171325684;47.1271018982;13;48.3233664036;
79;6;25.0767917633;34.0;10;42.2570890188;7;38.7517356873;48.1580505371;10;50.6273770332;
80;6;24.5024986267;35.0;10;42.5270841718;8;39.7858352661;50.1891326904;11;50.9994969368;
81;6;24.2999992371;34.0;10;42.8000231981;8;39.8194007874;52.7417259216;11;51.3231265545;
