Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
25;3;25.25;14.9716587067;4;29.3616781235;4;22.7000007629;14.5;1;30.4700255394;
26;3;25.25;15.1170063019;4;29.60760355;4;22.7000007629;14.5;1;30.5072168112;
27;3;25.25;15.2645626068;4;29.8560638428;4;22.7000007629;14.5;1;30.5447884798;
28;3;25.25;15.4136381149;4;30.1058568954;4;22.7000007629;14.5;1;30.5827163458;
29;3;25.25;15.5635137558;4;30.3557448387;4;22.7000007629;14.5;1;31.6209751368;
30;3;25.25;15.7134466171;5;30.6044793129;4;23.7000007629;15.0;1;31.7295385599;
31;3;25.25;15.8626880646;5;30.8508253098;4;24.7000007629;14.5;1;31.842530489;
32;3;25.25;16.0104942322;5;31.0935864449;4;24.7000007629;15.0720758438;1;31.960062027;
33;3;25.25;16.1561527252;6;31.3316273689;4;24.7000007629;15.1112957001;1;32.0822329521;
34;3;25.25;16.2989768982;7;31.5638952255;4;24.7000007629;15.1527261734;1;32.2091288567;
35;4;25.25;16.438337326;6;31.7894377708;4;25.117855072;14.5;1;32.340818882;
36;4;25.25;16.5736618042;6;32.0074167252;4;24.7000007629;15.2424373627;1;32.4773528576;
37;4;25.25;18.5736618042;7;32.2171196938;4;24.7000007629;15.290807724;2;32.6187583208;
