Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
100;6;28.5999984741;35.5999984741;8;33.6533719301;8;21.0;74.3833465576;13;60.5606477261;
101;6;28.5999984741;35.5999984741;6;33.6756366491;8;21.0;76.4109115601;14;61.0034506321;
102;6;28.5999984741;35.5999984741;5;33.6978281736;8;21.0;79.0009460449;14;61.35663867;
103;6;28.5999984741;35.5999984741;6;33.7199368477;8;21.0;81.0384368896;14;61.6735618114;
104;6;28.5999984741;35.5999984741;6;33.7419531345;8;22.0;83.0754394531;15;61.9570047855;
105;6;28.5999984741;35.5999984741;6;33.7638677359;8;23.0;85.111907959;17;62.2099304199;
106;6;28.5999984741;35.5999984741;7;33.7856714725;8;24.0;87.1478118896;16;62.4111256599;
107;6;28.5999984741;35.5999984741;7;34.0430686474;8;25.0;89.1831207275;16;61.9653241634;
108;6;28.5999984741;35.6800003052;7;34.3028531075;8;27.0;87.8978118896;16;62.0256588459;
109;6;28.5999984741;35.7606391907;7;34.564171195;8;27.0;89.936416626;16;62.0853955746;
110;6;28.5999984741;35.8416023254;7;34.8261487484;8;25.0;92.9746551514;18;62.1444687843;
111;6;28.5999984741;35.9225578308;5;36.087903738;9;25.0;93.0124588013;17;62.2028152943;
112;6;29.5999984741;37.0031814575;6;37.4085588455;9;23.0;95.4498062134;15;62.2603757381;
113;6;31.5999984741;39.083152771;8;37.7902209759;9;22.0;97.4866409302;15;62.3170940876;
114;6;32.5999984741;41.162147522;10;38.1750963926;9;22.0;93.5229415894;16;62.3729176521;
115;6;32.5999984741;43.2398681641;8;38.5625323057;10;21.0;93.5586700439;15;62.4277977943;
116;6;32.5999984741;45.3160324097;8;38.9519120455;10;21.0;93.593788147;15;62.4816896915;
117;6;32.5999984741;46.39037323;8;39.3426618576;10;22.0;91.6282806396;14;62.5345525742;
118;6;32.5999984741;47.4626617432;8;39.7342549562;10;21.0;92.6621170044;16;62.5863494873;
119;6;32.5999984741;48.5326805115;8;40.1262131929;10;21.0;93.6952667236;16;62.8405017853;
120;6;32.5999984741;49.6002616882;6;40.5181077719;10;22.0300006866;91.8195266724;17;63.0983891487;
121;6;32.5999984741;51.6647186279;5;40.9095569849;10;21.0602817535;92.9458084106;17;63.3592226505;
122;6;33.5999984741;50.6647186279;5;41.3002243042;10;21.0908126831;94.0736618042;15;63.6221694946;
123;6;32.5999984741;52.6647186279;4;41.6898113489;10;22.1215553284;92.2025985718;15;64.8863635063;
124;6;31.5999984741;51.9465332031;5;42.0780549049;10;22.1524753571;94.3321075439;16;65.2109165192;
125;6;31.5999984741;52.0127868652;5;42.4647183418;10;23.1835346222;96.4616622925;15;65.5378983021;
126;6;31.5999984741;52.0811920166;5;42.8495848179;10;24.2146968842;95.5907516479;15;65.8664878607;
127;6;30.9709072113;52.1516799927;4;43.2324504852;10;23.2459220886;97.7188339233;17;66.1958763599;
128;6;30.0217781067;52.2241821289;4;43.6131176949;10;23.2771720886;99.8454284668;18;66.5252779722;
129;6;29.0695476532;52.2986030579;5;43.9913880825;10;24.3084068298;98.9700317383;19;66.8539406061;
130;6;28.1142997742;52.7101211548;6;44.367057085;10;23.3395881653;101.092193604;17;67.1811542511;
131;6;27.1561355591;53.7880477905;6;44.7399096489;10;23.370677948;103.211486816;16;67.5062602758;
132;6;26.1951637268;54.8675384521;7;45.0397076607;10;24.4016361237;102.327529907;17;67.8286557198;
133;6;25.1999988556;55.9484443665;8;45.3311676979;10;23.4324264526;104.439987183;18;68.147798419;
134;6;24.1999988556;57.0306015015;9;45.6244807243;10;24.463010788;105.439987183;17;68.4632071257;
