Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
39;4;26.1929969788;19.2902355194;6;27.135456562;3;22.7135009766;14.5;6;26.0605909824;
40;4;26.2109565735;21.2902336121;6;27.17527318;3;23.25;16.5;7;26.091766119;
41;4;26.2288722992;22.5;6;27.2149660587;3;24.25;18.5;7;26.1235172749;
42;4;26.2467346191;22.5;6;27.2545039654;3;25.25;20.5;6;26.1558350325;
43;4;26.2645263672;22.5;7;27.293856144;3;25.7701263428;21.5;7;26.1887089014;
44;4;26.2822341919;22.5;7;27.3329925537;4;25.7849197388;22.5;6;26.2221269608;
45;4;26.2998466492;22.5;7;27.3718836308;4;25.7999572754;22.5;6;26.2560760975;
46;4;26.3173484802;22.5;7;27.4105007648;4;25.25;23.3792533875;7;26.2905418873;
47;4;26.3347244263;22.5;7;27.4488155842;4;25.25;23.4033794403;7;26.3255085945;
48;4;25.25;23.4795265198;8;27.4868011475;4;25.8464794159;22.5;7;26.3609591722;
49;4;25.25;23.494720459;8;27.5244314671;4;25.25;23.452671051;8;26.3968753815;
50;4;25.25;23.5097732544;8;27.5616812706;4;25.25;23.4778137207;9;26.4332377911;
51;4;25.25;23.5246734619;10;27.5985264778;4;25.8949565887;22.5;9;26.4700255394;
52;4;25.25;23.5394096375;10;27.6349442005;4;25.25;23.5;9;26.5072168112;
53;5;25.25;23.5539779663;9;27.6709127426;4;25.25;23.5550518036;10;26.5447884798;
54;5;25.25;23.568365097;9;27.7064116001;4;25.25;23.5813522339;10;26.5827163458;
55;5;25.25;23.5825653076;9;27.7414214611;5;25.25;23.6079025269;9;26.6209751368;
56;5;25.25;23.5965690613;9;27.7759244442;5;25.25;22.5;9;26.6595385075;
57;5;25.25;23.610370636;10;27.8099038601;5;23.9967918396;23.5;9;26.6983793974;
58;5;25.25;23.6239624023;10;27.84334445;5;23.0142707825;24.5;9;26.7374696732;
59;5;25.25;23.637336731;10;27.8762321472;5;22.0318603516;25.5;9;26.7767804861;
60;5;25.25;23.6504936218;10;27.9085543156;5;21.0495510101;26.5;9;26.8162822723;
61;5;25.25;23.6634216309;10;28.9693851471;5;20.0673274994;27.5;9;27.8559447527;
62;5;25.7000007629;24.1877536774;12;30.8096826077;5;21.25;27.5;9;27.9357372522;
63;5;27.0510005951;25.6018714905;13;31.4938936234;5;23.25;26.5;9;28.0168124437;
64;5;28.3185329437;26.9230098724;12;33.1852478981;5;24.25;26.5;9;28.0991406441;
65;6;29.011510849;28.7413101196;11;34.5193936825;5;25.25;26.5;9;29.2249155045;
66;6;29.5431003571;29.0478897095;12;35.5474102497;5;26.25;28.0;9;30.1343766451;
67;6;29.936422348;31.4849128723;13;36.3309491873;5;27.25;28.3899993896;9;30.862024188;
68;6;30.2193565369;32.2299041748;13;36.8876963854;5;28.25;28.6872596741;11;31.4437645674;
69;6;30.4000015259;33.4306182861;13;37.0432183743;5;28.5187683105;28.9097423553;11;31.7646528482;
70;6;30.4000015259;34.4306182861;13;37.1986365318;5;28.5999984741;29.0;11;31.9085681438;
71;6;30.4000015259;35.4306182861;13;38.3536436558;5;28.5999984741;29.0;11;32.0559517145;
72;6;31.4000015259;37.4306182861;13;39.5379393101;5;28.5999984741;29.0;13;32.2067126036;
73;6;33.4000015259;40.4306182861;13;39.7518235445;5;28.5999984741;29.0;13;32.3607418537;
74;6;34.8772659302;42.7201080322;14;39.9656014442;6;29.5999984741;30.0;13;33.5179117918;
75;6;34.8912963867;44.7665481567;14;41.1789929867;7;30.5999984741;32.0;12;33.7380754948;
76;6;35.9055862427;47.8121871948;14;41.421730876;7;30.5999984741;34.0;14;33.9640307426;
77;6;36.9201278687;49.8569412231;15;41.6641551256;7;30.5999984741;36.0;14;34.1956599951;
78;7;36.9349212646;51.9007225037;15;41.9060239792;7;30.5999984741;38.0;15;34.4328181744;
79;7;36.9499588013;53.9434509277;15;42.1471112967;7;30.5999984741;39.0;15;34.6753312349;
80;7;36.9652366638;55.9850692749;15;42.3872084618;7;30.5999984741;40.0;15;34.9229959249;
81;7;36.9807434082;58.0255126953;16;42.6261240244;7;28.5999984741;42.0;15;35.175579071;
82;7;36.9964828491;60.0647315979;16;42.8636837006;7;27.5999984741;43.1155853271;16;35.4328168631;
83;7;37.0124320984;61.7654380798;16;43.0997294188;7;26.5999984741;44.1574249268;16;35.6944155693;
84;7;37.0285949707;62.8198204041;17;43.3341206312;7;27.5999984741;44.1155853271;17;35.9600521326;
85;8;37.044960022;63.8731117249;15;43.5667316914;7;25.5999984741;46.1155853271;16;36.2293745279;
86;8;36.4000015259;65.5880432129;13;43.7974520922;7;24.5999984741;48.1155853271;14;36.5020034313;
