Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
37;4;28.4697875977;16.1344947815;6;27.7869936228;3;24.25;19.5;7;27.5030794144;
38;4;28.5041465759;19.1344947815;6;27.8653166294;3;24.25;20.5;7;27.5655794144;
39;4;28.5393924713;22.1344947815;6;27.9456099272;3;25.25;21.5;7;28.628036499;
40;4;28.5755233765;25.1344947815;7;28.0278714895;3;27.25;23.5;7;28.7303724289;
41;4;28.6125411987;27.5;7;28.1120926142;3;30.25;24.5;7;28.8336939812;
42;4;28.6504421234;27.5;8;28.1982573271;3;30.25;26.5;7;28.937926054;
43;4;28.6892166138;27.5;8;28.2863419056;4;30.25;28.4700603485;6;29.0429917574;
44;4;28.7288551331;27.5;8;28.3763147593;4;31.25;27.5;6;29.1488128901;
45;4;28.7693405151;27.5;9;28.4681358337;4;30.25;29.3482894897;7;29.2553098202;
46;4;28.8106613159;27.5;9;28.5617560148;4;30.8159866333;29.5;7;29.3624022007;
47;5;28.8527908325;27.5;7;38.6571173668;4;30.8371677399;29.6403102875;7;29.4700086117;
48;5;29.8957023621;28.5;7;39.1541521549;4;31.25;28.5874328613;8;29.5780466795;
49;5;30.9393692017;29.5;7;39.6271845102;4;31.6790523529;28.4816627502;8;29.6864336729;
50;5;30.9837532043;30.5;7;40.0748665333;5;33.3588943481;28.5;7;31.7950861454;
51;5;31.0288162231;31.5;7;40.4965207577;5;33.25;32.5;7;32.0339206457;
52;5;31.0745182037;32.5;8;40.8920730352;5;35.9506263733;32.5;8;32.2811565399;
53;5;31.1208095551;32.5;9;41.2619626522;5;37.0399856567;34.5;10;32.5370929241;
54;5;31.1676387787;32.5;9;41.6070477962;6;34.8312835693;38.5;9;32.8020130396;
55;5;31.2149524689;33.5;10;41.9127147198;6;35.0243034363;40.4829559326;9;33.0761767626;
56;5;31.2555847168;34.5;10;42.1921007633;6;34.25;42.0610656738;10;33.3598115444;
57;5;31.2947559357;35.5;12;42.4509990215;7;35.9943771362;39.2776756287;9;34.8037586212;
58;5;31.3343200684;36.5;12;43.8981621265;7;34.7000007629;40.4936141968;9;36.0451842546;
59;5;31.8597412109;38.0;12;45.1007847786;7;36.0510025024;40.7725067139;7;37.1185925007;
60;5;33.2888526917;36.3899993896;13;46.0950186253;7;36.2874984741;41.1766891479;8;38.0597851276;
61;5;32.6370162964;37.6872596741;13;46.9185757637;7;37.5734558105;40.9097442627;8;39.7535885572;
62;5;32.9202041626;38.9097442627;13;47.4583566189;7;37.6520233154;43.9527168274;8;40.3635114431;
63;5;34.0864639282;37.0;16;47.7184860706;7;37.7010726929;45.0348587036;8;40.9950014353;
64;6;32.2733154297;38.7999992371;15;47.9148783684;8;35.5999984741;47.0348587036;7;41.6475082636;
