Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
68;8;34.4000015259;44.2412223816;15;46.3790192604;6;31.1000003815;51.0;18;87.2251672745;
69;8;34.4000015259;45.3758354187;15;46.7839133739;6;31.2859992981;51.0;18;89.9074139595;
70;9;35.4000015259;45.3758354187;15;47.186205864;6;32.4486579895;52.0;19;92.3022489548;
71;9;36.0191345215;47.0285301208;16;47.5850121975;6;29.5097427368;53.0;19;94.210723877;
72;9;36.0742149353;49.0285301208;17;47.9795036316;6;30.5633831024;53.0;22;95.886598587;
73;10;36.129119873;51.0285301208;15;58.36891222;6;28.0014419556;54.0;22;97.296541214;
74;10;37.1837158203;54.0285301208;15;59.2525315285;6;29.0014419556;53.0;25;98.2862958908;
75;10;38.2378768921;56.3532791138;16;60.1022183895;7;26.2000007629;56.0;24;99.2282414436;
76;10;38.2914657593;58.4113807678;17;60.9143104553;7;26.2000007629;59.0;24;100.110719681;
77;10;38.3443641663;60.4703369141;18;62.6862289906;7;26.2000007629;62.0;24;100.925268173;
78;10;39.3964576721;63.5300216675;18;63.4964436293;7;27.2000007629;62.0;24;101.666831493;
79;10;40.4476356506;64.8307037354;20;64.2699202299;7;26.2000007629;64.0;25;102.33361721;
80;10;38.497795105;66.9707717896;21;65.007160902;7;26.2000007629;66.0;26;102.926662922;
81;10;37.5468482971;69.1063232422;25;65.7093368769;7;26.2000007629;68.0;28;104.449239254;
82;11;36.5947036743;71.2373428345;24;66.3781278133;7;29.2000007629;68.0;28;105.086200833;
83;12;35.6412963867;72.3638305664;23;67.0155674219;7;32.2000007629;69.0;29;105.693639278;
84;12;34.6865539551;73.485824585;24;67.5569821596;8;33.9500007629;71.0;27;116.282080054;
85;12;33.730430603;74.5564880371;24;68.0632835627;9;35.9500007629;74.0;26;117.362365842;
86;12;32.7728729248;75.6168899536;24;68.4549146891;9;34.9500007629;79.0;28;118.219322443;
87;12;31.8138504028;76.6767120361;25;68.7977254391;10;34.9500007629;84.0;28;119.037653923;
88;12;30.8533401489;77.7358322144;28;69.1423282623;10;36.9500007629;83.0;28;119.876528263;
89;12;29.8913192749;78.7940979004;28;69.4883933067;10;36.9500007629;86.0;29;120.738926172;
90;12;30.9277877808;79.7519683838;28;69.8355648518;11;35.6097717285;89.0;29;121.627842903;
91;12;31.9627380371;79.230682373;30;70.1834552288;11;36.7122764587;87.0;29;123.545720577;
92;12;32.9961853027;78.307723999;32;70.5316410065;11;35.0547943115;92.0;30;124.673824906;
93;12;34.0281333923;77.3829650879;34;70.8796637058;11;36.1376953125;97.0;30;126.861899853;
94;12;35.0586128235;76.4562835693;35;71.22702384;11;38.1376953125;95.0;30;128.291354179;
95;12;36.0876464844;75.5275650024;35;71.539277792;11;37.1376953125;99.4434204102;30;129.811468244;
96;12;37.1000022888;74.5967254639;35;71.8253653049;11;37.2000007629;103.860527039;34;132.42291224;
97;12;38.1000022888;73.6636962891;36;72.1120495796;11;39.2000007629;102.295951843;35;134.208432913;
98;12;39.1000022888;72.7284011841;36;72.3985953331;11;40.2000007629;104.743080139;35;136.078597784;
99;12;40.1000022888;72.790802002;36;72.684235096;11;42.2000007629;109.194328308;33;138.081279397;
100;12;41.1000022888;72.8508682251;38;73.3028197289;11;43.2000007629;109.64163208;34;140.212759614;
101;12;41.1000022888;72.9085845947;38;74.686473608;13;42.4000015259;113.076980591;31;157.468940735;
102;12;41.2350006104;73.1984558105;39;76.112486124;13;45.4000015259;116.493011475;31;160.895331383;
103;12;41.3682479858;73.4924468994;39;77.570949316;13;48.4000015259;122.076980591;33;164.341599941;
104;12;41.498966217;73.7881469727;39;79.0502653122;13;50.4000015259;127.076980591;34;167.790251017;
105;12;41.6264381409;74.0830841064;39;81.5374174118;13;52.4000015259;129.076980591;33;171.227936268;
106;12;42.7500152588;75.3747711182;39;84.0783817768;13;53.1500015259;122.937507629;33;174.643337727;
107;12;44.8691253662;78.6608047485;41;86.6616427898;13;52.1500015259;125.520401001;34;179.024767876;
108;12;46.983291626;80.9389343262;40;88.2759369612;14;54.1500015259;126.520401001;30;182.418125153;
109;12;48.0921173096;84.2071228027;38;90.2709213495;16;57.2000007629;120.271308899;27;185.748633385;
110;12;48.1953239441;87.4636383057;39;92.1668670177;16;55.2000007629;124.82006073;27;188.994811893;
111;12;48.2927093506;90.7070770264;38;93.9565253258;16;56.2000007629;125.82006073;28;192.033482552;
112;12;48.3841705322;92.9363555908;37;95.6357240677;16;57.2000007629;129.820068359;29;194.812903762;
113;12;48.4696807861;95.1507568359;37;97.2032251358;16;59.2000007629;129.820068359;32;197.430881619;
114;12;48.5492935181;97.3498764038;37;99.6604427099;16;59.2000007629;133.820068359;32;199.939544559;
115;12;49.6231269836;100.533638;38;101.149839759;16;59.25;135.820068359;31;202.311634898;
116;12;50.6913414001;103.702209473;39;102.455720425;16;60.25;135.820068359;34;205.527391911;
117;12;50.7541542053;106.137832642;29;103.725120664;16;61.25;138.820068359;32;207.654935479;
118;12;50.8118057251;109.343688965;30;104.717890263;16;64.25;139.370071411;32;209.615481496;
119;12;51.8645706177;111.820053101;31;105.670084476;17;65.25;139.370071411;33;211.411626101;
120;12;52.9000015259;113.070297241;31;106.546621084;17;65.25;142.370071411;37;213.05134356;
121;12;53.9000015259;114.312942505;32;107.391613483;17;65.3000030518;145.370071411;38;214.546505213;
122;12;54.9000015259;115.520851135;33;108.058579445;17;65.3000030518;143.370071411;41;215.802655339;
123;12;55.4542961121;116.669586182;34;108.728874207;17;61.2999992371;145.370071411;42;216.891214252;
124;12;55.4188652039;117.821937561;35;109.453718185;17;62.2999992371;151.370071411;43;217.799442887;
125;12;55.3869781494;118.977661133;36;110.231173515;17;62.25;149.370071411;44;219.593328118;
126;12;55.3582839966;120.136489868;35;111.058363438;18;61.25;155.370071411;43;230.422609091;
127;13;60.3582839966;117.298141479;35;111.907676935;18;63.25;162.370071411;44;231.624825001;
128;13;62.3582839966;117.462280273;38;112.772221327;18;66.1999969482;163.370071411;47;232.731113791;
129;13;65.3582839966;117.628578186;38;113.673056841;18;66.1999969482;171.370071411;48;233.820788145;
130;13;68.3582839966;117.796653748;38;114.60266614;18;69.1999969482;176.370071411;48;234.888153911;
131;13;71.3582839966;117.966140747;35;115.552565336;18;74.1999969482;177.058914185;50;235.928357482;
132;13;70.3582839966;120.136634827;36;116.513574839;18;76.1999969482;183.228607178;51;236.937414408;
133;13;70.3582839966;122.307731628;36;117.476170301;18;80.1999969482;189.404159546;52;237.912198424;
134;13;70.396484375;121.479026794;36;118.430889845;19;88.1500015259;188.585174561;51;238.850403309;
135;13;67.3668365479;122.650085449;38;119.368748426;19;88.1500015259;193.77116394;52;239.750480771;
136;13;67.3401489258;124.820503235;39;121.01130271;19;94.1500015259;196.961593628;53;240.611568809;
137;13;69.649017334;120.989860535;39;121.830622673;19;98.6149291992;199.155822754;51;242.433404446;
138;13;68.5941162109;121.074638367;43;122.614704609;19;100.150001526;202.353240967;54;244.276238203;
139;13;67.5447006226;124.158699036;43;123.359823704;19;107.150001526;205.353240967;56;245.108036399;
140;13;70.5002288818;119.158691406;41;124.06370306;19;110.150001526;210.353225708;56;246.886813998;
141;13;68.4602050781;121.158691406;42;124.725356579;19;113.150001526;222.353225708;60;247.723760128;
142;13;68.4241867065;126.158699036;44;125.344885349;19;117.150001526;220.353225708;62;248.562432051;
143;13;73.3917694092;119.158691406;44;125.923253536;19;129.349639893;232.733169556;63;249.403744459;
144;13;71.3625946045;121.158691406;42;126.462063313;19;132.741546631;239.733169556;64;250.248771906;
145;13;71.3363342285;126.158699036;43;126.96334362;20;135.569976807;247.733169556;63;251.098665237;
146;13;73.3126983643;131.158691406;44;127.429383278;20;137.600372314;249.733169556;64;251.954567075;
147;13;75.2914276123;136.158691406;44;127.818276882;20;137.71295166;254.733169556;65;252.817524076;
