Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
34;2;20.3999996185;14.0;7;28.0;4;20.6114807129;17.5;5;28.1155076027;
35;2;20.3999996185;14.0;7;28.0;4;19.6519775391;18.5;5;28.2053742409;
36;2;20.3999996185;14.0;7;28.0;4;18.6924190521;19.5;6;28.2949523926;
37;2;20.3999996185;14.0;7;28.0;4;17.7327289581;20.5;6;28.3840823174;
38;2;20.3999996185;14.0;8;28.0;4;16.7728366852;21.5;6;28.4726071358;
39;2;20.3999996185;14.0;9;28.0;4;15.8126735687;22.5;7;29.5603735447;
40;2;20.3999996185;14.0;10;28.0;4;17.8521690369;22.5;7;29.6672332287;
41;2;20.3999996185;14.0;9;28.0;4;18.25;23.5;8;29.7732400894;
42;2;20.3999996185;14.0;10;28.0;4;19.71808815;24.5;9;29.878252387;
43;2;20.3999996185;14.0;10;28.0;5;20.25;25.5;8;42.7321356535;
44;2;20.3999996185;14.0;11;28.0;5;22.7365188599;28.5;9;43.4722633362;
45;3;20.3999996185;15.0;9;48.0;5;25.7458534241;29.5;10;44.1575483084;
46;3;21.3999996185;17.0;9;49.2000007629;5;28.0784435272;31.2859687805;10;44.7852315903;
47;3;22.3999996185;19.0;10;50.2175998688;5;30.6286048889;31.5;11;45.3547365665;
48;3;22.3999996185;21.0;10;51.0579586029;6;30.25;34.3155822754;8;60.8673326969;
49;3;22.3999996185;23.0;11;51.736333847;6;33.25;36.3305511475;8;62.0757223368;
50;3;22.3999996185;24.0;11;52.273645401;6;36.7936096191;37.5;9;63.152988553;
51;3;22.3999996185;25.0;12;52.6926937103;6;38.8033485413;38.6069984436;9;64.102617979;
52;3;22.3999996185;26.0;12;53.0;6;40.25;40.5315170288;9;64.931730628;
53;3;22.3999996185;27.0;12;53.0;6;41.7051544189;41.5939178467;9;65.6369538307;
54;3;22.3999996185;28.0;12;53.0;6;44.3703842163;38.7025947571;9;66.0898915529;
55;3;22.3999996185;29.0;13;53.0;6;43.7874984741;40.6247634888;10;66.4809697866;
56;3;22.3999996185;30.0;13;54.0;7;44.9784011841;40.7025947571;10;66.8178261518;
57;3;23.3999996185;32.0;13;54.0199999809;7;45.0651359558;40.8762893677;10;67.0141291618;
58;3;24.3999996185;34.0;15;54.0401959419;7;46.1103477478;38.8762893677;10;67.0911499262;
59;3;24.6340446472;36.0;15;54.0605818033;7;45.1204109192;39.8762893677;11;67.1661323309;
60;3;24.6386299133;38.0;16;54.0811508894;7;45.4874992371;38.8762893677;11;69.1482026577;
61;3;24.6432590485;40.0;18;54.1018965244;8;45.2780952454;40.3922195435;11;70.7470396757;
62;3;24.6479263306;41.0;20;54.1228116751;8;47.5793380737;38.3899993896;11;72.026673913;
63;3;24.6526317596;42.0;20;54.1438889503;8;49.0964012146;38.6872596741;12;73.0405678749;
64;3;24.6573753357;43.0;20;54.1651208401;8;49.7547531128;38.9097442627;12;73.5412938595;
65;4;24.6621513367;44.0;16;69.1864993572;8;49.9435806274;39.0;13;73.5637768507;
66;4;25.3999996185;46.0;17;69.9580165148;8;47.9536972046;40.0;13;73.5862361193;
67;4;26.6718025208;48.0;17;70.649038434;8;46.2499961853;42.0;13;73.6086617708;
68;5;27.6766738892;49.5;16;71.2587230206;8;45.9738960266;42.0;14;73.6310436726;
69;5;28.6815719604;50.5;17;71.7895849943;9;44.9839668274;43.0;13;74.6533719301;
70;5;29.6864948273;51.5;17;72.2466278076;9;42.2499961853;47.0;13;74.7356365919;
71;5;30.6914424896;51.5;17;75.3954998255;9;41.9999961853;50.1729469299;14;74.820792079;
72;6;31.3189868927;52.9000015259;17;77.8765305281;9;41.9999961853;53.1884803772;14;74.9088977575;
73;6;32.7811012268;54.9751968384;16;80.788757205;9;41.9999961853;57.6729431152;14;75.0000050068;
74;6;34.1356430054;56.778427124;17;82.215149045;9;41.9999961853;60.6729431152;14;75.0941562653;
75;6;34.6959915161;58.3659172058;17;82.9649785161;9;40.9999961853;63.3380889893;16;75.191383481;
76;6;34.838558197;59.5999984741;17;83.254385829;10;40.0;65.3758010864;14;75.2917070389;
77;7;34.9021568298;60.5999984741;14;84.3653530478;10;39.4000015259;66.6729431152;14;75.3951339722;
78;7;35.651550293;61.5999984741;14;84.571426928;10;39.4000015259;69.4560546875;15;75.5016572475;
79;7;36.6566085815;62.5999984741;14;85.7047580481;10;39.4000015259;71.4986114502;16;75.611254096;
80;7;37.1849250793;63.5999984741;14;86.7534454465;10;40.3999977112;72.5427703857;16;75.7238849401;
81;7;37.0110092163;64.5999984741;15;87.7455086112;10;41.3999977112;73.5885238647;18;75.8394925594;
82;7;37.6497764587;65.5999984741;15;88.7128905058;10;42.3999977112;73.802482605;20;75.9580006599;
83;7;37.8698539734;65.5999984741;15;90.6884533167;10;43.3999977112;73.8658905029;21;76.0793133974;
84;7;38.3286895752;67.5999984741;17;91.5352233648;11;44.3999977112;74.8803253174;20;76.2033150196;
85;7;40.2896499634;67.5999984741;16;92.3880369067;11;45.3999977112;75.8946228027;20;76.3298690319;
86;8;39.6527366638;69.5999984741;12;108.380634427;11;46.3999977112;76.908782959;21;76.4430289268;
87;8;40.6516838074;72.5999984741;13;110.56590575;11;47.3999977112;78.5117645264;22;76.5543570518;
88;8;40.6512260437;73.5999984741;14;112.793904722;11;48.3999977112;79.5117645264;19;76.667914629;
89;8;41.6512985229;74.5999984741;13;115.039250791;11;49.3999977112;80.3675384521;20;76.7834908962;
90;8;43.6518440247;76.5999984741;16;117.272352397;12;50.3999977112;79.9484405518;21;91.9008569717;
91;9;43.6528129578;76.5999984741;16;119.458852053;12;52.3999977112;80.0306015015;22;93.0697665215;
92;9;44.6541557312;77.5999984741;17;121.560639441;12;53.9999961853;80.1138381958;24;94.1449353695;
93;9;44.6558303833;76.5999984741;18;123.538764119;12;53.9999961853;81.1979751587;27;95.1155424118;
