Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
65;6;30.5375003815;42.9622993469;12;74.6327629089;3;19.625;22.5;10;30.0;
66;6;32.5374984741;42.9367218018;12;74.8799999952;3;19.625;22.5;10;30.0;
67;6;33.5374984741;45.9249992371;13;76.0254310369;3;19.625;22.5;11;30.0;
68;7;36.5374984741;46.9249992371;12;96.2277240753;3;19.625;22.5;10;30.0;
69;7;39.5374984741;48.9249992371;13;97.6495196819;4;20.625;23.5;9;31.0;
70;7;40.0875015259;53.9249992371;12;98.9098652601;4;21.625;24.5;10;31.1699999571;
71;7;41.0875015259;55.7616081238;13;100.01532042;4;21.625;26.5;10;32.3669109344;
72;7;41.0875015259;56.8635177612;14;100.982438922;4;22.625;29.5;10;32.6242704391;
73;7;40.0875015259;60.5816802979;14;101.833275318;4;23.625;32.0;10;32.916413188;
74;7;41.0875015259;60.7277412415;14;105.732812285;4;23.625;33.0;10;33.2471954823;
75;7;40.5135955811;63.8270263672;15;109.023295403;4;23.625;34.0;10;33.6204652786;
76;8;41.8719558716;63.9596176147;14;114.286121845;3;21.625;30.0;12;31.1558350325;
77;9;42.170135498;68.1243438721;13;117.08128643;3;21.625;30.0;12;31.1887089014;
78;9;43.4160308838;72.3196258545;15;119.305441737;4;21.625;28.5943546295;11;31.2221269608;
79;10;44.5500030518;73.5584564209;14;120.780578852;5;21.625;27.5;10;31.2560760975;
80;10;44.5500030518;74.8449859619;14;122.30631876;5;21.625;27.5;11;31.2905418873;
81;10;43.5500030518;79.1481323242;15;123.81200707;5;21.9153709412;27.5;11;32.3384139538;
82;10;45.5500030518;77.4660110474;15;125.381154776;5;21.8500003815;28.6692066193;11;33.1674218178;
83;10;44.5500030518;78.7961502075;15;128.047502756;5;22.0255012512;28.3899993896;11;33.8120602369;
84;11;44.5500030518;81.7954025269;13;129.85372448;5;22.1592674255;28.6872596741;11;34.3082393408;
85;11;47.5500030518;78.1353759766;13;132.720059395;5;22.2593841553;28.9097423553;11;34.5410284996;
86;12;47.5500030518;81.3737487793;14;134.659223676;5;22.2999992371;29.0;11;34.5943322182;
87;12;47.5500030518;87.0314788818;14;136.601929903;5;22.2999992371;29.0;11;36.6486299038;
88;12;49.5500030518;86.5281448364;16;138.516563296;5;24.2999992371;31.0;11;36.803881526;
89;13;56.3618621826;90.4008255005;15;140.372731924;5;26.6833724976;33.0;12;36.9641914368;
90;13;57.6131401062;94.8799285889;15;143.143609166;6;26.6960086823;35.0;11;37.1295826435;
91;13;58.7844390869;92.8942642212;16;144.957833767;6;26.2999992371;37.0;11;37.3000636101;
92;13;58.3733901978;96.1793746948;18;146.671439886;6;26.2999992371;39.0;11;37.4756268263;
93;13;58.7467498779;97.4563598633;18;148.278933287;6;26.2999992371;39.0;11;37.6562474966;
94;13;55.9028625488;102.516960144;19;149.781303167;6;26.2999992371;39.0;11;37.8418827057;
95;13;55.0488510132;108.577919006;17;151.184886694;6;26.2999992371;39.0;11;38.0324691534;
96;13;57.1299591064;109.431671143;16;152.49991107;6;26.2999992371;39.0;10;38.2279227972;
97;13;56.6633796692;113.604034424;17;153.738983154;6;26.2999992371;39.7011871338;8;38.4281377792;
98;13;55.7841567993;120.789375305;18;154.915724516;6;26.2999992371;39.0;9;38.6329849958;
99;13;57.866569519;121.988365173;20;156.043635011;7;26.2999992371;39.0;6;38.8423116207;
100;13;57.0092697144;126.20148468;21;156.991431236;7;26.2999992371;39.0;6;39.0559403896;
101;13;56.1019363403;133.429016113;21;157.734308958;7;26.2999992371;39.0;6;39.2736686468;
102;13;57.175655365;137.670928955;22;158.515696883;7;26.2999992371;39.0;7;39.4952690601;
103;13;56.2532272339;146.729568481;23;159.3333956;7;26.2999992371;39.0;7;39.7204887867;
104;13;56.3344154358;154.1275177;28;160.184008956;7;26.2999992371;39.0;7;39.9490507841;
105;13;57.418888092;158.543502808;29;161.062888622;7;26.2999992371;39.0;8;40.1806536913;
106;13;59.5061798096;160.974884033;30;161.964157343;7;26.2999992371;39.0;9;40.4149731398;
107;13;60.595703125;163.418304443;31;162.880827665;7;26.2999992371;39.0;9;40.6516633034;
108;13;61.6867637634;165.233917236;34;163.80502367;7;26.2999992371;39.0;9;40.8903582096;
109;13;62.7785720825;166.727996826;36;164.728287935;7;26.2999992371;39.0;9;41.1306741238;
110;14;63.8702850342;168.221008301;35;165.64196682;7;26.2999992371;39.0;9;41.3722116947;
111;14;65.9610366821;166.707855225;36;167.160040855;7;26.2999992371;39.0;10;41.6145589352;
112;14;66.111289978;168.461456299;38;168.689602137;7;26.2999992371;39.0;10;41.8572940826;
113;15;68.2626419067;167.212051392;38;170.219284296;6;26.2999992371;39.0;9;42.0999884605;
114;16;69.4139251709;165.953445435;35;174.116457701;5;24.2999992371;34.0;9;39.9015948772;
115;16;70.0640792847;168.679885864;30;175.771930218;5;24.2999992371;34.0;9;40.0804460049;
116;16;72.2120895386;168.386367798;35;177.403712749;5;24.2999992371;34.0;10;40.257928133;
117;16;72.6269989014;168.068649292;37;179.003398418;5;24.2999992371;34.0;11;40.4336974621;
118;16;71.7850723267;170.723388672;36;180.563628435;5;24.2999992371;34.0;10;40.6074202061;
119;16;72.9391708374;171.348022461;37;182.078098774;5;24.2999992371;34.0;12;40.7787766457;
120;16;73.0886459351;170.940841675;37;183.541535378;5;24.2999992371;34.0;13;40.9474613667;
121;16;72.2330093384;173.500839233;43;184.94966054;5;24.2999992371;34.0;14;41.1131885052;
122;17;73.3718032837;173.027603149;39;186.299138546;5;24.2999992371;34.0;10;41.2756912708;
123;17;73.5047302246;172.52130127;39;187.587528467;5;24.2999992371;34.0;10;41.4347248077;
124;17;72.6315460205;174.982513428;39;188.789010525;5;24.2999992371;34.0;11;41.5900688171;
125;17;74.7350692749;172.310043335;42;189.804553032;5;24.2999992371;34.0;11;41.7415263653;
126;17;73.8492202759;172.621398926;43;191.777220726;5;24.2999992371;34.0;11;41.8889260292;
127;17;73.9445037842;176.916229248;43;192.764883041;5;24.2999992371;34.0;12;42.0321221352;
128;17;78.0353164673;174.794464111;46;193.709141731;5;24.2999992371;34.0;12;42.1709940434;
129;17;81.2139892578;174.517456055;47;194.609402061;5;24.2999992371;34.0;12;42.2955703735;
130;17;84.3219680786;173.637695312;45;195.465673447;5;24.2999992371;34.0;9;42.3858294487;
131;17;88.4057617188;173.75479126;46;197.27847445;5;24.2999992371;34.0;7;42.4727659225;
132;19;93.4852676392;173.346496582;40;230.061906219;3;4.0;10.0;8;10.556347847;
133;19;97.5558929443;176.513824463;42;230.939047337;3;4.0;10.0;8;10.9699430466;
134;19;101.72795105;179.619598389;46;231.793942451;3;4.0;10.0;8;11.3896336555;
135;19;106.2318573;183.721099854;46;232.626332045;3;4.0;10.0;8;11.8120117188;
136;19;110.313568115;187.133972168;45;233.423356533;3;4.0;10.0;8;12.2335381508;
137;19;113.891830444;189.8984375;50;234.091951132;3;4.0;10.0;8;12.650657177;
138;19;117.007324219;191.079788208;54;234.751297951;3;4.0;10.0;8;13.05991745;
139;19;119.07194519;192.163162231;54;235.400368571;3;4.0;10.0;8;13.4580841064;
140;19;121.135627747;193.241958618;49;236.038261414;3;4.0;10.0;6;13.8422431946;
141;19;123.198265076;194.316238403;48;236.664202571;3;4.0;10.0;6;14.2098817825;
142;22;124.259757996;209.241958618;49;242.277541041;1;2.0;5.0;6;9.55894756317;
143;23;127.320075989;220.361953735;48;242.877743721;1;2.0;6.0;6;9.88787555695;
144;23;131.370529175;229.361953735;51;243.464387178;1;2.0;7.0;6;10.1955986023;
145;24;134.936904907;235.361953735;51;254.196470261;0;0;0;0;0;
