Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
75;12;45.2000007629;74.9272079468;12;96.6408863068;7;31.2269458771;52.7000007629;19;59.859043479;
76;12;46.2000007629;77.9854660034;13;97.2418994904;7;31.3333683014;53.7000007629;19;61.2289528847;
77;12;44.2000007629;83.0470733643;14;97.675714016;7;32.438117981;55.2509498596;19;61.6117402315;
78;12;44.2000007629;88.1120681763;15;97.9295018911;7;30.5030288696;58.2614059448;19;61.9860157967;
79;12;44.2000007629;93.180480957;15;98.1915204525;7;30.5030288696;58.2719459534;22;62.3503555059;
80;12;44.2000007629;95.5957565308;16;99.4615851641;7;28.5030288696;60.2825622559;22;62.7035268545;
81;12;45.2000007629;98.7307891846;17;99.7144435644;7;29.5030288696;61.2932510376;18;63.044506669;
82;12;46.2000007629;101.869720459;17;99.9772722125;7;28.9203777313;62.3040084839;19;63.3724861145;
83;12;46.2000007629;105.012390137;20;100.24942255;7;27.9350509644;61.3148345947;20;63.6868746281;
84;12;46.2000007629;108.158592224;21;100.530195177;7;26.9493770599;61.325717926;21;63.9872905016;
85;12;46.2000007629;111.30809021;23;100.818836868;7;26.9633464813;62.3366584778;21;64.2735483646;
86;12;46.2000007629;113.909423828;24;101.11453855;7;26.2375240326;63.3476524353;21;64.5456411839;
87;12;46.2000007629;116.057266235;25;101.416437805;7;25.9060726166;64.3586883545;23;64.8037214279;
88;12;46.2000007629;118.208213806;24;101.723621309;7;25.9703521729;65.3697738647;24;65.0480769873;
89;12;47.2000007629;117.361808777;26;102.035130501;7;22.7879562378;68.380897522;24;65.2555507421;
90;12;46.2000007629;122.524597168;27;102.349967718;7;22.0;70.9920501709;22;65.434455514;
91;12;46.2000007629;124.744979858;27;102.667106986;7;22.0;73.0032348633;23;65.6022925377;
92;12;46.2000007629;126.966972351;30;102.985502243;7;22.0;74.9568481445;21;65.7596584558;
93;12;46.2000007629;129.189849854;32;103.304101944;7;22.0;76.0131759644;21;65.8355958462;
94;13;46.2000007629;131.412872314;36;103.621858954;7;24.0;72.0244140625;22;65.8803979158;
95;13;46.2000007629;133.635299683;37;103.93774569;7;22.0;74.03565979;24;65.9252635241;
96;13;49.5937767029;136.856414795;39;104.250766098;7;22.0;76.046913147;22;65.9701725245;
97;13;51.6250762939;140.075531006;40;104.559967995;7;24.0;72.0581588745;22;66.0151048899;
98;13;53.0559997559;143.291976929;39;104.864455879;7;22.0;74.0694046021;23;66.0600404739;
99;13;54.4864463806;143.505126953;40;105.163398802;7;22.0;76.0806350708;23;66.1049592495;
100;13;53.716342926;146.714385986;41;106.456041217;7;24.0;72.0918426514;24;66.1498410702;
