Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
115;12;39.2782287598;109.314147949;35;83.2603418827;13;54.7634315491;119.0;19;163.777158856;
116;12;39.5999984741;111.506263733;36;84.8960973024;13;55.2307624817;124.0;20;167.021314144;
117;12;40.5999984741;114.696517944;39;86.5277026892;13;55.690071106;129.0;21;171.081312537;
118;12;41.5224113464;118.883911133;40;88.1466057301;13;57.1364593506;135.0;24;175.090198517;
119;12;42.6010742188;120.067459106;41;89.7450544834;13;60.5655708313;138.0;28;177.95124507;
120;13;41.6777114868;124.246276855;40;91.3162074089;13;60.8587989807;142.0;29;180.74621284;
121;13;42.7519760132;126.419555664;40;92.8541767597;13;63.1331939697;146.0;28;183.708936572;
122;13;44.3235664368;126.586608887;41;94.3540240526;13;63.387348175;147.0;29;186.455185056;
123;13;43.3922309875;129.746826172;43;95.8117177486;13;64.0478897095;150.0;35;189.433804512;
124;13;43.4577713013;133.399749756;43;97.2240759134;13;65.3518371582;152.0;34;192.637795329;
125;13;43.02003479;131.844726562;44;98.5887033939;13;66.628578186;155.0;34;195.751732469;
126;13;42.078918457;134.058731079;43;99.9039219618;13;67.8788833618;158.0;32;198.961261153;
127;13;42.1343727112;136.267715454;46;102.168715239;13;70.1039581299;153.813980103;33;202.211758733;
128;13;45.186378479;135.471618652;45;103.47767067;13;67.8271789551;154.902008057;33;205.438380957;
129;13;45.7349700928;138.670425415;44;104.633428931;13;69.0338897705;152.902008057;33;208.467235923;
130;13;45.7802047729;142.387054443;46;105.730286598;13;69.1898040771;150.902008057;31;211.298218012;
131;13;46.822177887;142.815948486;43;106.804382086;13;68.3163452148;149.088043213;34;213.937894344;
132;13;45.861000061;146.225616455;42;107.855453014;13;69.4337081909;150.088043213;33;216.26357007;
133;15;46.8968009949;145.615509033;38;108.88367784;13;71.4337081909;151.088043213;31;218.183130741;
134;15;46.4393882751;147.985473633;39;109.823345661;13;74.663734436;153.088043213;32;219.867604733;
135;16;46.9500007629;147.312469482;30;139.640152931;13;67.7508621216;133.633880615;24;192.409193993;
136;16;48.9500007629;148.578674316;31;140.333978415;13;69.8399276733;134.710113525;16;193.747233152;
137;16;52.9500007629;150.831588745;31;141.033403158;13;71.930770874;133.710113525;16;194.889695168;
138;16;55.0139961243;153.071563721;32;141.737423182;13;74.0232315063;133.710113525;18;195.863550901;
139;16;57.058719635;155.299057007;32;143.44510746;13;74.1706848145;133.710113525;18;196.545538425;
140;16;62.3763923645;161.514602661;33;144.275526881;13;76.865814209;131.710113525;19;197.054501772;
141;16;65.6792297363;166.718780518;34;145.05213666;13;78.9619674683;130.710113525;21;197.401125669;
142;16;68.2739334106;171.864135742;36;145.799808502;13;81.0589294434;130.0;22;197.644258976;
143;17;68.5935287476;176.968643188;38;146.574884534;13;83.1564712524;130.0;24;197.88855195;
