Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
19;2;27.1605415344;12.5;5;29.659784317;2;25.6910476685;12.5;3;29.3683638573;
20;2;27.3469028473;12.5;5;30.0950183868;2;25.810508728;12.5;3;29.7891087532;
21;2;27.5427589417;12.5;5;30.5487289429;2;25.9367332458;12.5;3;30.2302284241;
22;2;27.7469291687;12.5;5;31.0176672935;2;26.0690689087;12.5;3;30.6889076233;
23;2;27.957950592;12.5;5;31.4980173111;2;26.2066726685;12.5;3;31.1617178917;
24;2;28.1741065979;12.5;5;31.9854974747;2;26.3485145569;12.5;3;31.6446905136;
25;2;28.3934745789;12.5;5;32.4754953384;3;26.4934082031;12.5;2;32.1334280968;
26;2;28.6139717102;12.5;5;32.9632344246;3;24.5;13.5;2;32.6232500076;
27;2;28.8334560394;12.5;5;33.4439563751;3;24.5;14.5;3;33.1093654633;
28;2;29.049779892;12.5;6;33.9131059647;3;25.5;12.5;3;33.587059021;
29;2;29.2608985901;12.5;6;34.3665065765;3;24.5;13.5;3;34.0518712997;
30;2;29.4649276733;12.5;6;34.8005027771;3;23.5;13.5;3;34.4997692108;
31;2;29.6602249146;12.5;6;35.2120742798;3;23.5;14.5;3;34.927280426;
32;2;29.8454322815;12.5;6;35.5988998413;4;23.4781837463;15.5;1;41.4113130569;
33;2;30.0195045471;12.5;6;35.9593791962;4;21.4781837463;17.5;2;42.1806535721;
34;2;30.1817207336;12.5;6;36.2926120758;5;20.5;19.5;1;43.9231090546;
35;2;30.3316764832;14.5;5;36.5983467102;5;21.5;21.8999996185;1;44.7249377966;
36;2;30.4692554474;16.5;4;36.8768987656;5;23.0;23.936000824;1;45.5002088547;
37;2;30.5946044922;18.5;5;37.1290569305;5;25.0;22.9748477936;5;46.2469495535;
38;2;30.7080764771;20.5;5;37.3559846878;6;28.0;23.9748477936;3;61.9638595581;
39;2;30.8101921082;22.5;6;37.5591192245;6;32.4212684631;26.9748477936;3;63.4002718925;
40;2;30.9016036987;22.5;4;37.7400808334;6;36.1834106445;30.9748477936;4;64.7254737616;
41;2;30.9830360413;22.5;4;37.900595665;6;36.2221832275;34.9748458862;5;65.9390579462;
42;2;31.055267334;22.5;5;38.0;6;39.2635955811;36.5;5;67.044418335;
43;2;31.1000003815;22.5;5;38.0;6;41.9868850708;37.5;5;67.9659454823;
44;2;31.1000003815;22.5;6;38.0;6;42.8270721436;38.5;6;68.7553684711;
45;2;31.1000003815;22.5;6;38.0;7;43.5574836731;39.5;4;69.4748618603;
46;2;31.1000003815;22.5;6;38.0;7;43.7703971863;40.5;5;70.1323204041;
47;2;31.1000003815;22.5;7;38.0;7;41.9660949707;42.5;6;70.6418092251;
48;2;31.1000003815;22.5;6;38.0;7;41.145072937;44.5;6;71.0250780582;
49;3;31.1000003815;22.5;6;38.0;7;40.4080276489;46.5;7;71.3998739719;
50;3;31.1000003815;22.5;6;38.0;7;40.5557632446;48.5;8;71.7666909695;
51;3;31.1000003815;22.5;6;38.0;8;40.6891975403;50.5;8;73.1259629726;
52;3;31.1000003815;22.5;6;38.0;8;43.8092956543;50.5;8;73.533534646;
53;3;31.1000003815;22.5;5;38.0;8;45.0210571289;50.5;9;73.9169434309;
54;3;31.1000003815;22.5;6;38.0;8;45.0924530029;50.5;11;76.5212900639;
55;3;31.1000003815;22.5;6;39.3900003433;9;46.6329154968;52.0;10;78.7849353552;
56;3;31.7255020142;23.0;6;40.5194797516;9;48.093662262;53.3899993896;10;80.7569234371;
57;3;32.2337646484;23.3899993896;6;41.424580574;9;47.4857406616;53.6452598572;10;83.3990695477;
58;3;32.6410598755;23.6872596741;8;42.1435155869;9;48.7397460938;55.0026702881;12;84.7270579338;
59;3;32.9645843506;23.9097423553;8;43.5640974045;10;50.8845443726;57.2439041138;11;85.6376731396;
60;3;34.153842926;25.0;8;43.8132238388;10;52.9752578735;56.41198349;12;86.5577481985;
61;3;35.2479476929;26.0;9;44.0356421471;10;50.5518226624;59.5980262756;13;87.378942728;
62;3;35.3295059204;27.0;9;44.1235535145;10;49.6546859741;62.8026351929;12;88.1902285814;
63;3;35.3499984741;28.0;8;44.1671074629;10;49.7423400879;61.0260696411;13;89.0351923704;
64;3;35.3499984741;29.0;10;44.211841464;10;48.7423400879;64.8026351929;13;89.9109759331;
65;5;35.3499984741;29.0;8;44.2577478886;11;51.7000007629;65.8026351929;12;90.8137131929;
66;5;35.3499984741;29.0;8;44.3048160076;11;52.7000007629;67.8026351929;14;91.7384774685;
67;5;35.3499984741;29.0;8;44.3530313969;12;53.7000007629;69.8026351929;13;109.929289222;
68;5;35.3499984741;29.0;8;44.4023760557;12;55.7000007629;72.6724624634;12;112.216088176;
69;5;35.3499984741;30.0;9;44.4528282881;12;57.7000007629;74.7182159424;10;114.359417439;
70;5;35.3499984741;31.0;9;44.5043625832;12;53.7000007629;79.7655410767;10;116.336638212;
71;5;35.3499984741;32.0;10;45.5569496155;12;51.7000007629;84.8143997192;10;118.137727499;
72;5;36.3499984741;34.0;9;45.7905560732;12;49.7000007629;89.8647537231;11;119.763084888;
73;5;37.3499984741;36.0;9;48.0876320601;12;48.2000007629;94.9165420532;12;121.220481873;
74;5;38.25;38.7000007629;11;50.0112591982;12;48.2000007629;99.9696960449;14;122.522052288;
75;5;38.9649581909;41.2291984558;12;51.6253702641;12;48.2000007629;105.024154663;16;123.681886196;
76;6;39.5216140747;43.6162643433;10;53.0008126497;12;48.2000007629;110.079818726;16;124.619814157;
