Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
62;8;39.6112098694;65.7011108398;15;103.972126961;4;23.5826625824;31.0;20;58.0628213882;
63;8;41.7103881836;68.7011108398;17;105.006076097;4;23.0641345978;32.0;20;58.4758720398;
64;8;45.0018234253;72.5999984741;18;105.080541849;4;22.8570709229;33.0;19;58.8412618637;
65;8;47.2121620178;75.5999984741;17;105.156692505;4;22.939283371;34.0;20;59.1616458893;
66;8;48.3226547241;78.5999984741;18;105.234512687;4;23.0113697052;35.0;21;59.4403705597;
67;9;49.0610961914;82.2804794312;17;106.313982844;4;23.0740833282;36.0;21;59.6811828613;
68;9;52.0646896362;83.2984313965;18;106.465079308;4;23.1282672882;37.0;21;59.8879890442;
69;9;52.1895103455;86.9225387573;18;106.686944604;4;23.1747989655;38.0;23;60.0;
70;9;52.618434906;89.2470474243;19;110.56025362;4;23.2000007629;39.0;24;61.7999992371;
71;9;53.8439826965;91.9779968262;20;113.697470665;4;22.3080005646;38.0;24;63.2535362244;
72;9;54.6000709534;95.3128356934;20;116.225392461;4;22.4014415741;38.0;24;64.417591095;
73;10;55.4705543518;97.0192260742;20;119.272096038;4;21.4814510345;37.0;26;65.1052589417;
74;10;57.2044868469;99.1343917847;23;120.365994334;5;22.5493412018;38.0;24;66.6133613586;
75;10;57.3300895691;104.255638123;24;121.08424437;5;23.0065040588;38.0;25;67.1799999475;
76;10;59.0952262878;106.383026123;23;121.761530638;5;23.0499992371;39.0;25;67.3902759552;
77;10;60.808971405;105.516571045;24;122.330782771;5;24.0499992371;41.0;25;67.6350997686;
78;10;59.9300880432;110.656196594;28;122.931926489;5;25.0499992371;43.0;25;67.9190331697;
79;10;61.0596694946;114.801841736;29;124.565102458;5;23.0499992371;45.0;26;68.2468225956;
80;10;63.1979751587;111.953300476;30;125.25017333;5;22.0499992371;47.0;26;68.6232366562;
81;10;60.3452148438;118.110366821;32;125.96688652;5;22.0499992371;49.0;26;69.0528378487;
82;10;60.605556488;121.272750854;33;126.714447618;5;23.0499992371;48.0;26;69.539678812;
83;11;61.7730560303;118.440063477;33;127.491696477;5;24.0499992371;48.0;28;70.0869245529;
84;12;57.9497032166;124.611877441;32;128.297089577;5;23.0499992371;47.0;27;70.696410656;
85;12;58.1353683472;127.787704468;33;129.128688455;5;24.0499992371;47.0;26;71.3681659698;
86;13;59.3298149109;124.966941833;33;129.984157324;5;25.0499992371;47.0;26;72.0999455452;
87;13;55.5326881409;131.148971558;34;130.860771179;5;26.0499992371;47.0;26;72.886841774;
88;14;54.743522644;137.333129883;33;131.755435228;5;26.0999984741;48.0;26;73.7210559845;
89;14;56.9616889954;134.518676758;33;133.66471684;5;26.0999984741;49.0;26;74.5919094086;
90;14;54.1864585876;141.308853149;34;135.614887118;5;26.0999984741;50.0;28;75.4861631393;
91;14;57.4169502258;145.505737305;34;139.44256568;5;26.0999984741;51.0;28;76.3886613846;
92;14;60.9622421265;147.701766968;36;143.787531734;5;26.0999984741;52.0;28;77.2832641602;
93;14;63.556602478;150.896179199;36;146.720508337;5;24.0999984741;54.0;29;78.1539640427;
94;14;65.0643920898;157.088226318;37;149.266398907;5;23.0999984741;56.0;30;78.9860286713;
95;14;68.5366363525;160.068527222;37;151.482994676;5;22.0999984741;58.0;30;79.7670049667;
96;14;70.6428070068;162.189834595;38;151.343129396;5;22.0499992371;60.0;30;80.4874315262;
97;14;73.6019439697;167.266082764;39;152.637716174;5;22.0499992371;62.0;30;81.1411867142;
98;14;73.3380584717;173.319839478;40;156.257005334;5;22.0499992371;64.0;31;81.7254571915;
99;14;75.1031112671;179.375839233;41;159.573459029;5;22.0499992371;66.0;32;82.2403945923;
100;14;77.8063659668;182.434112549;42;162.209527493;5;23.0499992371;65.0;32;82.6885662079;
