Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
20;2;19.9557533264;12.5;5;26.5072057247;2;20.2442111969;12.5;4;27.9515185356;
21;2;19.9641208649;12.5;6;26.5447772741;2;19.625;13.5;5;28.1595556736;
22;3;19.972574234;12.5;5;26.5827050209;2;20.335899353;12.5;4;28.3756833076;
23;3;19.625;12.5;5;26.6209636927;2;19.625;13.5;5;28.5992991924;
24;3;19.625;12.9862890244;6;26.6595270634;2;20.4348430634;12.5;6;28.8296794891;
25;3;19.625;12.9978580475;6;26.6983678341;2;20.4866771698;12.5;7;29.0659828186;
26;3;18.0071334839;13.5;6;26.7374579906;2;20.5398464203;12.5;7;29.3072590828;
27;3;18.625;13.3687286377;6;26.7767686844;3;20.5941333771;12.5;6;29.5524601936;
28;3;19.625;13.3883838654;7;26.8162703514;3;19.625;13.5;6;29.8004574776;
29;3;18.0336608887;13.5;6;26.8559328318;3;18.625;13.5;6;30.0500593185;
30;3;17.0425853729;14.5;6;26.8957252502;3;17.7612628937;14.5;6;30.3000340462;
31;3;16.0515384674;15.5;6;26.9356164932;3;16.8175086975;15.5;6;30.5491337776;
32;3;15.0605134964;16.5;5;26.9755750895;3;15.8735551834;16.5;6;30.7961182594;
33;3;14.4445037842;17.5;5;28.0155692101;3;15.3041267395;17.5;6;31.0397801399;
34;4;15.453502655;19.0;3;45.435566783;3;15.3589506149;18.5;6;31.278968811;
35;4;18.0;18.5;4;46.4834662676;3;15.4127674103;19.5;6;31.5126113892;
36;4;20.7584686279;17.5;4;47.4350728989;3;15.4653377533;20.5;7;31.7397313118;
37;4;21.3234882355;18.5;4;48.2945594788;3;15.5164394379;21.5;7;31.95946455;
38;4;22.0;19.3967971802;4;49.0707181692;3;15.5658798218;22.5;7;32.171069622;
39;4;23.9075756073;17.5;4;49.7752075195;3;14.0;24.5;7;32.373934269;
40;4;24.5913181305;18.5;4;50.4209787846;3;14.0;26.5;7;32.5675787926;
41;4;24.1389598846;20.5;5;51.0210192204;3;14.0;28.5;7;33.7516541481;
42;4;24.1991729736;21.6664905548;7;51.4658968449;3;15.0;30.5;8;34.0559381247;
43;4;22.1586723328;13.5;6;30.5717926025;4;16.0;32.5;8;55.6157582998;
44;4;22.3362922668;16.5;6;30.9527516365;4;17.0;34.163230896;8;55.9325504303;
45;4;22.9643688202;19.5;6;31.3585135937;4;18.0;36.2713775635;9;56.2578728199;
46;4;23.0556659698;22.5;7;31.7882828712;5;20.0;34.5055122375;8;56.5933595896;
47;4;23.1523647308;25.5;7;32.2406680584;5;20.0;34.4672546387;9;56.9406707287;
48;4;23.2541503906;27.5;7;32.7136428356;5;21.0;36.5552902222;9;57.3014249802;
49;4;23.3605690002;27.5;7;33.2045331001;5;23.0;35.2359962463;10;57.6771280766;
50;4;22.8781604767;28.5;7;33.7100412846;5;24.5741729736;37.0989837646;11;58.0690953732;
51;4;22.2259521484;28.5;7;34.2263073921;5;27.0;37.0989837646;11;58.4113030434;
52;4;21.625;30.5;8;34.7490124702;5;28.3999996185;38.0989837646;11;59.7539470196;
53;4;21.625;31.8707046509;9;35.2735147476;5;28.1883869171;41.5;12;60.2517231703;
54;4;23.2495803833;28.5;9;35.7950184345;5;29.3999996185;42.5;12;60.78929317;
55;4;23.4216537476;28.5;10;36.308754921;5;29.6463413239;43.5;13;61.3667216301;
56;4;24.1694698334;27.5;11;36.8101687431;5;29.7762622833;45.5;15;61.9834620953;
57;4;23.635137558;28.5;12;37.2950897217;7;29.5509033203;47.5;13;62.6383115053;
58;4;23.7369728088;28.9542732239;12;37.7598795891;7;29.3999996185;46.5;15;63.3293936253;
59;4;23.8344078064;28.9701461792;13;38.2015376091;7;30.8590564728;45.5;15;64.0541701317;
60;4;23.9267692566;28.9857254028;13;38.6157541275;7;29.3999996185;46.5;15;64.8094837666;
61;4;24.0135440826;29.0;14;38.9750175476;7;29.9767093658;48.286315918;16;65.591625452;
62;4;24.094379425;29.0;15;39.307009697;8;30.0869598389;49.4908180237;15;66.3964281082;
63;4;22.094379425;30.0;15;39.6115064621;8;29.3999996185;48.7129135132;14;68.2193677425;
64;4;21.625;31.0;15;39.8888463974;8;32.1883888245;47.7129135132;15;70.0556697845;
65;4;22.625;29.0;18;40.1398382187;8;35.4000015259;47.7129135132;16;70.9304072857;
66;4;21.625;30.0;18;40.3656587601;8;36.3593711853;49.5;16;71.8091781139;
67;4;22.625;29.0;18;40.5677556992;8;35.6621818542;52.5;16;72.6869823933;
68;4;23.625;29.0;19;40.747756958;9;35.8526763916;55.5;15;74.5588710308;
69;4;21.625;30.0;19;40.9073896408;9;35.9549331665;57.4000015259;16;75.4699918032;
70;4;21.625;31.0;19;42.3665652275;9;37.9618339539;57.4000015259;16;76.3676000834;
71;4;22.5384998322;31.0;19;43.5643332005;9;38.730594635;58.2320976257;16;79.6765643358;
72;4;22.0255012512;33.3899993896;20;44.5365951061;9;37.276725769;60.436000824;17;82.5932658911;
73;4;22.8743247986;33.6872596741;20;45.321377039;10;38.2010726929;64.3694076538;17;85.1602666378;
74;4;23.9874687195;31.9097423553;21;45.8063538074;10;39.3918838501;66.4408798218;16;87.4244817495;
75;4;22.2999992371;34.0;21;46.0783290863;10;41.8117637634;59.9239578247;16;89.282877326;
