Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
40;2;27.8929862976;20.5;5;31.1156759262;2;12.0;22.5;6;25.0;
41;2;28.0020542145;22.5;5;31.353228569;2;12.0;23.5;7;25.0;
42;2;28.1089515686;22.5;6;31.5849161148;2;12.0;24.5;8;25.0;
43;2;28.2132110596;22.5;6;31.8097963333;2;12.0;25.5;7;25.0;
44;2;28.3144073486;22.5;6;32.0270428658;2;12.0;26.5;8;25.0;
45;2;28.4121704102;22.5;7;32.2359538078;2;12.0;27.5;9;25.0;
46;2;28.5061798096;22.5;7;32.4359588623;3;13.0;29.2000007629;8;26.0;
47;2;28.5961818695;22.5;7;32.6266198158;3;14.0;29.5;9;26.0900000334;
48;2;28.6819801331;22.5;9;32.8076286316;3;15.2452497482;27.5;9;26.1871190071;
49;2;28.7634315491;22.5;9;32.9788007736;3;14.2671012878;28.5;10;26.2917383909;
50;2;28.8404598236;22.5;9;33.1400680542;3;14.290640831;29.5;11;26.4042263031;
51;2;28.9130306244;22.5;10;33.2914676666;5;15.3159503937;27.5;7;36.5249304771;
52;3;28.9811611176;22.5;11;33.4331302643;5;15.3431091309;29.5;8;37.0541690588;
53;3;29.0449085236;22.5;12;33.5652666092;5;16.3721885681;31.5;8;37.5666233301;
54;3;29.1043701172;22.5;12;33.6881551743;5;17.4032497406;30.5;9;38.0612640381;
55;3;29.1596698761;22.5;12;33.8021306992;5;16.4363479614;32.5;9;38.5376827717;
56;3;29.2109584808;22.5;11;33.9075689316;5;17.4715213776;32.5;8;38.9960138798;
57;3;29.2584056854;22.5;12;34.0;6;19.5087909698;32.5;8;39.4368331432;
