Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
162;16;71.5775909424;155.468215942;42;139.244901776;8;59.8693885803;64.0;20;73.9811942577;
163;16;73.6462173462;155.496200562;42;139.962179661;8;58.986366272;65.0;21;74.1390111446;
164;16;71.7170639038;162.372680664;45;140.688032746;8;60.1007804871;63.0;21;74.2931323051;
165;16;71.1865081787;169.416519165;46;141.420547247;8;61.2125205994;63.0;23;74.4434156418;
166;16;72.2680664062;174.460235596;47;142.157823086;8;62.3214759827;63.0;23;74.5897431374;
167;16;74.0478134155;176.50378418;47;142.897998214;8;63.4275627136;63.0;24;74.7320184708;
168;16;73.2204742432;181.547149658;48;143.639273047;8;64.5307159424;63.0;24;74.8701677322;
169;16;73.4012756348;186.590286255;49;144.379928112;8;65.6308746338;63.0;25;75.0041368008;
170;16;74.6560058594;183.633163452;51;145.118338346;8;66.7279968262;63.0;25;75.1338920593;
171;16;71.25;188.675750732;51;145.852982521;8;66.8220748901;63.0;26;75.2594184875;
172;16;73.25;192.718017578;53;146.58244586;8;66.9130859375;63.0;28;75.3807168007;
173;16;75.0163116455;189.759933472;54;147.305421352;8;67.0010223389;63.0;29;75.4978041649;
174;16;71.25;193.801467896;55;148.020702839;8;67.0859146118;63.0;29;75.5623030663;
175;16;71.25;197.842605591;56;148.727176189;8;67.1326675415;63.0;29;75.6135182381;
176;16;76.25;191.883285522;57;149.423808575;8;61.1326675415;70.0;30;75.6636190414;
177;16;75.7914581299;193.923522949;61;150.109634161;8;58.5499992371;75.0;30;75.7125790119;
178;16;75.3781585693;198.963256836;61;150.783742189;8;57.5499992371;77.0;31;75.7603754997;
179;16;76.541885376;196.002502441;62;151.445263147;8;56.2000007629;79.0;31;75.8069901466;
180;16;74.7103271484;200.04119873;63;152.038623333;8;54.4000015259;83.1876907349;32;75.8524079323;
181;16;76.8828659058;202.079345703;64;152.586886406;8;55.4000015259;84.2376480103;32;75.8966178894;
182;16;75.8828659058;197.116943359;65;153.127127647;8;56.4000015259;81.286277771;33;75.9396123886;
183;17;72.2525939941;202.153930664;64;153.658122778;8;53.4000015259;84.3335723877;33;75.9813876152;
184;17;73.2525939941;208.763259888;65;154.178677082;8;52.4000015259;86.379524231;34;76.0;
185;17;74.9684066772;211.805541992;67;154.687634945;8;52.4000015259;85.4000015259;31;76.0;
186;17;75.1495361328;214.847076416;67;155.183891773;8;50.4000015259;87.4000015259;32;76.0;
187;18;78.3297424316;212.8878479;53;155.661535263;8;49.4000015259;89.4000015259;33;76.0;
188;18;75.5081481934;215.927856445;56;156.018324852;8;49.4000015259;88.4000015259;33;76.0;
189;18;76.6838684082;215.939208984;56;157.358703136;8;47.4000015259;90.4000015259;34;76.0;
190;18;77.6838684082;216.939208984;54;157.790226102;8;46.4000015259;92.4000015259;31;76.0;
191;18;80.6838684082;215.939208984;57;158.220736027;8;46.4000015259;91.4000015259;31;76.0;
192;19;79.3317947388;219.939208984;50;158.649877787;8;44.4000015259;93.4000015259;29;76.0;
193;21;79.4176101685;219.939208984;46;159.077430606;8;43.4000015259;95.4000015259;27;76.0;
194;22;79.5106887817;220.939208984;43;170.503304243;7;33.4000015259;89.4000015259;30;66.0;
195;22;79.6114196777;220.939208984;46;172.550056696;7;32.4000015259;88.4000015259;32;66.0;
196;22;82.7201461792;225.017211914;44;175.401273012;7;31.4000015259;91.4000015259;28;66.0;
197;22;86.8625030518;227.070526123;44;178.224191666;7;33.4000015259;88.4000015259;29;66.0;
198;22;89.2284088135;227.146789551;45;182.005313873;7;31.4000015259;91.4000015259;30;66.0;
199;23;92.4434432983;229.222061157;39;185.884507298;7;32.4000015259;91.4000015259;17;66.0;
200;24;93.4434432983;233.296264648;38;189.725977421;7;33.2000007629;88.4000015259;16;66.0;
201;24;96.0569839478;238.369338989;39;193.178907633;7;30.2000007629;91.4000015259;17;66.0;
202;24;96.2881011963;246.441223145;41;196.588800192;7;30.2000007629;91.8000030518;17;66.0;
203;24;101.503585815;243.51184082;43;199.959367514;7;30.2000007629;89.8000030518;17;66.0;
204;24;99.5035858154;247.581130981;43;203.296650171;7;27.7999992371;93.8000030518;17;66.0;
205;24;103.503585815;247.64906311;44;206.607781768;7;28.7999992371;94.8000030518;17;66.0;
206;24;102.262985229;251.715591431;46;209.899646521;7;29.7999992371;92.8000030518;17;66.0;
207;24;102.536331177;251.780654907;47;215.094974995;7;27.7999992371;96.8000030518;17;66.0;
208;24;101.783035278;259.844238281;48;219.395540237;7;26.7999992371;99.5999984741;17;66.0;
209;24;106.004119873;262.906311035;49;222.761091828;7;26.7999992371;102.599998474;17;66.0;
210;25;114.116256714;259.96685791;50;225.863443136;7;28.7999992371;99.5999984741;17;66.0;
211;25;108.473388672;269.325805664;50;228.907322526;7;26.7999992371;102.599998474;18;66.0;
212;26;108.774139404;274.383239746;49;232.07245636;7;28.0;102.599998474;19;66.0;
213;26;110.262298584;271.439056396;51;235.189400077;7;30.0;99.5999984741;19;66.0;
214;26;107.693328857;275.493286133;52;238.325158477;7;29.0;102.599998474;19;66.0;
215;26;109.160446167;279.298950195;53;241.686070442;7;31.0;102.599998474;21;66.0;
216;26;112.016616821;279.298950195;52;246.081912518;7;33.0;99.5999984741;21;66.0;
217;26;113.762741089;287.298950195;54;249.760656238;7;32.0;102.599998474;21;66.0;
218;26;119.664031982;293.298950195;54;253.603941679;7;35.0;99.5999984741;22;66.0;
219;26;122.74571228;295.298950195;56;267.393826604;8;36.0;96.5999984741;21;66.0;
220;26;125.906173706;305.228912354;57;279.999791622;8;35.0;99.5999984741;22;66.3599996567;
221;27;132.874053955;313.826385498;57;291.599615216;8;38.0;96.7560043335;22;66.7132797241;
222;27;133.615005493;325.245056152;58;302.318984389;8;39.0;94.7560043335;23;67.0585784912;
223;27;144.039978027;350.234649658;60;311.861591816;8;39.0;95.7560043335;24;67.3947582245;
224;27;151.268188477;369.167480469;60;320.750380158;8;41.0;93.7560043335;24;67.7208189964;
225;27;148.693817139;385.652435303;61;328.820846796;8;42.0;91.7560043335;25;69.0359077454;
