Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
30;4;18.0544204712;15.5;2;28.1355690956;4;20.1032218933;13.5;5;27.0708494186;
31;4;17.3305034637;16.5;2;28.2801618576;4;19.1212539673;14.5;5;27.1315076351;
32;4;16.7380371094;17.5;2;28.4326484203;4;18.1394519806;15.5;5;27.1926498413;
33;4;17.0;17.2021141052;3;28.59334445;4;17.1577949524;16.5;5;27.2542052269;
34;4;16.8085021973;16.5;3;28.7625366449;4;16.1762619019;17.5;6;27.3161010742;
35;4;16.8465709686;17.5;3;28.9404734373;4;15.1948299408;18.5;6;27.3782629967;
36;4;16.8866062164;18.5;3;29.1273553371;4;14.7134790421;19.5;6;27.4406147003;
37;4;16.9286556244;19.5;3;29.3233244419;4;14.7321844101;20.5;7;27.5030794144;
38;4;16.9727478027;20.5;3;29.5284535885;4;14.7509241104;21.5;7;27.5655794144;
39;4;17.018901825;21.5;3;29.7427349091;4;15.7696743011;19.5;6;27.628036499;
40;4;17.0;21.5;2;29.9660696983;4;14.7884111404;20.5;7;28.690372467;
41;4;17.1173648834;20.5;2;30.1982588768;4;15.8071117401;21.5;7;28.8025100231;
42;4;17.1696090698;21.5;2;30.4389936924;4;17.0;20.9200000763;8;28.9163475037;
43;4;17.2237739563;22.5;3;30.6878495216;4;17.1749038696;20.5;9;29.0318342447;
44;4;17.2797660828;23.5;3;30.9442818165;4;17.2095489502;21.5;9;29.1489161253;
45;4;17.3374633789;24.5;3;31.2076237202;4;17.8810920715;19.9847774506;9;29.2675352097;
46;4;17.8260192871;24.5;4;31.4770889282;4;18.899269104;20.9847774506;10;29.387629509;
47;4;18.8782958984;25.5;4;31.7517769337;5;20.3162899017;21.9847774506;10;29.5091329813;
48;4;19.9318408966;26.5;4;32.0306828022;5;20.0;23.9847774506;10;29.6319748163;
49;4;20.9864311218;27.5;6;32.3127098083;5;21.4368915558;25.9847774506;11;29.7560795546;
