Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
30;4;14.6523113251;18.5;5;27.9890601635;3;20.1032218933;13.5;6;27.0708494186;
31;4;14.6725387573;19.5;5;29.0790588856;3;19.1212539673;14.5;6;27.1315076351;
32;4;15.6927881241;21.0;5;29.1989963055;3;18.1394519806;15.5;6;27.1926498413;
33;4;16.7130241394;21.5;5;29.3193016052;3;17.1577949524;16.5;6;27.2542052269;
34;4;16.73320961;23.0302963257;5;29.439807415;3;16.1762619019;17.5;6;28.3161010742;
35;4;16.9989566803;23.5;5;29.5603473186;3;16.1948299408;18.5;6;28.428262949;
36;4;16.7732868195;25.0617580414;5;29.6807569265;3;16.7134780884;19.5;6;28.5425896645;
37;4;17.0;24.077917099;5;29.8008753061;3;17.0627765656;20.5;6;28.6590293646;
38;4;16.8127365112;24.0943546295;5;29.9205458164;3;17.0977096558;21.5;11;28.7775241137;
39;4;17.1071224213;24.5;6;30.0396170616;4;17.0;20.9847774506;7;53.8980097771;
40;4;17.0;24.1280384064;6;30.1579434872;4;20.1694030762;19.5;7;55.7704157829;
41;4;16.8701648712;24.1452713013;7;30.2753863335;4;22.2061252594;19.5;7;57.2990409136;
42;4;17.1869621277;24.5;7;30.3918143511;4;23.2433986664;19.5;8;58.5077639818;
43;4;17.0;24.1804790497;8;30.50710392;4;24.2812023163;19.5;8;59.4432402849;
44;4;17.2390975952;23.5;8;30.6211402416;4;26.3195075989;23.5;8;60.1599103212;
45;5;17.9422779083;25.9166202545;7;31.7338171005;4;26.3582839966;27.5;9;60.6583423615;
46;5;19.0;24.2000007629;8;31.9750368595;4;27.8975028992;28.5;10;60.7904314995;
47;5;21.3151321411;26.2000007629;8;32.2301421165;4;28.9371299744;30.5;11;60.9237656593;
48;5;22.3398113251;28.2000007629;9;32.5004843473;4;29.9771289825;32.5;12;61.0582215786;
49;5;23.3641223907;30.2000007629;9;32.7874487638;4;31.0174674988;32.5;13;61.1936694384;
50;5;24.3880500793;32.2000007629;10;33.0924218893;4;32.0581016541;32.5;15;61.3299729824;
51;6;25.0365848541;33.2000007629;9;33.4167495966;4;33.098991394;32.5;15;61.466989994;
52;6;24.6775760651;33.9281768799;8;33.7616882324;5;34.1150970459;32.5;13;78.854572773;
53;6;25.0824203491;34.0989837646;10;34.1283432245;5;35.1563720703;33.5;14;79.8550667763;
54;6;25.1047019958;34.286315918;10;34.5175988674;5;36.197769165;34.5;14;80.7427206039;
55;6;25.1265544891;34.4908180237;11;34.9300447702;5;37.2392463684;35.5;14;81.5201199055;
56;6;25.1479663849;34.7129135132;12;35.3658932447;5;38.28074646;36.5;15;82.1944739819;
57;7;25.1689376831;34.9527626038;12;35.8073517084;5;39.322227478;37.5;16;82.7759034634;
58;7;25.1855163574;35.2102050781;12;36.2394492626;5;40.3636322021;37.5;17;83.2759175301;
59;7;25.1945075989;35.484703064;13;36.6945786476;5;41.404914856;37.5;17;83.7062180042;
60;7;25.2035064697;35.7752990723;13;37.1707057953;5;42.446018219;37.5;17;83.9563143253;
61;7;25.2125053406;36.0805892944;15;37.665147543;5;42.8618965149;37.5;17;84.0916306973;
62;7;25.2214984894;36.3987197876;15;38.1745958328;5;42.9024887085;37.5;17;84.2258393764;
63;7;25.2304782867;36.7273979187;15;39.6951797009;5;40.9427528381;38.5;17;87.8759543896;
64;7;24.625;40.0639343262;16;40.3925677538;5;40.5727844238;40.0;18;90.7369847298;
65;7;26.1233673096;41.4053192139;15;41.1190159321;5;40.0942001343;41.3899993896;19;92.9474859238;
66;7;25.625;44.2483215332;17;41.8732516766;5;39.522277832;42.6872596741;20;94.6493811607;
67;7;26.1411170959;44.5895881653;17;42.6542354822;6;38.8733024597;43.9097442627;20;95.4774026871;
68;7;26.1499233246;45.9257965088;17;43.4612596035;6;38.1432189941;45.0;20;95.8338813782;
69;8;26.1586742401;46.2537612915;14;44.2939939499;6;38.250164032;46.0;21;96.1460671425;
70;8;25.625;46.5705795288;13;45.1524562836;6;35.0131874084;49.0;21;96.4563694;
