Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
147;18;121.699996948;225.547348022;65;214.031401753;12;34.0;135.199295044;60;89.9135837555;
148;18;123.699996948;230.547348022;66;214.530833125;12;33.0;137.356155396;61;91.8190256357;
149;18;126.699996948;232.547348022;67;215.029198289;12;39.0;132.356155396;61;92.8113951683;
150;18;127.699996948;237.547348022;68;215.525910616;13;41.0;131.356155396;62;93.8128305674;
151;18;129.699996948;242.547348022;69;216.020411849;13;41.0;136.356155396;62;94.8198875189;
152;18;132.699996948;244.547348022;71;216.512171984;13;46.0;132.356155396;62;95.8288980722;
153;18;135.699996948;243.547348022;71;217.000687599;13;47.0;131.356155396;63;96.8360644579;
154;18;135.699996948;248.547348022;71;217.48548007;13;47.0;136.356155396;65;97.8375632763;
155;18;138.300003052;250.547348022;71;217.966094017;13;52.0;132.356155396;64;98.8296574354;
156;18;140.300003052;249.547348022;72;218.442093849;13;53.0;131.356155396;65;100.80880487;
157;18;140.300003052;252.547348022;72;218.913062096;13;51.0;139.356155396;65;101.831758857;
158;18;141.300003052;255.547348022;73;220.296611786;13;55.0;138.356155396;67;102.838610888;
159;18;141.300003052;258.547363281;73;221.674028158;13;54.0;140.356155396;66;103.826993346;
160;18;141.300003052;259.547363281;78;223.040645599;13;52.0;148.352233887;67;104.794999599;
161;19;140.300003052;263.547363281;79;228.642047882;13;55.0;146.487609863;70;105.741186023;
162;19;140.300003052;270.747344971;80;231.090976477;13;54.0;147.628967285;66;106.664558291;
163;19;143.300003052;275.747344971;83;233.544834852;13;52.0;154.776123047;65;107.516118765;
164;19;147.300003052;278.747344971;84;234.992954731;13;56.0;152.928848267;66;108.286484599;
165;19;147.50340271;284.747344971;87;236.409681201;13;57.0;151.086837769;73;108.978680134;
166;19;147.650283813;290.747344971;88;237.791906118;13;55.0;158.249755859;73;109.595857501;
167;19;147.280059814;295.747344971;89;239.136853576;13;59.0;156.417160034;73;110.189640164;
168;19;146.489608765;300.747344971;91;240.442071438;13;60.0;154.870346069;73;110.772387028;
169;19;146.689987183;302.747344971;92;241.691742897;13;58.0;162.111419678;76;111.344281673;
170;19;145.281005859;307.747344971;96;242.807723045;13;60.0;168.760162354;76;111.905494928;
171;20;144.462585449;315.189727783;96;243.888512373;13;63.0;172.870925903;76;112.362587929;
172;21;146.634750366;316.240722656;95;244.932140589;13;64.0;179.984863281;77;112.793143034;
173;21;144.732498169;318.292144775;96;255.725198269;13;68.0;181.101806641;78;113.225589752;
174;21;144.73097229;327.420349121;97;264.68995142;13;70.5999984741;180.221603394;79;113.658647537;
175;22;146.636138916;336.553405762;96;272.150207639;13;69.5999984741;186.344055176;81;114.09103322;
176;22;150.166946411;344.061706543;98;278.008923531;13;71.5999984741;179.468978882;82;114.5214746;
177;22;151.297912598;361.864959717;99;283.786283731;13;69.5999984741;181.596115112;83;114.948729992;
178;22;157.391311646;373.953552246;99;288.732653022;13;68.5999984741;190.725219727;84;115.371601105;
179;22;163.213943481;391.292755127;101;296.464488387;13;72.5999984741;180.856018066;84;115.788945913;
180;22;167.734451294;405.24508667;102;303.132074475;13;71.5999984741;181.988235474;84;116.199694633;
181;22;171.960906982;420.776763916;103;309.611597776;13;70.5999984741;189.121551514;85;116.602855682;
182;23;180.293579102;433.638427734;101;314.434902191;13;71.5999984741;188.25567627;75;116.997525454;
183;23;183.904785156;446.929595947;100;318.170742035;13;70.5999984741;187.390274048;75;117.382894993;
184;24;188.567687988;458.908630371;93;336.693310738;13;69.5999984741;192.525024414;74;117.758252144;
185;24;188.846313477;471.165588379;93;341.540927052;13;70.5999984741;190.659591675;52;118.122983694;
186;25;189.055725098;481.247406006;93;345.915522814;13;73.5999984741;181.793640137;51;118.476575375;
187;27;193.174987793;491.309570312;91;367.366555452;11;68.5999984741;170.926879883;51;101.345844269;
188;27;193.174987793;493.178833008;94;373.058138847;11;74.5999984741;164.058959961;51;101.59241724;
189;27;196.174987793;496.614379883;95;379.072938919;11;73.5999984741;163.058959961;51;101.830242634;
190;28;205.140014648;497.772766113;96;411.519517899;11;75.5999984741;162.058959961;51;102.059166431;
191;30;223.956375122;524.707641602;97;451.979649544;9;67.0999984741;132.395828247;52;88.2790951729;
